hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
48, 0.00000, 732.835, 296.046, 518.826, 74.9271, 800.407, 259.584
48, 900.00000, 676.622, 252.008, 479.912, 52.5484, 735.478, 212.155
48, 1800.00000, 669.771, 246.682, 475.314, 49.8873, 728.02, 206.19
48, 2700.00000, 687.483, 260.418, 487.485, 56.996, 747.561, 221.741
49, 0.00000, 693.664, 265.285, 491.582, 59.3555, 754.448, 227.289
49, 900.00000, 620.251, 211.393, 442.769, 31.0128, 675.021, 164.309
49, 1800.00000, 720.513, 289.129, 511.398, 71.0141, 786.147, 252.707
49, 2700.00000, 706.655, 278.261, 501.87, 65.415, 770.777, 240.409
50, 0.00000, 685.716, 261.861, 487.645, 57.1188, 747.485, 221.763
50, 900.00000, 650.935, 234.931, 463.752, 43.1803, 708.954, 191.146
50, 1800.00000, 736.661, 301.956, 522.207, 77.3102, 804.211, 267.297
50, 2700.00000, 735.521, 301.008, 521.562, 76.9636, 802.908, 266.203
51, 0.00000, 707.94, 279.271, 502.744, 65.926, 772.219, 241.565
51, 900.00000, 679.898, 257.4, 483.465, 54.632, 741.103, 216.744
51, 1800.00000, 731.096, 297.499, 518.562, 75.2029, 797.924, 262.191
51, 2700.00000, 770.766, 329.017, 545.679, 91.1901, 842.158, 297.85
52, 0.00000, 658.227, 240.563, 468.74, 46.0783, 717.023, 197.553
52, 900.00000, 675.413, 253.93, 480.342, 52.7975, 736.108, 212.787
52, 1800.00000, 706.671, 278.316, 501.753, 65.3155, 770.804, 240.477
52, 2700.00000, 696.86, 270.563, 495.255, 61.5629, 759.858, 231.648
53, 0.00000, 657.64, 240.203, 468.056, 45.6155, 716.488, 197.224
53, 900.00000, 600.812, 196.568, 429.424, 23.3072, 653.53, 147.361
53, 1800.00000, 663.759, 244.999, 472.047, 47.8897, 723.258, 202.678
53, 2700.00000, 1035.78, 542.95, 723.481, 196.957, 1142.07, 535.824
54, 0.00000, 1590.16, 1043.44, 1094.13, 420.663, 1762.18, 1057.1
54, 900.00000, 612.736, 834.127, 67.7104, 335.933, 236.1, 836.003
54, 1800.00000, 247.407, 545.353, -162.858, 200.421, -177.598, 554.002
54, 2700.00000, -89.3377, 297.368, -385.679, 78.734, -553.769, 310.19
55, 0.00000, -175.18, 236.827, -446.47, 47.3968, -648.683, 250.593
55, 900.00000, -2571.56, 325.599, -2959.16, 649.363, -4034.63, 2074.76
55, 1800.00000, -2300.88, 386.078, -2753.17, 689.16, -3785.54, 2116.32
55, 2700.00000, -1936, 494.84, -2468.88, 762.395, -3488.16, 2195.36
56, 0.00000, -1886, 507.697, -2417.62, 785.982, -3428.94, 2212.16
56, 900.00000, -3119.08, 552.055, -3533.83, 1402.34, -4596.46, 3657.08
56, 1800.00000, -2954.65, 539.193, -3389.97, 1409.88, -4519.47, 3688.34
56, 2700.00000, -2880.25, 525.167, -3313.63, 1416.59, -4463.7, 3703.11
57, 0.00000, -2782.07, 538.825, -3242.83, 1429.83, -4375.48, 3716.39
57, 900.00000, -3079.64, 713.436, -3402.95, 1844.78, -4519.19, 4421.22
57, 1800.00000, -2442.68, 900.835, -3022.5, 1938.77, -4006.5, 4347.44
57, 2700.00000, -2366.63, 915.706, -2956.97, 1973.21, -3925.6, 4324.13
58, 0.00000, -2764.34, 764.725, -3272.96, 1938.94, -4321.78, 4427.99
58, 900.00000, -2920.58, 934.343, -3397.15, 2164.04, -4321.16, 4695.48
58, 1800.00000, -3124.32, 823.966, -3528.63, 2127.75, -4558.97, 4776.75
58, 2700.00000, -3032.61, 849.809, -3479.52, 2132.21, -4479.73, 4748.33
59, 0.00000, -3051.75, 856.503, -3499.95, 2132.14, -4491.61, 4753.38
59, 900.00000, -3073.69, 900.288, -3528.36, 2171.45, -4482.67, 4795.93
59, 1800.00000, -3436.48, 819.872, -3743.59, 2136.03, -4811.04, 4927.42
59, 2700.00000, -3445.32, 801.171, -3734.69, 2133.55, -4824.44, 4931.96
60, 0.00000, -3536.41, 789.388, -3844.12, 2138.46, -4921.51, 4971.41
60, 900.00000, -3507.93, 712.694, -3788.08, 1995.08, -4916.68, 4794.76
