hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
24, 0.00000, 122.768, 0.619434, 122.768, -119.381, 122.768, 120.619, 0, 0, 0, 0, 0, 0
24, 900.00000, 122.719, 0.598279, 122.719, -119.402, 122.719, 120.598, 0, 0, 0, 0, 0, 0
24, 1800.00000, 122.606, 0.549011, 122.606, -119.451, 122.606, 120.549, 0, 0, 0, 0, 0, 0
24, 2700.00000, 122.762, 0.617075, 122.762, -119.383, 122.762, 120.617, 0, 0, 0, 0, 0, 0
25, 0.00000, 122.826, 0.645111, 122.827, -119.355, 122.827, 120.645, 0, 0, 0, 0, 0, 0
25, 900.00000, 122.782, 0.625702, 122.782, -119.374, 122.782, 120.626, 0, 0, 0, 0, 0, 0
25, 1800.00000, 122.8, 0.633373, 122.8, -119.367, 122.8, 120.633, 0, 0, 0, 0, 0, 0
25, 2700.00000, 122.819, 0.641982, 122.82, -119.358, 122.819, 120.642, 0, 0, 0, 0, 0, 0
26, 0.00000, 122.8, 0.633374, 122.8, -119.367, 122.8, 120.633, 0, 0, 0, 0, 0, 0
26, 900.00000, 122.792, 0.630242, 122.793, -119.37, 122.793, 120.63, 0, 0, 0, 0, 0, 0
26, 1800.00000, 122.789, 0.628675, 122.789, -119.371, 122.789, 120.628, 0, 0, 0, 0, 0, 0
26, 2700.00000, 122.764, 0.617868, 122.764, -119.382, 122.764, 120.618, 0, 0, 0, 0, 0, 0
27, 0.00000, 122.748, 0.610816, 122.748, -119.389, 122.748, 120.611, 0, 0, 0, 0, 0, 0
27, 900.00000, 122.699, 0.589656, 122.699, -119.41, 122.699, 120.589, 0, 0, 0, 0, 0, 0
27, 1800.00000, 122.821, 0.642761, 122.821, -119.357, 122.821, 120.643, 0, 0, 0, 0, 0, 0
27, 2700.00000, 122.834, 0.648244, 122.834, -119.352, 122.834, 120.648, 0, 0, 0, 0, 0, 0
28, 0.00000, 122.794, 0.631026, 122.794, -119.369, 122.794, 120.631, 0, 0, 0, 0, 0, 0
28, 900.00000, 122.728, 0.6022, 122.728, -119.398, 122.728, 120.602, 0, 0, 0, 0, 0, 0
28, 1800.00000, 122.679, 0.581028, 122.679, -119.419, 122.679, 120.581, 0, 0, 0, 0, 0, 0
28, 2700.00000, 122.49, 0.498714, 122.49, -119.501, 122.49, 120.499, 0, 0, 0, 0, 0, 0
29, 0.00000, 122.119, 0.338185, 122.119, -119.662, 122.119, 120.338, 0, 0, 0, 0, 0, 0
29, 900.00000, 121.885, 0.236899, 121.885, -119.763, 121.885, 120.237, 0, 0, 0, 0, 0, 0
29, 1800.00000, 122.06, 0.312812, 122.06, -119.687, 122.06, 120.313, 0, 0, 0, 0, 0, 0
29, 2700.00000, 122.055, 0.310471, 122.055, -119.69, 122.055, 120.31, 0, 0, 0, 0, 0, 0
30, 0.00000, 122.099, 0.32947, 122.099, -119.671, 122.099, 120.329, 0, 0, 0, 0, 0, 0
30, 900.00000, 133.169, 5.60361, 133.168, -114.397, 133.168, 125.603, 0, 0, 0, 0, 0, 0
30, 1800.00000, 73.6409, 24.247, 73.658, -95.7576, 73.6562, 144.242, 0, 0, 0, 0, 0, 0
30, 2700.00000, 76.3843, 23.5761, 76.3948, -96.4295, 76.3915, 143.57, 0, 0, 0, 0, 0, 0
31, 0.00000, 74.5942, 23.6463, 74.6063, -96.3591, 74.6028, 143.641, 0, 0, 0, 0, 0, 0
31, 900.00000, 82.0062, 25.0468, 82.0076, -94.9546, 82.0069, 145.044, 0, 0, 0, 0, 0, 0
