hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
24, 0.00000, 0.0176102, 0.0344297, 0.0176102, 0.0344295, 0.0176103, 0.0344297, 2.25019E-014, 4.93305E-014
24, 900.00000, 0.0181914, 0.0344291, 0.0181915, 0.0344289, 0.0181915, 0.0344291, 2.26697E-014, 1.05026E-014
24, 1800.00000, 0.019544, 0.0344282, 0.019544, 0.034428, 0.0195441, 0.0344282, 2.26578E-014, 1.04734E-014
24, 2700.00000, 0.0176771, 0.0344316, 0.0176771, 0.0344314, 0.0176772, 0.0344316, 2.0856E-014, -6.53479E-015
25, 0.00000, 0.0169041, 0.0344305, 0.0169042, 0.0344303, 0.0169042, 0.0344305, 2.8494E-014, -1.59626E-014
25, 900.00000, 0.0174371, 0.0344291, 0.0174372, 0.0344289, 0.0174372, 0.0344291, 5.67794E-014, 6.88707E-015
25, 1800.00000, 0.0172267, 0.0344299, 0.0172268, 0.0344297, 0.0172268, 0.0344299, 4.91664E-014, 1.63297E-014
25, 2700.00000, 0.0169897, 0.0344299, 0.0169898, 0.0344297, 0.0169898, 0.0344299, -1.52457E-014, 1.88688E-014
26, 0.00000, 0.0172262, 0.0344294, 0.0172263, 0.0344292, 0.0172263, 0.0344294, -5.62395E-015, -1.23372E-014
26, 900.00000, 0.0173126, 0.0344296, 0.0173127, 0.0344294, 0.0173127, 0.0344296, 1.30633E-014, 4.17255E-014
26, 1800.00000, 0.0173558, 0.0344296, 0.0173558, 0.0344294, 0.0173559, 0.0344296, -1.54167E-014, 5.76898E-014
26, 2700.00000, 0.0176529, 0.0344294, 0.017653, 0.0344292, 0.017653, 0.0344294, 2.26744E-014, 1.05142E-014
27, 0.00000, 0.0178471, 0.0344295, 0.0178471, 0.0344293, 0.0178472, 0.0344295, -9.43306E-015, -7.61326E-015
27, 900.00000, 0.0184285, 0.0344291, 0.0184285, 0.0344289, 0.0184286, 0.0344291, 9.43213E-015, 7.60677E-015
27, 1800.00000, 0.0169696, 0.0344312, 0.0169696, 0.034431, 0.0169697, 0.0344312, 5.2795E-014, 5.04555E-014
27, 2700.00000, 0.0168172, 0.0344298, 0.0168172, 0.0344296, 0.0168173, 0.0344298, 4.15511E-014, 2.57817E-014
28, 0.00000, 0.0172906, 0.0344292, 0.0172907, 0.034429, 0.0172907, 0.0344292, 3.79166E-014, -8.34592E-015
28, 900.00000, 0.0180834, 0.0344288, 0.0180834, 0.0344286, 0.0180835, 0.0344288, 1.88654E-014, 1.52212E-014
28, 1800.00000, 0.0186656, 0.0344291, 0.0186656, 0.0344289, 0.0186657, 0.0344291, 5.29352E-014, 1.1553E-014
28, 2700.00000, 0.0209221, 0.0344272, 0.0209221, 0.034427, 0.0209222, 0.0344272, 1.50668E-014, 1.98718E-014
29, 0.00000, 0.0253089, 0.0344294, 0.025309, 0.0344292, 0.025309, 0.0344294, 5.27419E-014, 1.12769E-014
