hour, t(sec), watts, vars
24, 0.00000, 52.8268, 103.291
24, 900.00000, 54.571, 103.29
24, 1800.00000, 58.6291, 103.288
24, 2700.00000, 53.0262, 103.294
25, 0.00000, 50.7081, 103.292
25, 900.00000, 52.308, 103.29
25, 1800.00000, 51.6764, 103.291
25, 2700.00000, 50.9653, 103.291
26, 0.00000, 51.6752, 103.29
26, 900.00000, 51.9343, 103.291
26, 1800.00000, 52.0637, 103.291
26, 2700.00000, 52.9553, 103.29
27, 0.00000, 53.5376, 103.29
27, 900.00000, 55.2821, 103.29
27, 1800.00000, 50.9041, 103.293
27, 2700.00000, 50.4478, 103.291
28, 0.00000, 51.8685, 103.29
28, 900.00000, 54.247, 103.289
28, 1800.00000, 55.9934, 103.29
28, 2700.00000, 62.7641, 103.287
29, 0.00000, 75.9227, 103.29
29, 900.00000, 84.1744, 103.285
29, 1800.00000, 78.0008, 103.295
29, 2700.00000, 78.1861, 103.291
30, 0.00000, 76.6366, 103.292
30, 900.00000, 81.3886, 113.873
30, 1800.00000, 34.634, 34.6073
30, 2700.00000, 48.0658, 37.3747
31, 0.00000, 65.1422, 35.5307
31, 900.00000, 103.604, 43.163
31, 1800.00000, 109.12, 42.968
31, 2700.00000, 113.073, 42.9028
32, 0.00000, 110.658, 42.8989
32, 900.00000, 124.09, 46.7315
32, 1800.00000, 129.385, 46.6089
32, 2700.00000, 132.304, 46.5691
33, 0.00000, 129.125, 46.5981
33, 900.00000, 134.385, 51.3186
33, 1800.00000, 136.002, 51.117
33, 2700.00000, 145.552, 50.9979
34, 0.00000, 136.975, 51.1416
34, 900.00000, 147.964, 55.8809
34, 1800.00000, 142.336, 52.059
34, 2700.00000, 137.864, 52.0846
35, 0.00000, 145.958, 52.0389
35, 900.00000, 144.499, 53.0134
35, 1800.00000, 147.276, 52.9845
35, 2700.00000, 147.596, 52.9807
36, 0.00000, 147.167, 52.9847
36, 900.00000, 139.272, 52.1914
36, 1800.00000, 144.552, 52.4188
36, 2700.00000, 145.766, 52.4017
37, 0.00000, 146.298, 52.398
37, 900.00000, 142.046, 49.6239
37, 1800.00000, 137.758, 49.6687
37, 2700.00000, 137.294, 49.6503
38, 0.00000, 138.462, 49.6423
38, 900.00000, 129.266, 47.2076
38, 1800.00000, 123.891, 47.1206
38, 2700.00000, 131.494, 47.068
39, 0.00000, 130.113, 47.0645
39, 900.00000, 119.2, 46.1267
39, 1800.00000, 119.465, 44.6298
39, 2700.00000, 118.561, 44.38
40, 0.00000, 119.913, 44.3409
40, 900.00000, 100.378, 38.8833
40, 1800.00000, 106.3, 41.1156
40, 2700.00000, 111.35, 41.0915
41, 0.00000, 104.68, 41.0892
41, 900.00000, 97.988, 36.3827
41, 1800.00000, 110.625, 40.827
41, 2700.00000, 117.213, 40.8213
42, 0.00000, 111.649, 40.8207
42, 900.00000, 234.004, 88.8527
42, 1800.00000, 242.761, 88.4951
42, 2700.00000, 219.574, 89.5182
43, 0.00000, 216.689, 89.6319
43, 900.00000, 214.722, 89.7246
43, 1800.00000, 214.94, 89.7225
43, 2700.00000, 219.56, 89.5294
44, 0.00000, 209.413, 89.9389
44, 900.00000, 173.808, 91.572
44, 1800.00000, 107.916, 103.29
44, 2700.00000, 86.5672, 103.293
45, 0.00000, 75.4064, 103.292
45, 900.00000, 71.0274, 103.294
45, 1800.00000, 73.7988, 103.289
45, 2700.00000, 64.8379, 103.296
46, 0.00000, 61.5466, 103.293
46, 900.00000, 57.7965, 103.293
46, 1800.00000, 58.6971, 103.29
46, 2700.00000, 59.15, 103.29
47, 0.00000, 61.8632, 103.289
47, 900.00000, 55.8718, 103.294
47, 1800.00000, 57.4161, 103.29
47, 2700.00000, 52.8312, 103.293
