hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
24, 0.00000, 0.0176089, 0.0344302, 0.0176089, 0.0344302, 0.0176089, 0.0344302, 0, 0
24, 900.00000, 0.0181903, 0.0344299, 0.0181903, 0.0344299, 0.0181903, 0.0344299, 0, 0
24, 1800.00000, 0.019543, 0.0344295, 0.019543, 0.0344295, 0.019543, 0.0344295, 0, 0
24, 2700.00000, 0.0176754, 0.0344313, 0.0176754, 0.0344313, 0.0176754, 0.0344313, 0, 0
25, 0.00000, 0.0169027, 0.0344307, 0.0169027, 0.0344307, 0.0169027, 0.0344307, 0, 0
25, 900.00000, 0.017436, 0.03443, 0.017436, 0.03443, 0.017436, 0.03443, 0, 0
25, 1800.00000, 0.0172255, 0.0344304, 0.0172255, 0.0344304, 0.0172255, 0.0344304, 0, 0
25, 2700.00000, 0.0169884, 0.0344304, 0.0169884, 0.0344304, 0.0169884, 0.0344304, 0, 0
26, 0.00000, 0.0172251, 0.0344301, 0.0172251, 0.0344301, 0.0172251, 0.0344301, 0, 0
26, 900.00000, 0.0173114, 0.0344302, 0.0173114, 0.0344302, 0.0173114, 0.0344302, 0, 0
26, 1800.00000, 0.0173546, 0.0344302, 0.0173546, 0.0344302, 0.0173546, 0.0344302, 0, 0
26, 2700.00000, 0.0176518, 0.0344301, 0.0176518, 0.0344301, 0.0176518, 0.0344301, 0, 0
27, 0.00000, 0.0178459, 0.0344301, 0.0178459, 0.0344301, 0.0178459, 0.0344301, 0, 0
27, 900.00000, 0.0184274, 0.0344299, 0.0184274, 0.0344299, 0.0184274, 0.0344299, 0, 0
27, 1800.00000, 0.016968, 0.034431, 0.016968, 0.034431, 0.016968, 0.034431, 0, 0
27, 2700.00000, 0.0168159, 0.0344303, 0.0168159, 0.0344303, 0.0168159, 0.0344303, 0, 0
28, 0.00000, 0.0172895, 0.03443, 0.0172895, 0.03443, 0.0172895, 0.03443, 0, 0
28, 900.00000, 0.0180823, 0.0344298, 0.0180823, 0.0344298, 0.0180823, 0.0344298, 0, 0
28, 1800.00000, 0.0186645, 0.0344299, 0.0186645, 0.0344299, 0.0186645, 0.0344299, 0, 0
28, 2700.00000, 0.0209214, 0.0344289, 0.0209214, 0.0344289, 0.0209214, 0.0344289, 0, 0
29, 0.00000, 0.0253076, 0.0344299, 0.0253076, 0.0344299, 0.0253076, 0.0344299, 0, 0
29, 900.00000, 0.0280581, 0.0344283, 0.0280581, 0.0344283, 0.0280581, 0.0344283, 0, 0
29, 1800.00000, 0.0260003, 0.0344316, 0.0260003, 0.0344316, 0.0260003, 0.0344316, 0, 0
29, 2700.00000, 0.026062, 0.0344302, 0.026062, 0.0344302, 0.026062, 0.0344302, 0, 0
30, 0.00000, 0.0255455, 0.0344306, 0.0255455, 0.0344306, 0.0255455, 0.0344306, 0, 0
30, 900.00000, 0.0271298, 0.0379581, 0.0271296, 0.0379578, 0.0271292, 0.0379573, 0, 0
30, 1800.00000, 0.0115425, 0.011532, 0.0115462, 0.0115378, 0.0115453, 0.0115375, 0, 0
30, 2700.00000, 0.0160192, 0.0124564, 0.016024, 0.0124597, 0.0160226, 0.0124586, 0, 0
31, 0.00000, 0.0217102, 0.0118412, 0.021717, 0.0118453, 0.021715, 0.0118441, 0, 0
31, 900.00000, 0.0345341, 0.0143876, 0.0345353, 0.0143878, 0.0345347, 0.0143876, 0, 0
31, 1800.00000, 0.0363726, 0.0143224, 0.036374, 0.0143229, 0.0363733, 0.0143227, 0, 0
