hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
24, 0.00000, 122.768, 0.619434, 122.768, -119.381, 122.768, 120.619, 0, 0, 0.315001, -62.2936, 0.315001, 177.706, 0.315001, 57.7062, 1.30133E-006, 154.336
24, 900.00000, 122.719, 0.598279, 122.719, -119.402, 122.719, 120.598, 0, 0, 0.317309, -61.5529, 0.317308, 178.447, 0.317308, 58.4469, 1.31859E-006, 154.313
24, 1800.00000, 122.606, 0.549011, 122.606, -119.451, 122.606, 120.549, 0, 0, 0.3229, -59.8706, 0.322899, -179.871, 0.322899, 60.1292, 1.36201E-006, 154.229
24, 2700.00000, 122.762, 0.617075, 122.762, -119.383, 122.762, 120.617, 0, 0, 0.31527, -62.2091, 0.31527, 177.791, 0.31527, 57.7907, 1.30635E-006, 154.262
25, 0.00000, 122.826, 0.645111, 122.827, -119.355, 122.827, 120.645, 0, 0, 0.312277, -63.2075, 0.312276, 176.792, 0.312277, 56.7923, 1.28123E-006, 154.358
25, 900.00000, 122.782, 0.625702, 122.782, -119.374, 122.782, 120.626, 0, 0, 0.314323, -62.5158, 0.314322, 177.484, 0.314323, 57.4841, 1.29519E-006, 154.369
25, 1800.00000, 122.8, 0.633373, 122.8, -119.367, 122.8, 120.633, 0, 0, 0.31351, -62.7879, 0.31351, 177.212, 0.31351, 57.2119, 1.28997E-006, 154.357
25, 2700.00000, 122.819, 0.641982, 122.82, -119.358, 122.819, 120.642, 0, 0, 0.312601, -63.0956, 0.312601, 176.904, 0.312601, 56.9042, 1.28293E-006, 154.373
26, 0.00000, 122.8, 0.633374, 122.8, -119.367, 122.8, 120.633, 0, 0, 0.313507, -62.7883, 0.313506, 177.212, 0.313506, 57.2116, 1.28926E-006, 154.374
26, 900.00000, 122.792, 0.630242, 122.793, -119.37, 122.793, 120.63, 0, 0, 0.313841, -62.6766, 0.313841, 177.323, 0.313841, 57.3232, 1.2921E-006, 154.362
26, 1800.00000, 122.789, 0.628675, 122.789, -119.371, 122.789, 120.628, 0, 0, 0.314009, -62.6209, 0.314008, 177.379, 0.314008, 57.3789, 1.29348E-006, 154.357
26, 2700.00000, 122.764, 0.617868, 122.764, -119.382, 122.764, 120.618, 0, 0, 0.315168, -62.2386, 0.315168, 177.761, 0.315168, 57.7612, 1.30217E-006, 154.344
27, 0.00000, 122.748, 0.610816, 122.748, -119.389, 122.748, 120.611, 0, 0, 0.315935, -61.9905, 0.315934, 178.009, 0.315934, 58.0093, 1.30835E-006, 154.326
27, 900.00000, 122.699, 0.589656, 122.699, -119.41, 122.699, 120.589, 0, 0, 0.318267, -61.254, 0.318266, 178.746, 0.318267, 58.7458, 1.32618E-006, 154.294
27, 1800.00000, 122.821, 0.642761, 122.821, -119.357, 122.821, 120.643, 0, 0, 0.312528, -63.1226, 0.312528, 176.877, 0.312528, 56.8772, 1.28421E-006, 154.328
27, 2700.00000, 122.834, 0.648244, 122.834, -119.352, 122.834, 120.648, 0, 0, 0.311945, -63.3207, 0.311945, 176.679, 0.311945, 56.6791, 1.27771E-006, 154.388
28, 0.00000, 122.794, 0.631026, 122.794, -119.369, 122.794, 120.631, 0, 0, 0.313755, -62.7048, 0.313754, 177.295, 0.313754, 57.295, 1.29084E-006, 154.378
28, 900.00000, 122.728, 0.6022, 122.728, -119.398, 122.728, 120.602, 0, 0, 0.316874, -61.6896, 0.316874, 178.31, 0.316874, 58.3102, 1.31482E-006, 154.33
28, 1800.00000, 122.679, 0.581028, 122.679, -119.419, 122.679, 120.581, 0, 0, 0.319235, -60.9568, 0.319235, 179.043, 0.319235, 59.043, 1.33388E-006, 154.275
28, 2700.00000, 122.49, 0.498714, 122.49, -119.501, 122.49, 120.499, 0, 0, 0.328901, -58.2155, 0.328901, -178.216, 0.328901, 61.7843, 1.40939E-006, 154.136
29, 0.00000, 122.119, 0.338185, 122.119, -119.662, 122.119, 120.338, 0, 0, 0.349908, -53.3442, 0.349908, -173.344, 0.349908, 66.6556, 1.59341E-006, 153.638
