hour, t(sec), watts, vars
24, 0.00000, 0, 0
24, 900.00000, 0, 0
24, 1800.00000, 0, 0
24, 2700.00000, 0, 0
25, 0.00000, 0, 0
25, 900.00000, 0, 0
25, 1800.00000, 0, 0
25, 2700.00000, 0, 0
26, 0.00000, 0, 0
26, 900.00000, 0, 0
26, 1800.00000, 0, 0
26, 2700.00000, 0, 0
27, 0.00000, 0, 0
27, 900.00000, 0, 0
27, 1800.00000, 0, 0
27, 2700.00000, 0, 0
28, 0.00000, 0, 0
28, 900.00000, 0, 0
28, 1800.00000, 0, 0
28, 2700.00000, 0, 0
29, 0.00000, 0, 0
29, 900.00000, 0, 0
29, 1800.00000, 0, 0
29, 2700.00000, 0, 0
30, 0.00000, 0, 0
30, 900.00000, -463.718, -0.908894
30, 1800.00000, -144.622, 1006.49
30, 2700.00000, -170.939, 1002.45
31, 0.00000, -167.346, 1000.8
31, 900.00000, -357.655, 1024.2
31, 1800.00000, -355.871, 1022.24
31, 2700.00000, -355.318, 1020.91
32, 0.00000, -355.259, 1021.64
32, 900.00000, -524.936, 1053.24
32, 1800.00000, -523.652, 1051.4
32, 2700.00000, -523.211, 1050.56
33, 0.00000, -523.56, 1051.41
33, 900.00000, -711.117, 1076.21
33, 1800.00000, -709.186, 1075.85
33, 2700.00000, -707.589, 1073.55
34, 0.00000, -709.373, 1075.7
34, 900.00000, -897.162, 1087.95
34, 1800.00000, -743.276, 1077.16
34, 2700.00000, -742.99, 1078.09
35, 0.00000, -743.556, 1076.4
35, 900.00000, -776.982, 1079.59
35, 1800.00000, -776.691, 1078.99
35, 2700.00000, -776.643, 1078.93
36, 0.00000, -776.676, 1079.02
36, 900.00000, -747.339, 1078.31
36, 1800.00000, -761.163, 1079.16
36, 2700.00000, -760.234, 1078.76
37, 0.00000, -760.185, 1078.63
37, 900.00000, -647.349, 1066.44
37, 1800.00000, -647.897, 1067.61
37, 2700.00000, -647.717, 1067.69
38, 0.00000, -647.54, 1067.49
38, 900.00000, -530.332, 1049.97
38, 1800.00000, -529.643, 1051.46
38, 2700.00000, -528.768, 1049.61
39, 0.00000, -528.724, 1050.06
39, 900.00000, -435.612, 1028.37
39, 1800.00000, -421.5, 1032.41
39, 2700.00000, -419.16, 1033.27
40, 0.00000, -418.785, 1032.91
40, 900.00000, -163.955, 968.67
40, 1800.00000, -169.689, 957.62
40, 2700.00000, -169.901, 955.632
41, 0.00000, -169.914, 958.732
41, 900.00000, -107.265, 957.615
41, 1800.00000, -110.217, 929.13
41, 2700.00000, -110.159, 925.806
42, 0.00000, -110.222, 928.661
42, 900.00000, 0, 0
42, 1800.00000, 0, 0
42, 2700.00000, 0, 0
43, 0.00000, 0, 0
43, 900.00000, 0, 0
43, 1800.00000, 0, 0
43, 2700.00000, 0, 0
44, 0.00000, 0, 0
44, 900.00000, 0, 0
44, 1800.00000, 0, 0
44, 2700.00000, 0, 0
45, 0.00000, 0, 0
45, 900.00000, 0, 0
45, 1800.00000, 0, 0
45, 2700.00000, 0, 0
46, 0.00000, 0, 0
46, 900.00000, 0, 0
46, 1800.00000, 0, 0
46, 2700.00000, 0, 0
47, 0.00000, 0, 0
47, 900.00000, 0, 0
47, 1800.00000, 0, 0
47, 2700.00000, 0, 0
