hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 900.00000, -0.154574, -0.000302994, -0.154573, -0.000302965, -0.154571, -0.000302934, 0, 0
30, 1800.00000, -0.0481825, 0.335488, -0.0482147, 0.3355, -0.0482246, 0.335501, 0, 0
30, 2700.00000, -0.0569835, 0.334151, -0.0569782, 0.334148, -0.0569778, 0.334148, 0, 0
31, 0.00000, -0.0557792, 0.333599, -0.055784, 0.3336, -0.0557832, 0.3336, 0, 0
31, 900.00000, -0.119218, 0.341394, -0.119219, 0.341406, -0.119218, 0.3414, 0, 0
31, 1800.00000, -0.118621, 0.340741, -0.118626, 0.340753, -0.118624, 0.340747, 0, 0
31, 2700.00000, -0.118437, 0.340298, -0.118442, 0.34031, -0.118439, 0.340305, 0, 0
32, 0.00000, -0.118417, 0.340539, -0.118422, 0.340551, -0.11842, 0.340545, 0, 0
32, 900.00000, -0.174976, 0.351074, -0.174982, 0.351086, -0.174978, 0.351078, 0, 0
32, 1800.00000, -0.174548, 0.350462, -0.174554, 0.350474, -0.17455, 0.350467, 0, 0
32, 2700.00000, -0.174401, 0.350183, -0.174407, 0.350195, -0.174403, 0.350187, 0, 0
33, 0.00000, -0.174517, 0.350465, -0.174523, 0.350478, -0.174519, 0.35047, 0, 0
33, 900.00000, -0.237036, 0.358733, -0.237043, 0.358745, -0.237037, 0.358735, 0, 0
33, 1800.00000, -0.236392, 0.358614, -0.2364, 0.358625, -0.236394, 0.358616, 0, 0
33, 2700.00000, -0.23586, 0.357844, -0.235868, 0.357855, -0.235861, 0.357846, 0, 0
34, 0.00000, -0.236455, 0.358562, -0.236462, 0.358574, -0.236456, 0.358564, 0, 0
34, 900.00000, -0.299051, 0.362645, -0.29906, 0.362656, -0.299051, 0.362645, 0, 0
34, 1800.00000, -0.247756, 0.359048, -0.247764, 0.359059, -0.247757, 0.359049, 0, 0
34, 2700.00000, -0.24766, 0.35936, -0.247668, 0.359372, -0.247661, 0.359362, 0, 0
35, 0.00000, -0.247849, 0.358796, -0.247857, 0.358807, -0.24785, 0.358797, 0, 0
35, 900.00000, -0.258991, 0.35986, -0.258999, 0.359872, -0.258992, 0.359861, 0, 0
35, 1800.00000, -0.258894, 0.359661, -0.258902, 0.359672, -0.258895, 0.359662, 0, 0
35, 2700.00000, -0.258878, 0.359638, -0.258886, 0.359649, -0.258879, 0.359639, 0, 0
36, 0.00000, -0.258889, 0.359668, -0.258897, 0.359679, -0.25889, 0.359669, 0, 0
36, 900.00000, -0.24911, 0.359432, -0.249118, 0.359443, -0.249111, 0.359433, 0, 0
36, 1800.00000, -0.253718, 0.359715, -0.253726, 0.359726, -0.253719, 0.359716, 0, 0
36, 2700.00000, -0.253408, 0.359582, -0.253416, 0.359593, -0.253409, 0.359583, 0, 0
37, 0.00000, -0.253392, 0.359541, -0.2534, 0.359552, -0.253393, 0.359542, 0, 0
37, 900.00000, -0.21578, 0.355476, -0.215787, 0.355488, -0.215782, 0.355479, 0, 0
37, 1800.00000, -0.215963, 0.355866, -0.21597, 0.355878, -0.215964, 0.355869, 0, 0
37, 2700.00000, -0.215903, 0.355893, -0.21591, 0.355905, -0.215904, 0.355896, 0, 0
38, 0.00000, -0.215844, 0.355825, -0.215851, 0.355836, -0.215846, 0.355827, 0, 0
38, 900.00000, -0.176775, 0.349984, -0.176781, 0.349996, -0.176777, 0.349988, 0, 0
38, 1800.00000, -0.176545, 0.350482, -0.176551, 0.350494, -0.176547, 0.350486, 0, 0
38, 2700.00000, -0.176253, 0.349864, -0.176259, 0.349876, -0.176256, 0.349868, 0, 0
