hour, t(sec), watts, vars
24, 0.00000, -5.97855E-011, 0.0504308
24, 900.00000, -5.97855E-011, 0.0504308
24, 1800.00000, -5.97855E-011, 0.0504308
24, 2700.00000, -5.97855E-011, 0.0504308
25, 0.00000, -5.97855E-011, 0.0504308
25, 900.00000, -5.97855E-011, 0.0504308
25, 1800.00000, -5.97855E-011, 0.0504308
25, 2700.00000, -5.97855E-011, 0.0504308
26, 0.00000, -5.97855E-011, 0.0504308
26, 900.00000, -5.97855E-011, 0.0504308
26, 1800.00000, -5.97855E-011, 0.0504308
26, 2700.00000, -5.97855E-011, 0.0504308
27, 0.00000, -5.97855E-011, 0.0504308
27, 900.00000, -5.97855E-011, 0.0504308
27, 1800.00000, -5.97855E-011, 0.0504308
27, 2700.00000, -5.97855E-011, 0.0504308
28, 0.00000, -5.97855E-011, 0.0504308
28, 900.00000, -5.97855E-011, 0.0504308
28, 1800.00000, -5.97855E-011, 0.0504308
28, 2700.00000, -5.97855E-011, 0.0504308
29, 0.00000, -5.97855E-011, 0.0504308
29, 900.00000, -5.97855E-011, 0.0504308
29, 1800.00000, -5.97855E-011, 0.0504308
29, 2700.00000, -5.97855E-011, 0.0504308
30, 0.00000, -5.97855E-011, 0.0504308
30, 900.00000, 3.12868, 6.27755
30, 1800.00000, 3.12868, 6.27755
30, 2700.00000, 3.12868, 6.27755
31, 0.00000, 3.12868, 6.27755
31, 900.00000, 3.12866, 6.27751
31, 1800.00000, 3.12866, 6.27751
31, 2700.00000, 3.12866, 6.27751
32, 0.00000, 3.12866, 6.27751
32, 900.00000, 3.12867, 6.27753
32, 1800.00000, 3.12867, 6.27753
32, 2700.00000, 3.12867, 6.27753
33, 0.00000, 3.12867, 6.27753
33, 900.00000, 3.12866, 6.2775
33, 1800.00000, 3.12866, 6.2775
33, 2700.00000, 3.12866, 6.2775
34, 0.00000, 3.12866, 6.2775
34, 900.00000, 3.12868, 6.27754
34, 1800.00000, 3.12868, 6.27754
34, 2700.00000, 3.12868, 6.27754
35, 0.00000, 3.12868, 6.27754
35, 900.00000, 3.12864, 6.27746
35, 1800.00000, 3.12864, 6.27746
35, 2700.00000, 3.12864, 6.27746
36, 0.00000, 3.12864, 6.27746
36, 900.00000, 3.12868, 6.27755
36, 1800.00000, 3.12868, 6.27755
36, 2700.00000, 3.12868, 6.27755
37, 0.00000, 3.12868, 6.27755
37, 900.00000, 3.12863, 6.27745
37, 1800.00000, 3.12863, 6.27745
37, 2700.00000, 3.12863, 6.27745
38, 0.00000, 3.12863, 6.27745
38, 900.00000, 3.12867, 6.27753
38, 1800.00000, 3.12867, 6.27753
38, 2700.00000, 3.12867, 6.27753
39, 0.00000, 3.12867, 6.27753
39, 900.00000, 3.12866, 6.2775
39, 1800.00000, 3.12866, 6.2775
39, 2700.00000, 3.12866, 6.2775
40, 0.00000, 3.12866, 6.2775
40, 900.00000, 3.12868, 6.27755
40, 1800.00000, 3.12868, 6.27755
40, 2700.00000, 3.12868, 6.27755
41, 0.00000, 3.12868, 6.27755
41, 900.00000, 3.12866, 6.27751
41, 1800.00000, 3.12866, 6.27751
41, 2700.00000, 3.12866, 6.27751
42, 0.00000, 3.12866, 6.27751
42, 900.00000, -5.97855E-011, 0.0504308
42, 1800.00000, -5.97855E-011, 0.0504308
42, 2700.00000, -5.97855E-011, 0.0504308
43, 0.00000, -5.97855E-011, 0.0504308
43, 900.00000, -5.97855E-011, 0.0504308
43, 1800.00000, -5.97855E-011, 0.0504308
43, 2700.00000, -5.97855E-011, 0.0504308
44, 0.00000, -5.97855E-011, 0.0504308
44, 900.00000, -5.97855E-011, 0.0504308
44, 1800.00000, -5.97855E-011, 0.0504308
44, 2700.00000, -5.97855E-011, 0.0504308
45, 0.00000, -5.97855E-011, 0.0504308
45, 900.00000, -5.97855E-011, 0.0504308
45, 1800.00000, -5.97855E-011, 0.0504308
45, 2700.00000, -5.97855E-011, 0.0504308
46, 0.00000, -5.97855E-011, 0.0504308
46, 900.00000, -5.97855E-011, 0.0504308
46, 1800.00000, -5.97855E-011, 0.0504308
46, 2700.00000, -5.97855E-011, 0.0504308
47, 0.00000, -5.97855E-011, 0.0504308
47, 900.00000, -5.97855E-011, 0.0504308
47, 1800.00000, -5.97855E-011, 0.0504308
47, 2700.00000, -5.97855E-011, 0.0504308
