hour, t(sec), watts, vars
24, 0.00000, -52.8307, -103.289
24, 900.00000, -54.5744, -103.287
24, 1800.00000, -58.6321, -103.284
24, 2700.00000, -53.0314, -103.295
25, 0.00000, -50.7124, -103.291
25, 900.00000, -52.3115, -103.287
25, 1800.00000, -51.6804, -103.289
25, 2700.00000, -50.9693, -103.289
26, 0.00000, -51.6788, -103.288
26, 900.00000, -51.938, -103.289
26, 1800.00000, -52.0675, -103.289
26, 2700.00000, -52.959, -103.288
27, 0.00000, -53.5413, -103.288
27, 900.00000, -55.2856, -103.287
27, 1800.00000, -50.9088, -103.293
27, 2700.00000, -50.4516, -103.289
28, 0.00000, -51.872, -103.287
28, 900.00000, -54.2503, -103.286
28, 1800.00000, -55.9969, -103.287
28, 2700.00000, -62.7664, -103.281
29, 0.00000, -75.927, -103.288
29, 900.00000, -84.1764, -103.279
29, 1800.00000, -78.0078, -103.297
29, 2700.00000, -78.1909, -103.289
30, 0.00000, -76.6419, -103.291
30, 900.00000, 382.31, -112.806
30, 1800.00000, 109.017, -1041.46
30, 2700.00000, 122.038, -1040.13
31, 0.00000, 101.416, -1036.68
31, 900.00000, 253.257, -1067.64
31, 1800.00000, 245.982, -1065.5
31, 2700.00000, 241.48, -1064.11
32, 0.00000, 243.835, -1064.83
32, 900.00000, 400.062, -1100.26
32, 1800.00000, 393.463, -1098.32
32, 2700.00000, 390.106, -1097.44
33, 0.00000, 393.626, -1098.32
33, 900.00000, 575.837, -1127.85
33, 1800.00000, 572.32, -1127.31
33, 2700.00000, 561.181, -1124.88
34, 0.00000, 571.537, -1127.17
34, 900.00000, 748.265, -1144.21
34, 1800.00000, 600.077, -1129.55
34, 2700.00000, 604.258, -1130.52
35, 0.00000, 596.738, -1128.78
35, 900.00000, 631.597, -1132.94
35, 1800.00000, 628.531, -1132.31
35, 2700.00000, 628.163, -1132.23
36, 0.00000, 628.625, -1132.33
36, 900.00000, 607.199, -1130.84
36, 1800.00000, 615.731, -1131.91
36, 2700.00000, 613.593, -1131.49
37, 0.00000, 613.013, -1131.36
37, 900.00000, 504.47, -1116.39
37, 1800.00000, 509.305, -1117.6
37, 2700.00000, 509.585, -1117.67
38, 0.00000, 508.244, -1117.45
38, 900.00000, 400.265, -1097.48
38, 1800.00000, 404.961, -1098.91
38, 2700.00000, 396.474, -1096.98
39, 0.00000, 397.808, -1097.43
39, 900.00000, 315.65, -1074.78
39, 1800.00000, 301.26, -1077.34
39, 2700.00000, 299.823, -1077.95
40, 0.00000, 298.096, -1077.56
40, 900.00000, 62.9893, -1007.91
40, 1800.00000, 62.722, -998.997
40, 2700.00000, 57.8812, -996.981
41, 0.00000, 64.559, -1000.08
41, 900.00000, 8.59425, -994.321
41, 1800.00000, -1.0433, -970.201
41, 2700.00000, -7.68463, -966.871
42, 0.00000, -2.06215, -969.726
42, 900.00000, -234.025, -88.8572
42, 1800.00000, -242.791, -88.4921
42, 2700.00000, -219.593, -89.5202
43, 0.00000, -216.703, -89.6373
43, 900.00000, -214.737, -89.7293
43, 1800.00000, -214.957, -89.7256
43, 2700.00000, -219.582, -89.5294
44, 0.00000, -209.42, -89.9489
44, 900.00000, -173.82, -91.5721
44, 1800.00000, -107.922, -103.289
44, 2700.00000, -86.5733, -103.292
45, 0.00000, -75.4115, -103.29
45, 900.00000, -71.0334, -103.294
45, 1800.00000, -73.8025, -103.286
45, 2700.00000, -64.8448, -103.299
46, 0.00000, -61.5516, -103.293
46, 900.00000, -57.8015, -103.293
46, 1800.00000, -58.7009, -103.288
46, 2700.00000, -59.154, -103.288
47, 0.00000, -61.8666, -103.286
47, 900.00000, -55.8772, -103.295
47, 1800.00000, -57.4197, -103.287
47, 2700.00000, -52.8361, -103.294
