hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
24, 0.00000, -0.0176102, -0.0344297, -0.0176102, -0.0344295, -0.0176103, -0.0344297
24, 900.00000, -0.0181914, -0.0344291, -0.0181915, -0.0344289, -0.0181915, -0.0344291
24, 1800.00000, -0.019544, -0.0344282, -0.019544, -0.034428, -0.0195441, -0.0344282
24, 2700.00000, -0.0176771, -0.0344316, -0.0176771, -0.0344314, -0.0176772, -0.0344316
25, 0.00000, -0.0169041, -0.0344305, -0.0169042, -0.0344303, -0.0169042, -0.0344305
25, 900.00000, -0.0174371, -0.0344291, -0.0174372, -0.0344289, -0.0174372, -0.0344291
25, 1800.00000, -0.0172267, -0.0344299, -0.0172268, -0.0344297, -0.0172268, -0.0344299
25, 2700.00000, -0.0169897, -0.0344299, -0.0169898, -0.0344297, -0.0169898, -0.0344299
26, 0.00000, -0.0172262, -0.0344294, -0.0172263, -0.0344292, -0.0172263, -0.0344294
26, 900.00000, -0.0173126, -0.0344296, -0.0173127, -0.0344294, -0.0173127, -0.0344296
26, 1800.00000, -0.0173558, -0.0344296, -0.0173558, -0.0344294, -0.0173559, -0.0344296
26, 2700.00000, -0.0176529, -0.0344294, -0.017653, -0.0344292, -0.017653, -0.0344294
27, 0.00000, -0.0178471, -0.0344295, -0.0178471, -0.0344293, -0.0178472, -0.0344295
27, 900.00000, -0.0184285, -0.0344291, -0.0184285, -0.0344289, -0.0184286, -0.0344291
27, 1800.00000, -0.0169696, -0.0344312, -0.0169696, -0.034431, -0.0169697, -0.0344312
27, 2700.00000, -0.0168172, -0.0344298, -0.0168172, -0.0344296, -0.0168173, -0.0344298
28, 0.00000, -0.0172906, -0.0344292, -0.0172907, -0.034429, -0.0172907, -0.0344292
28, 900.00000, -0.0180834, -0.0344288, -0.0180834, -0.0344286, -0.0180835, -0.0344288
28, 1800.00000, -0.0186656, -0.0344291, -0.0186656, -0.0344289, -0.0186657, -0.0344291
28, 2700.00000, -0.0209221, -0.0344272, -0.0209221, -0.034427, -0.0209222, -0.0344272
29, 0.00000, -0.0253089, -0.0344294, -0.025309, -0.0344292, -0.025309, -0.0344294
29, 900.00000, -0.0280588, -0.0344263, -0.0280588, -0.0344261, -0.0280588, -0.0344263
29, 1800.00000, -0.0260026, -0.0344324, -0.0260026, -0.0344322, -0.0260026, -0.0344324
29, 2700.00000, -0.0260636, -0.0344297, -0.0260636, -0.0344295, -0.0260637, -0.0344297
30, 0.00000, -0.0255473, -0.0344304, -0.0255473, -0.0344302, -0.0255473, -0.0344304
30, 900.00000, 0.127437, -0.0376024, 0.127437, -0.0376016, 0.127436, -0.0376017
30, 1800.00000, 0.0363017, -0.347146, 0.0363448, -0.347154, 0.0363707, -0.347163
30, 2700.00000, 0.0406716, -0.346711, 0.0406759, -0.346704, 0.0406909, -0.346711
31, 0.00000, 0.0337916, -0.345559, 0.0338044, -0.345557, 0.0338202, -0.345564
31, 900.00000, 0.0844058, -0.355876, 0.0844193, -0.355881, 0.0844323, -0.355883
31, 1800.00000, 0.081979, -0.355163, 0.0819953, -0.355168, 0.0820073, -0.35517
31, 2700.00000, 0.0804783, -0.354698, 0.0804946, -0.354704, 0.0805066, -0.354705
32, 0.00000, 0.0812634, -0.35494, 0.0812798, -0.354946, 0.0812918, -0.354947
32, 900.00000, 0.133338, -0.366749, 0.133356, -0.366753, 0.133367, -0.366753
32, 1800.00000, 0.131138, -0.366104, 0.131157, -0.366108, 0.131168, -0.366109
32, 2700.00000, 0.130019, -0.365811, 0.130038, -0.365815, 0.130049, -0.365815
33, 0.00000, 0.131193, -0.366105, 0.131211, -0.366109, 0.131223, -0.36611
33, 900.00000, 0.191928, -0.375947, 0.191949, -0.37595, 0.191959, -0.375949
33, 1800.00000, 0.190756, -0.375767, 0.190777, -0.375771, 0.190787, -0.375769
33, 2700.00000, 0.187043, -0.374957, 0.187064, -0.374961, 0.187074, -0.37496
34, 0.00000, 0.190495, -0.375721, 0.190516, -0.375724, 0.190526, -0.375723
34, 900.00000, 0.249403, -0.381403, 0.249427, -0.381404, 0.249435, -0.381402
34, 1800.00000, 0.200008, -0.376516, 0.200029, -0.376519, 0.200039, -0.376518
34, 2700.00000, 0.201402, -0.376838, 0.201423, -0.376841, 0.201433, -0.37684
35, 0.00000, 0.198895, -0.376258, 0.198916, -0.376261, 0.198926, -0.376259
35, 900.00000, 0.210515, -0.377644, 0.210536, -0.377647, 0.210546, -0.377645
35, 1800.00000, 0.209493, -0.377434, 0.209515, -0.377437, 0.209524, -0.377435
35, 2700.00000, 0.20937, -0.37741, 0.209392, -0.377413, 0.209401, -0.377411
36, 0.00000, 0.209524, -0.377442, 0.209546, -0.377445, 0.209555, -0.377443
36, 900.00000, 0.202382, -0.376944, 0.202404, -0.376947, 0.202413, -0.376945
36, 1800.00000, 0.205226, -0.377302, 0.205248, -0.377305, 0.205257, -0.377304
36, 2700.00000, 0.204513, -0.377162, 0.204535, -0.377165, 0.204544, -0.377163
37, 0.00000, 0.20432, -0.37712, 0.204342, -0.377123, 0.204351, -0.377121
37, 900.00000, 0.16814, -0.372128, 0.16816, -0.372131, 0.16817, -0.37213
37, 1800.00000, 0.169751, -0.372532, 0.169771, -0.372536, 0.169782, -0.372535
37, 2700.00000, 0.169845, -0.372555, 0.169865, -0.372558, 0.169875, -0.372558
38, 0.00000, 0.169398, -0.372481, 0.169418, -0.372485, 0.169428, -0.372484
38, 900.00000, 0.133406, -0.365824, 0.133424, -0.365828, 0.133435, -0.365828
38, 1800.00000, 0.134971, -0.3663, 0.134989, -0.366304, 0.135, -0.366304
38, 2700.00000, 0.132142, -0.365657, 0.132161, -0.365661, 0.132172, -0.365661
39, 0.00000, 0.132587, -0.365807, 0.132605, -0.365812, 0.132616, -0.365812
39, 900.00000, 0.105202, -0.358257, 0.105219, -0.358261, 0.10523, -0.358262
39, 1800.00000, 0.100405, -0.359108, 0.100422, -0.359113, 0.100433, -0.359114
39, 2700.00000, 0.0999257, -0.359312, 0.0999428, -0.359317, 0.0999545, -0.359318
40, 0.00000, 0.0993499, -0.359181, 0.0993671, -0.359186, 0.0993787, -0.359188
40, 900.00000, 0.0209837, -0.335969, 0.0209961, -0.335966, 0.0210095, -0.335972
40, 1800.00000, 0.0208984, -0.333, 0.0209051, -0.332995, 0.0209185, -0.333001
40, 2700.00000, 0.0192851, -0.332328, 0.0192914, -0.332323, 0.0193047, -0.33233
41, 0.00000, 0.0215108, -0.333361, 0.0215174, -0.333356, 0.0215308, -0.333363
41, 900.00000, 0.00285375, -0.33144, 0.00286316, -0.331437, 0.00287735, -0.331444
41, 1800.00000, -0.000355892, -0.323402, -0.000349928, -0.323397, -0.000337475, -0.323403
41, 2700.00000, -0.00256949, -0.322292, -0.00256377, -0.322287, -0.00255136, -0.322293
42, 0.00000, -0.000695479, -0.323243, -0.000689558, -0.323238, -0.000677109, -0.323244
42, 900.00000, -0.0780079, -0.029619, -0.0780084, -0.0296189, -0.0780085, -0.0296194
42, 1800.00000, -0.0809301, -0.0294973, -0.0809306, -0.0294972, -0.0809307, -0.0294977
42, 2700.00000, -0.0731972, -0.02984, -0.0731976, -0.0298399, -0.0731978, -0.0298404
43, 0.00000, -0.0722341, -0.029879, -0.0722345, -0.0298789, -0.0722346, -0.0298794
43, 900.00000, -0.0715787, -0.0299097, -0.0715792, -0.0299096, -0.0715793, -0.02991
43, 1800.00000, -0.0716521, -0.0299084, -0.0716525, -0.0299084, -0.0716527, -0.0299088
43, 2700.00000, -0.0731937, -0.0298431, -0.0731941, -0.029843, -0.0731943, -0.0298434
44, 0.00000, -0.0698064, -0.0299829, -0.0698068, -0.0299828, -0.0698069, -0.0299832
44, 900.00000, -0.0579398, -0.030524, -0.0579401, -0.0305239, -0.0579402, -0.0305243
44, 1800.00000, -0.035974, -0.0344297, -0.035974, -0.0344295, -0.035974, -0.0344297
44, 2700.00000, -0.0288577, -0.0344306, -0.0288578, -0.0344304, -0.0288578, -0.0344306
45, 0.00000, -0.0251371, -0.0344301, -0.0251372, -0.0344299, -0.0251372, -0.0344301
45, 900.00000, -0.0236777, -0.0344315, -0.0236778, -0.0344313, -0.0236778, -0.0344315
45, 1800.00000, -0.0246008, -0.0344287, -0.0246008, -0.0344285, -0.0246009, -0.0344287
45, 2700.00000, -0.0216149, -0.0344332, -0.0216149, -0.0344329, -0.021615, -0.0344332
46, 0.00000, -0.0205172, -0.0344309, -0.0205172, -0.0344307, -0.0205173, -0.0344309
46, 900.00000, -0.0192671, -0.0344311, -0.0192672, -0.0344308, -0.0192672, -0.0344311
46, 1800.00000, -0.0195669, -0.0344294, -0.019567, -0.0344292, -0.019567, -0.0344294
