hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
24, 0.00000, 122.771, 0.617997, 122.771, -119.382, 122.771, 120.618, 0.314993, 117.707, 0.314992, -2.29285, 0.314993, -122.293
24, 900.00000, 122.722, 0.596853, 122.722, -119.403, 122.722, 120.597, 0.317298, 118.448, 0.317296, -1.55212, 0.317298, -121.552
24, 1800.00000, 122.609, 0.547609, 122.609, -119.452, 122.609, 120.548, 0.322885, 120.13, 0.322884, 0.130244, 0.322886, -119.87
24, 2700.00000, 122.765, 0.61564, 122.765, -119.384, 122.765, 120.616, 0.31527, 117.791, 0.315269, -2.20837, 0.315271, -122.208
25, 0.00000, 122.83, 0.643662, 122.83, -119.356, 122.83, 120.644, 0.312272, 116.793, 0.312271, -3.20679, 0.312272, -123.207
25, 900.00000, 122.785, 0.624263, 122.785, -119.376, 122.785, 120.624, 0.314312, 117.485, 0.314311, -2.51497, 0.314313, -122.515
25, 1800.00000, 122.803, 0.63193, 122.803, -119.368, 122.803, 120.632, 0.313503, 117.213, 0.313502, -2.78711, 0.313503, -122.787
25, 2700.00000, 122.823, 0.640535, 122.823, -119.359, 122.823, 120.641, 0.312594, 116.905, 0.312593, -3.09487, 0.312594, -123.095
26, 0.00000, 122.803, 0.631931, 122.803, -119.368, 122.803, 120.632, 0.313497, 117.212, 0.313496, -2.7875, 0.313498, -122.788
26, 900.00000, 122.796, 0.6288, 122.796, -119.371, 122.796, 120.629, 0.313832, 117.324, 0.313831, -2.67585, 0.313833, -122.676
26, 1800.00000, 122.792, 0.627235, 122.792, -119.373, 122.792, 120.627, 0.314, 117.38, 0.313999, -2.62014, 0.314, -122.62
26, 2700.00000, 122.767, 0.616432, 122.767, -119.384, 122.767, 120.616, 0.315158, 117.762, 0.315157, -2.23783, 0.315159, -122.238
27, 0.00000, 122.751, 0.609384, 122.751, -119.391, 122.751, 120.609, 0.315926, 118.01, 0.315924, -1.98973, 0.315926, -121.99
27, 900.00000, 122.703, 0.588234, 122.703, -119.412, 122.703, 120.588, 0.318256, 118.747, 0.318255, -1.25322, 0.318257, -121.253
27, 1800.00000, 122.824, 0.641313, 122.824, -119.359, 122.824, 120.641, 0.312526, 116.878, 0.312525, -3.1219, 0.312527, -123.122
27, 2700.00000, 122.837, 0.646793, 122.837, -119.353, 122.837, 120.647, 0.311938, 116.68, 0.311936, -3.31993, 0.311938, -123.32
28, 0.00000, 122.798, 0.629584, 122.798, -119.37, 122.798, 120.63, 0.313744, 117.296, 0.313743, -2.70404, 0.313745, -122.704
28, 900.00000, 122.731, 0.600772, 122.731, -119.399, 122.731, 120.601, 0.316862, 118.311, 0.316861, -1.68878, 0.316863, -121.689
28, 1800.00000, 122.683, 0.57961, 122.683, -119.42, 122.683, 120.58, 0.319224, 119.044, 0.319223, -0.956005, 0.319225, -120.956
28, 2700.00000, 122.494, 0.497336, 122.494, -119.503, 122.494, 120.497, 0.328882, 121.785, 0.328881, 1.78542, 0.328883, -118.215
29, 0.00000, 122.123, 0.336885, 122.123, -119.663, 122.123, 120.337, 0.3499, 126.656, 0.349898, 6.65657, 0.3499, -113.344
29, 900.00000, 121.89, 0.235649, 121.89, -119.764, 121.89, 120.236, 0.364366, 129.417, 0.364365, 9.41722, 0.364366, -110.583
29, 1800.00000, 122.064, 0.311525, 122.064, -119.688, 122.064, 120.312, 0.353484, 127.371, 0.353483, 7.37102, 0.353484, -112.629
29, 2700.00000, 122.059, 0.309185, 122.059, -119.691, 122.059, 120.309, 0.353782, 127.435, 0.353781, 7.4354, 0.353783, -112.565
30, 0.00000, 122.103, 0.328175, 122.103, -119.672, 122.103, 120.328, 0.351124, 126.903, 0.351123, 6.90366, 0.351124, -113.096
30, 900.00000, 133.157, 5.59984, 133.157, -114.4, 133.157, 125.6, 0.997836, 22.0394, 0.997831, -97.961, 0.997823, 142.039
