hour, t(sec), watts, vars
24, 0.00000, 0, 0
24, 900.00000, 0, 0
24, 1800.00000, 0, 0
24, 2700.00000, 0, 0
25, 0.00000, 0, 0
25, 900.00000, 0, 0
25, 1800.00000, 0, 0
25, 2700.00000, 0, 0
26, 0.00000, 0, 0
26, 900.00000, 0, 0
26, 1800.00000, 0, 0
26, 2700.00000, 0, 0
27, 0.00000, 0, 0
27, 900.00000, 0, 0
27, 1800.00000, 0, 0
27, 2700.00000, 0, 0
28, 0.00000, 0, 0
28, 900.00000, 0, 0
28, 1800.00000, 0, 0
28, 2700.00000, 0, 0
29, 0.00000, 0, 0
29, 900.00000, 0, 0
29, 1800.00000, 0, 0
29, 2700.00000, 0, 0
30, 0.00000, 0, 0
30, 900.00000, 0, 0
30, 1800.00000, 0, 0
30, 2700.00000, 0, 0
31, 0.00000, 0, 0
31, 900.00000, 0, 0
31, 1800.00000, 0, 0
31, 2700.00000, 0, 0
32, 0.00000, 0, 0
32, 900.00000, 0, 0
32, 1800.00000, 0, 0
32, 2700.00000, 0, 0
33, 0.00000, 0, 0
33, 900.00000, 0, 0
33, 1800.00000, 0, 0
33, 2700.00000, 0, 0
34, 0.00000, 0, 0
34, 900.00000, 0, 0
34, 1800.00000, 0, 0
34, 2700.00000, 0, 0
35, 0.00000, 0, 0
35, 900.00000, 0, 0
35, 1800.00000, 0, 0
35, 2700.00000, 0, 0
36, 0.00000, 0, 0
36, 900.00000, 0, 0
36, 1800.00000, 0, 0
36, 2700.00000, 0, 0
37, 0.00000, 0, 0
37, 900.00000, 0, 0
37, 1800.00000, 0, 0
37, 2700.00000, 0, 0
38, 0.00000, 0, 0
38, 900.00000, 0, 0
38, 1800.00000, 0, 0
38, 2700.00000, 0, 0
39, 0.00000, 0, 0
39, 900.00000, 0, 0
39, 1800.00000, 0, 0
39, 2700.00000, 0, 0
40, 0.00000, 0, 0
40, 900.00000, 0, 0
40, 1800.00000, 0, 0
40, 2700.00000, 0, 0
41, 0.00000, 0, 0
41, 900.00000, 0, 0
41, 1800.00000, 0, 0
41, 2700.00000, 0, 0
42, 0.00000, 0, 0
42, 900.00000, 0, 0
42, 1800.00000, 0, 0
42, 2700.00000, 0, 0
43, 0.00000, 0, 0
43, 900.00000, 0, 0
43, 1800.00000, 0, 0
43, 2700.00000, 0, 0
44, 0.00000, 0, 0
44, 900.00000, 0, 0
44, 1800.00000, 0, 0
44, 2700.00000, 0, 0
45, 0.00000, 0, 0
45, 900.00000, 0, 0
45, 1800.00000, 0, 0
45, 2700.00000, 0, 0
46, 0.00000, 0, 0
46, 900.00000, 0, 0
46, 1800.00000, 0, 0
46, 2700.00000, 0, 0
47, 0.00000, 0, 0
47, 900.00000, 0, 0
47, 1800.00000, 0, 0
47, 2700.00000, 0, 0
