hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
24, 0.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 0, 0, 0, 0, 0, 0
24, 900.00000, 127.002, -29.9988, 127.003, -149.999, 127.003, 90.0011, 0, 0, 0, 0, 0, 0
24, 1800.00000, 127.002, -29.999, 127.002, -149.999, 127.002, 90.0009, 0, 0, 0, 0, 0, 0
24, 2700.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 0, 0, 0, 0, 0, 0
25, 0.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 0, 0, 0, 0, 0, 0
25, 900.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 0, 0, 0, 0, 0, 0
25, 1800.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 0, 0, 0, 0, 0, 0
25, 2700.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 0, 0, 0, 0, 0, 0
26, 0.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 0, 0, 0, 0, 0, 0
26, 900.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0012, 0, 0, 0, 0, 0, 0
26, 1800.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 0, 0, 0, 0, 0, 0
26, 2700.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 0, 0, 0, 0, 0, 0
27, 0.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 0, 0, 0, 0, 0, 0
27, 900.00000, 127.002, -29.9988, 127.002, -149.999, 127.003, 90.0011, 0, 0, 0, 0, 0, 0
27, 1800.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 0, 0, 0, 0, 0, 0
27, 2700.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 0, 0, 0, 0, 0, 0
28, 0.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 0, 0, 0, 0, 0, 0
28, 900.00000, 127.002, -29.9988, 127.003, -149.999, 127.003, 90.0011, 0, 0, 0, 0, 0, 0
28, 1800.00000, 127.002, -29.9988, 127.002, -149.999, 127.002, 90.0011, 0, 0, 0, 0, 0, 0
28, 2700.00000, 127.001, -29.9992, 127.002, -149.999, 127.002, 90.0008, 0, 0, 0, 0, 0, 0
