hour, t(sec), watts, vars
24, 0.00000, 0.00359449, -0.00231745
24, 900.00000, 0.00364457, -0.00229804
24, 1800.00000, 0.00376735, -0.00225044
24, 2700.00000, 0.00359997, -0.00231532
25, 0.00000, 0.00353584, -0.00234019
25, 900.00000, 0.00357996, -0.00232308
25, 1800.00000, 0.00356236, -0.0023299
25, 2700.00000, 0.00354286, -0.00233746
26, 0.00000, 0.00356236, -0.0023299
26, 900.00000, 0.00356952, -0.00232713
26, 1800.00000, 0.00357311, -0.00232574
26, 2700.00000, 0.00359814, -0.00231603
27, 0.00000, 0.0036147, -0.00230962
27, 900.00000, 0.00366544, -0.00228995
27, 1800.00000, 0.0035411, -0.00233814
27, 2700.00000, 0.00352885, -0.00234289
28, 0.00000, 0.00356772, -0.00232782
28, 900.00000, 0.00363517, -0.00230168
28, 1800.00000, 0.00368658, -0.00228175
28, 2700.00000, 0.00390155, -0.00219843
29, 0.00000, 0.00438877, -0.00200958
29, 900.00000, 0.00474217, -0.0018726
29, 1800.00000, 0.00447383, -0.0019766
29, 2700.00000, 0.00448193, -0.00197347
30, 0.00000, 0.00441775, -0.00199834
30, 900.00000, 0.0286165, 0.00737757
30, 1800.00000, 0.0266947, 0.0066329
30, 2700.00000, 0.0226415, 0.00506232
31, 0.00000, 0.0160539, 0.00250974
31, 900.00000, 0.0853963, 0.0293796
31, 1800.00000, 0.0817576, 0.0279696
31, 2700.00000, 0.0791946, 0.0269764
32, 0.00000, 0.0807507, 0.0275794
32, 900.00000, 0.176897, 0.0648364
32, 1800.00000, 0.172172, 0.0630053
32, 2700.00000, 0.169607, 0.0620114
33, 0.00000, 0.172392, 0.0630908
33, 900.00000, 0.302004, 0.113316
33, 1800.00000, 0.300251, 0.112637
33, 2700.00000, 0.290195, 0.10874
34, 0.00000, 0.299239, 0.112244
34, 900.00000, 0.42767, 0.162012
34, 1800.00000, 0.422127, 0.159865
34, 2700.00000, 0.427582, 0.161978
35, 0.00000, 0.417733, 0.158162
35, 900.00000, 0.351685, 0.132568
35, 1800.00000, 0.348621, 0.13138
35, 2700.00000, 0.348267, 0.131243
36, 0.00000, 0.348738, 0.131426
36, 900.00000, 0.336154, 0.126549
36, 1800.00000, 0.331124, 0.1246
36, 2700.00000, 0.329793, 0.124084
37, 0.00000, 0.32922, 0.123862
37, 900.00000, 0.248191, 0.0924631
37, 1800.00000, 0.252434, 0.0941072
37, 2700.00000, 0.252869, 0.0942758
38, 0.00000, 0.251673, 0.0938126
38, 900.00000, 0.173633, 0.0635714
38, 1800.00000, 0.178266, 0.065367
38, 2700.00000, 0.171436, 0.0627201
39, 0.00000, 0.172585, 0.0631653
39, 900.00000, 0.114116, 0.0405084
39, 1800.00000, 0.111223, 0.0393873
39, 2700.00000, 0.111443, 0.0394726
40, 0.00000, 0.110388, 0.0390639
40, 900.00000, 0.00931862, -0.000100017
40, 1800.00000, 0.00897489, -0.000233205
40, 2700.00000, 0.00806163, -0.000587062
41, 0.00000, 0.00925006, -0.000126585
41, 900.00000, 0.00288411, -0.00259296
41, 1800.00000, 0.0028649, -0.00260039
41, 2700.00000, 0.00286332, -0.00260095
42, 0.00000, 0.00285661, -0.0026036
42, 900.00000, 0.0189512, 0.00363416
42, 1800.00000, 0.0203424, 0.00417331
42, 2700.00000, 0.0168182, 0.00280753
43, 0.00000, 0.0164119, 0.00265006
43, 900.00000, 0.0161407, 0.00254498
43, 1800.00000, 0.0161717, 0.002557
43, 2700.00000, 0.0168182, 0.00280753
44, 0.00000, 0.0154204, 0.0022658
44, 900.00000, 0.0112127, 0.000635145
44, 1800.00000, 0.00595984, -0.00140065
44, 2700.00000, 0.0048507, -0.00183053
45, 0.00000, 0.00436786, -0.00201768
45, 900.00000, 0.00419639, -0.00208414
45, 1800.00000, 0.00430395, -0.00204245
45, 2700.00000, 0.00397163, -0.00217126
46, 0.00000, 0.00386075, -0.00221424
46, 900.00000, 0.00374121, -0.00226057
46, 1800.00000, 0.00376938, -0.00224966
46, 2700.00000, 0.00378363, -0.00224413
47, 0.00000, 0.00387141, -0.00221011
47, 900.00000, 0.00368272, -0.00228325
47, 1800.00000, 0.00372967, -0.00226505
47, 2700.00000, 0.00359449, -0.00231745
