hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
24, 0.00000, 0.0176101, 0.0344296, 0.0176102, 0.0344294, 0.0176102, 0.0344294, -4.14858E-012, 2.85964E-013
24, 900.00000, 0.018192, 0.0344296, 0.0181921, 0.0344294, 0.0181922, 0.0344295, -4.2072E-012, 2.88957E-013
24, 1800.00000, 0.0195456, 0.0344296, 0.0195457, 0.0344294, 0.0195458, 0.0344295, -4.35023E-012, 2.96564E-013
24, 2700.00000, 0.0176747, 0.0344296, 0.0176748, 0.0344294, 0.0176749, 0.0344294, -4.155E-012, 2.86291E-013
25, 0.00000, 0.0169031, 0.0344296, 0.0169032, 0.0344294, 0.0169032, 0.0344294, -4.0797E-012, 2.82541E-013
25, 900.00000, 0.0174376, 0.0344296, 0.0174377, 0.0344294, 0.0174378, 0.0344294, -4.13155E-012, 2.85107E-013
25, 1800.00000, 0.0172264, 0.0344296, 0.0172265, 0.0344294, 0.0172265, 0.0344294, -4.11088E-012, 2.84078E-013
25, 2700.00000, 0.0169893, 0.0344296, 0.0169894, 0.0344294, 0.0169895, 0.0344294, -4.08797E-012, 2.82946E-013
26, 0.00000, 0.0172264, 0.0344296, 0.0172265, 0.0344294, 0.0172265, 0.0344294, -4.11088E-012, 2.84077E-013
26, 900.00000, 0.0173126, 0.0344296, 0.0173127, 0.0344294, 0.0173128, 0.0344294, -4.11929E-012, 2.84496E-013
26, 1800.00000, 0.0173557, 0.0344296, 0.0173558, 0.0344294, 0.0173559, 0.0344294, -4.12351E-012, 2.84706E-013
26, 2700.00000, 0.0176532, 0.0344296, 0.0176533, 0.0344294, 0.0176533, 0.0344294, -4.15286E-012, 2.8618E-013
27, 0.00000, 0.0178472, 0.0344296, 0.0178473, 0.0344294, 0.0178473, 0.0344295, -4.17225E-012, 2.87164E-013
27, 900.00000, 0.0184291, 0.0344296, 0.0184292, 0.0344294, 0.0184292, 0.0344295, -4.23157E-012, 2.90223E-013
27, 1800.00000, 0.0169678, 0.0344296, 0.0169679, 0.0344294, 0.0169679, 0.0344294, -4.08589E-012, 2.82846E-013
27, 2700.00000, 0.0168169, 0.0344296, 0.016817, 0.0344294, 0.016817, 0.0344294, -4.07148E-012, 2.82138E-013
28, 0.00000, 0.0172911, 0.0344296, 0.0172911, 0.0344294, 0.0172912, 0.0344294, -4.11719E-012, 2.8439E-013
28, 900.00000, 0.0180842, 0.0344296, 0.0180843, 0.0344294, 0.0180844, 0.0344295, -4.19621E-012, 2.8839E-013
28, 1800.00000, 0.0186662, 0.0344296, 0.0186663, 0.0344294, 0.0186663, 0.0344295, -4.25624E-012, 2.91517E-013
28, 2700.00000, 0.0209251, 0.0344296, 0.0209251, 0.0344294, 0.0209252, 0.0344295, -4.50561E-012, 3.05303E-013
29, 0.00000, 0.0253091, 0.0344297, 0.0253092, 0.0344295, 0.0253092, 0.0344296, -5.06379E-012, 3.40582E-013
29, 900.00000, 0.0280637, 0.0344298, 0.0280638, 0.0344295, 0.0280639, 0.0344296, -5.46445E-012, 3.69414E-013
29, 1800.00000, 0.0259989, 0.0344297, 0.0259989, 0.0344295, 0.025999, 0.0344296, -5.16047E-012, 3.47299E-013
29, 2700.00000, 0.0260635, 0.0344297, 0.0260636, 0.0344295, 0.0260637, 0.0344296, -5.16967E-012, 3.4794E-013
30, 0.00000, 0.0255462, 0.0344297, 0.0255463, 0.0344295, 0.0255464, 0.0344296, -5.09674E-012, 3.4286E-013
30, 900.00000, -0.103557, 0.0344328, -0.103554, 0.0344324, -0.103556, 0.0344329, -2.75229E-011, 4.65823E-012
30, 1800.00000, -0.0996198, 0.0344326, -0.0996171, 0.0344322, -0.0996187, 0.0344325, -2.49537E-011, 5.36215E-012
30, 2700.00000, -0.0907584, 0.034432, -0.090756, 0.0344317, -0.0907575, 0.034432, -2.1352E-011, 4.91563E-012
31, 0.00000, -0.0741307, 0.0344312, -0.0741287, 0.0344309, -0.0741299, 0.0344311, -1.54894E-011, 3.87841E-012
31, 900.00000, -0.185368, 0.0344401, -0.185357, 0.0344393, -0.185363, 0.0344406, -5.18566E-011, 3.83533E-011
31, 1800.00000, -0.181236, 0.0344399, -0.181225, 0.034439, -0.181231, 0.0344398, -4.16168E-011, 4.23951E-011
31, 2700.00000, -0.178268, 0.0344395, -0.178257, 0.0344387, -0.178263, 0.0344395, -4.02779E-011, 4.17297E-011
32, 0.00000, -0.180076, 0.0344397, -0.180065, 0.0344389, -0.180071, 0.0344397, -4.13034E-011, 4.19958E-011
32, 900.00000, -0.269192, 0.0344521, -0.269168, 0.0344504, -0.26918, 0.0344528, -2.86907E-011, 1.1335E-010
32, 1800.00000, -0.265512, 0.0344519, -0.265487, 0.0344501, -0.2655, 0.0344517, -3.16888E-012, 1.22818E-010
32, 2700.00000, -0.263493, 0.0344516, -0.263468, 0.0344498, -0.263481, 0.0344514, -2.07728E-012, 1.22371E-010
33, 0.00000, -0.265685, 0.0344519, -0.26566, 0.0344501, -0.265673, 0.0344517, -3.02759E-012, 1.22897E-010
33, 900.00000, -0.352954, 0.0344686, -0.352913, 0.0344656, -0.352934, 0.0344695, 1.12061E-010, 2.43411E-010
33, 1800.00000, -0.351919, 0.034469, -0.351876, 0.0344658, -0.351898, 0.0344686, 1.75173E-010, 2.64669E-010
33, 2700.00000, -0.345917, 0.0344678, -0.345874, 0.0344646, -0.345896, 0.0344671, 1.785E-010, 2.64046E-010
34, 0.00000, -0.35132, 0.0344689, -0.351276, 0.0344657, -0.351299, 0.0344684, 1.77252E-010, 2.65055E-010
34, 900.00000, -0.420639, 0.0344854, -0.420578, 0.0344809, -0.420609, 0.034486, 4.29094E-010, 4.19158E-010
34, 1800.00000, -0.417886, 0.0344854, -0.417823, 0.0344807, -0.417855, 0.0344845, 5.30806E-010, 4.47899E-010
34, 2700.00000, -0.420597, 0.0344861, -0.420533, 0.0344814, -0.420566, 0.0344852, 5.44096E-010, 4.51624E-010
35, 0.00000, -0.41569, 0.0344849, -0.415626, 0.0344802, -0.415659, 0.0344838, 5.4264E-010, 4.50882E-010
35, 900.00000, -0.381152, 0.0344763, -0.381099, 0.0344723, -0.381126, 0.0344748, 3.62144E-010, 3.55819E-010
