hour, t(sec), watts, vars
24, 0.00000, 52.8268, 103.291
24, 900.00000, 54.5727, 103.291
24, 1800.00000, 58.6333, 103.291
24, 2700.00000, 53.0208, 103.291
25, 0.00000, 50.706, 103.291
25, 900.00000, 52.3095, 103.291
25, 1800.00000, 51.6758, 103.291
25, 2700.00000, 50.9647, 103.291
26, 0.00000, 51.6758, 103.291
26, 900.00000, 51.9345, 103.291
26, 1800.00000, 52.0638, 103.291
26, 2700.00000, 52.9562, 103.291
27, 0.00000, 53.5382, 103.291
27, 900.00000, 55.2838, 103.291
27, 1800.00000, 50.9, 103.291
27, 2700.00000, 50.4473, 103.291
28, 0.00000, 51.8698, 103.291
28, 900.00000, 54.2493, 103.291
28, 1800.00000, 55.9952, 103.291
28, 2700.00000, 62.7715, 103.291
29, 0.00000, 75.9232, 103.291
29, 900.00000, 84.1867, 103.291
29, 1800.00000, 77.9923, 103.291
29, 2700.00000, 78.1863, 103.291
30, 0.00000, 76.6345, 103.291
30, 900.00000, 81.7297, 103.291
30, 1800.00000, 93.5365, 103.291
30, 2700.00000, 120.112, 103.291
31, 0.00000, 169.977, 103.291
31, 900.00000, 224.485, 103.291
31, 1800.00000, 236.873, 103.291
31, 2700.00000, 245.772, 103.291
32, 0.00000, 240.353, 103.291
32, 900.00000, 247.704, 103.31
32, 1800.00000, 252.644, 102.563
32, 2700.00000, -95.3223, 1704.57
33, 0.00000, -200514, 953755
33, 900.00000, -1.40288E008, 7.71775E008
33, 1800.00000, -1.17456E011, 6.6423E011
33, 2700.00000, -9.0393E013, 6.01882E014
34, 0.00000, -8.42571E016, 4.84195E017
34, 900.00000, -7.88247E019, 5.63975E020
34, 1800.00000, -8.74197E022, 6.87577E023
34, 2700.00000, -1.10464E026, 7.91506E026
35, 0.00000, -1.15986E029, 9.86466E029
35, 900.00000, -1.41665E032, 9.52897E032
35, 1800.00000, -1.35029E035, 9.55876E035
35, 2700.00000, -1.32587E038, INF
36, 0.00000, -INF, INF
36, 900.00000, -INF, INF
36, 1800.00000, -INF, INF
36, 2700.00000, -INF, INF
37, 0.00000, -INF, INF
37, 900.00000, -INF, INF
37, 1800.00000, -INF, INF
37, 2700.00000, -INF, INF
38, 0.00000, -INF, INF
38, 900.00000, -INF, INF
38, 1800.00000, -INF, INF
38, 2700.00000, -INF, INF
39, 0.00000, -INF, INF
39, 900.00000, -INF, INF
39, 1800.00000, -INF, INF
39, 2700.00000, -INF, INF
40, 0.00000, -INF, INF
40, 900.00000, -INF, INF
40, 1800.00000, -INF, INF
40, 2700.00000, -INF, INF
41, 0.00000, -INF, INF
41, 900.00000, -INF, INF
41, 1800.00000, -INF, INF
41, 2700.00000, -INF, INF
42, 0.00000, -INF, INF
42, 900.00000, -4301.5, -2902.95
42, 1800.00000, 255.896, 103.291
42, 2700.00000, 228.675, 103.291
43, 0.00000, 225.325, 103.291
43, 900.00000, 223.062, 103.291
43, 1800.00000, 223.322, 103.291
43, 2700.00000, 228.675, 103.291
44, 0.00000, 216.933, 103.291
44, 900.00000, 176.947, 103.291
44, 1800.00000, 107.917, 103.291
44, 2700.00000, 86.5662, 103.291
45, 0.00000, 75.406, 103.291
45, 900.00000, 71.022, 103.291
45, 1800.00000, 73.8023, 103.291
45, 2700.00000, 64.8277, 103.291
46, 0.00000, 61.543, 103.291
46, 900.00000, 57.7927, 103.291
46, 1800.00000, 58.698, 103.291
46, 2700.00000, 59.1505, 103.291
47, 0.00000, 61.8662, 103.291
47, 900.00000, 55.8658, 103.291
47, 1800.00000, 57.4177, 103.291
47, 2700.00000, 52.8268, 103.291
