hour, t(sec), watts, vars
24, 0.00000, 0, 0
24, 900.00000, 0, 0
24, 1800.00000, 0, 0
24, 2700.00000, 0, 0
25, 0.00000, 0, 0
25, 900.00000, 0, 0
25, 1800.00000, 0, 0
25, 2700.00000, 0, 0
26, 0.00000, 0, 0
26, 900.00000, 0, 0
26, 1800.00000, 0, 0
26, 2700.00000, 0, 0
27, 0.00000, 0, 0
27, 900.00000, 0, 0
27, 1800.00000, 0, 0
27, 2700.00000, 0, 0
28, 0.00000, 0, 0
28, 900.00000, 0, 0
28, 1800.00000, 0, 0
28, 2700.00000, 0, 0
29, 0.00000, 0, 0
29, 900.00000, 0, 0
29, 1800.00000, 0, 0
29, 2700.00000, 0, 0
30, 0.00000, 0, 0
30, 900.00000, -398.624, 4702.02
30, 1800.00000, -398.575, 4769.33
30, 2700.00000, -398.521, 4833.17
31, 0.00000, -398.42, 4951.39
31, 900.00000, -809.682, 5006.37
31, 1800.00000, -809.604, 5056.46
31, 2700.00000, -809.486, 5149.31
32, 0.00000, -814.831, 5149.33
32, 900.00000, -3739.49, 5424.06
32, 1800.00000, -1.76172E006, -2553.76
32, 2700.00000, -1.06157E009, -4.63593E006
33, 0.00000, -6.40073E011, -2.79812E009
33, 900.00000, -5.44731E014, -2.38133E012
33, 1800.00000, -4.6359E017, -2.02661E015
33, 2700.00000, -3.94535E020, -1.72471E018
34, 0.00000, -3.35766E023, -1.46782E021
34, 900.00000, -3.97681E026, -1.73847E024
34, 1800.00000, -4.71011E029, -2.05902E027
34, 2700.00000, -5.57864E032, -2.43871E030
35, 0.00000, -6.60731E035, -2.88837E033
35, 900.00000, -INF, -2.84744E036
35, 1800.00000, -INF, -INF
35, 2700.00000, -INF, -INF
36, 0.00000, -INF, -INF
36, 900.00000, -INF, -INF
36, 1800.00000, -INF, -INF
36, 2700.00000, -INF, -INF
37, 0.00000, -INF, -INF
37, 900.00000, -INF, -INF
37, 1800.00000, -INF, -INF
37, 2700.00000, -INF, -INF
38, 0.00000, -INF, -INF
38, 900.00000, -INF, -INF
38, 1800.00000, -INF, -INF
38, 2700.00000, -INF, -INF
39, 0.00000, -INF, -INF
39, 900.00000, -INF, -INF
39, 1800.00000, -INF, -INF
39, 2700.00000, -INF, -INF
40, 0.00000, -INF, -INF
40, 900.00000, -INF, -INF
40, 1800.00000, -INF, -INF
40, 2700.00000, -INF, -INF
41, 0.00000, -INF, -INF
41, 900.00000, -INF, -INF
41, 1800.00000, -INF, -INF
41, 2700.00000, -INF, -INF
42, 0.00000, -INF, -INF
42, 900.00000, 0, 0
42, 1800.00000, 0, 0
42, 2700.00000, 0, 0
43, 0.00000, 0, 0
43, 900.00000, 0, 0
43, 1800.00000, 0, 0
43, 2700.00000, 0, 0
44, 0.00000, 0, 0
44, 900.00000, 0, 0
44, 1800.00000, 0, 0
44, 2700.00000, 0, 0
45, 0.00000, 0, 0
45, 900.00000, 0, 0
45, 1800.00000, 0, 0
45, 2700.00000, 0, 0
46, 0.00000, 0, 0
46, 900.00000, 0, 0
46, 1800.00000, 0, 0
46, 2700.00000, 0, 0
47, 0.00000, 0, 0
47, 900.00000, 0, 0
47, 1800.00000, 0, 0
47, 2700.00000, 0, 0
