hour, t(sec), watts, vars
24, 0.00000, 4.12292E-009, 0
24, 900.00000, 4.1813E-009, 0
24, 1800.00000, 4.32434E-009, 0
24, 2700.00000, 4.12931E-009, 0
25, 0.00000, 4.05451E-009, 0
25, 900.00000, 4.10598E-009, 0
25, 1800.00000, 4.08545E-009, -4.1359E-025
25, 2700.00000, 4.0627E-009, 0
26, 0.00000, 4.08545E-009, 0
26, 900.00000, 4.0938E-009, 0
26, 1800.00000, 4.09799E-009, 4.1359E-025
26, 2700.00000, 4.12718E-009, 4.1359E-025
27, 0.00000, 4.14648E-009, 0
27, 900.00000, 4.20562E-009, 0
27, 1800.00000, 4.06065E-009, 0
27, 2700.00000, 4.04635E-009, 0
28, 0.00000, 4.09171E-009, 0
28, 900.00000, 4.17035E-009, 0
28, 1800.00000, 4.23026E-009, -4.1359E-025
28, 2700.00000, 4.48053E-009, 0
29, 0.00000, 5.04674E-009, 0
29, 900.00000, 5.45685E-009, -4.1359E-025
29, 1800.00000, 5.14549E-009, 0
29, 2700.00000, 5.15489E-009, 0
30, 0.00000, 5.08039E-009, 0
30, 900.00000, 3.9287E-008, 0
30, 1800.00000, 3.73281E-008, 0
30, 2700.00000, 3.16737E-008, 3.30872E-024
31, 0.00000, 2.24637E-008, 0
31, 900.00000, 1.43034E-007, -1.32349E-023
31, 1800.00000, 1.42858E-007, 0
31, 2700.00000, 1.38515E-007, 0
32, 0.00000, 1.41002E-007, -1.32349E-023
32, 900.00000, 3.50079E-007, 2.64698E-023
32, 1800.00000, 3.57002E-007, 0
32, 2700.00000, 3.52411E-007, -2.64698E-023
33, 0.00000, 3.57552E-007, 0
33, 900.00000, 6.99414E-007, 0
33, 1800.00000, 7.3406E-007, 0
33, 2700.00000, 7.1493E-007, 0
34, 0.00000, 7.3319E-007, 0
34, 900.00000, 1.15106E-006, 0
34, 1800.00000, 1.1974E-006, 0
34, 2700.00000, 1.21668E-006, -5.29396E-023
35, 0.00000, 1.19464E-006, 0
35, 900.00000, 9.51904E-007, 0
35, 1800.00000, 9.19933E-007, 0
35, 2700.00000, 9.15711E-007, 0
36, 0.00000, 9.16362E-007, 0
36, 900.00000, 8.68931E-007, 0
36, 1800.00000, 8.52498E-007, -5.29396E-023
36, 2700.00000, 8.4773E-007, 0
37, 0.00000, 8.45917E-007, 0
37, 900.00000, 5.97956E-007, -2.64698E-023
37, 1800.00000, 5.88208E-007, -2.64698E-023
37, 2700.00000, 5.88368E-007, 0
38, 0.00000, 5.85835E-007, 0
38, 900.00000, 3.72795E-007, 0
38, 1800.00000, 3.70248E-007, 0
38, 2700.00000, 3.5679E-007, 0
39, 0.00000, 3.58199E-007, -2.64698E-023
39, 900.00000, 2.18324E-007, -1.32349E-023
39, 1800.00000, 2.07876E-007, 0
39, 2700.00000, 2.07824E-007, 0
40, 0.00000, 2.05938E-007, 0
40, 900.00000, 1.34781E-008, -8.27181E-025
40, 1800.00000, 1.24954E-008, 0
40, 2700.00000, 1.12195E-008, -8.27181E-025
41, 0.00000, 1.28602E-008, 0
41, 900.00000, 3.72848E-009, 0
41, 1800.00000, 3.71107E-009, 0
41, 2700.00000, 3.71564E-009, 2.06795E-025
42, 0.00000, 3.70252E-009, 0
42, 900.00000, 2.18671E-008, 0
42, 1800.00000, 2.34714E-008, 0
42, 2700.00000, 1.9407E-008, -2.06795E-025
43, 0.00000, 1.89383E-008, 0
43, 900.00000, 1.86255E-008, 2.06795E-025
43, 1800.00000, 1.86613E-008, 0
43, 2700.00000, 1.9407E-008, 0
44, 0.00000, 1.77945E-008, 0
44, 900.00000, 1.29386E-008, 4.1359E-025
44, 1800.00000, 6.8677E-009, 0
44, 2700.00000, 5.58271E-009, 4.1359E-025
45, 0.00000, 5.02247E-009, 0
45, 900.00000, 4.82332E-009, 0
45, 1800.00000, 4.94825E-009, -4.1359E-025
45, 2700.00000, 4.56205E-009, 0
46, 0.00000, 4.43306E-009, 0
46, 900.00000, 4.2939E-009, 0
46, 1800.00000, 4.3267E-009, 4.1359E-025
46, 2700.00000, 4.34329E-009, 0
47, 0.00000, 4.44546E-009, 0
47, 900.00000, 4.22576E-009, 0
47, 1800.00000, 4.28046E-009, 0
47, 2700.00000, 4.12292E-009, 0
