hour, t(sec), P1 (kW), Q1 (kvar)
24, 0.00000, 4.12292E-012, 0
24, 900.00000, 4.1813E-012, 0
24, 1800.00000, 4.32434E-012, 0
24, 2700.00000, 4.12931E-012, 0
25, 0.00000, 4.05451E-012, 0
25, 900.00000, 4.10598E-012, 0
25, 1800.00000, 4.08545E-012, -4.1359E-028
25, 2700.00000, 4.0627E-012, 0
26, 0.00000, 4.08545E-012, 0
26, 900.00000, 4.0938E-012, 0
26, 1800.00000, 4.09799E-012, 4.1359E-028
26, 2700.00000, 4.12718E-012, 4.1359E-028
27, 0.00000, 4.14648E-012, 0
27, 900.00000, 4.20562E-012, 0
27, 1800.00000, 4.06065E-012, 0
27, 2700.00000, 4.04635E-012, 0
28, 0.00000, 4.09171E-012, 0
28, 900.00000, 4.17035E-012, 0
28, 1800.00000, 4.23026E-012, -4.1359E-028
28, 2700.00000, 4.48053E-012, 0
29, 0.00000, 5.04674E-012, 0
29, 900.00000, 5.45685E-012, -4.1359E-028
29, 1800.00000, 5.14549E-012, 0
29, 2700.00000, 5.15489E-012, 0
30, 0.00000, 5.08039E-012, 0
30, 900.00000, 3.9287E-011, 0
30, 1800.00000, 3.73281E-011, 0
30, 2700.00000, 3.16737E-011, 3.30872E-027
31, 0.00000, 2.24637E-011, 0
31, 900.00000, 1.43034E-010, -1.32349E-026
31, 1800.00000, 1.42858E-010, 0
31, 2700.00000, 1.38515E-010, 0
32, 0.00000, 1.41002E-010, -1.32349E-026
32, 900.00000, 3.50079E-010, 2.64698E-026
32, 1800.00000, 3.57002E-010, 0
32, 2700.00000, 3.52411E-010, -2.64698E-026
33, 0.00000, 3.57552E-010, 0
33, 900.00000, 6.99414E-010, 0
33, 1800.00000, 7.3406E-010, 0
33, 2700.00000, 7.1493E-010, 0
34, 0.00000, 7.3319E-010, 0
34, 900.00000, 1.15106E-009, 0
34, 1800.00000, 1.1974E-009, 0
34, 2700.00000, 1.21668E-009, -5.29396E-026
35, 0.00000, 1.19464E-009, 0
35, 900.00000, 9.51904E-010, 0
35, 1800.00000, 9.19933E-010, 0
35, 2700.00000, 9.15711E-010, 0
36, 0.00000, 9.16362E-010, 0
36, 900.00000, 8.68931E-010, 0
36, 1800.00000, 8.52498E-010, -5.29396E-026
36, 2700.00000, 8.4773E-010, 0
37, 0.00000, 8.45917E-010, 0
37, 900.00000, 5.97956E-010, -2.64698E-026
37, 1800.00000, 5.88208E-010, -2.64698E-026
37, 2700.00000, 5.88368E-010, 0
38, 0.00000, 5.85835E-010, 0
38, 900.00000, 3.72795E-010, 0
38, 1800.00000, 3.70248E-010, 0
38, 2700.00000, 3.5679E-010, 0
39, 0.00000, 3.58199E-010, -2.64698E-026
39, 900.00000, 2.18324E-010, -1.32349E-026
39, 1800.00000, 2.07876E-010, 0
39, 2700.00000, 2.07824E-010, 0
40, 0.00000, 2.05938E-010, 0
40, 900.00000, 1.34781E-011, -8.27181E-028
40, 1800.00000, 1.24954E-011, 0
40, 2700.00000, 1.12195E-011, -8.27181E-028
41, 0.00000, 1.28602E-011, 0
41, 900.00000, 3.72848E-012, 0
41, 1800.00000, 3.71107E-012, 0
41, 2700.00000, 3.71564E-012, 2.06795E-028
42, 0.00000, 3.70252E-012, 0
42, 900.00000, 2.18671E-011, 0
42, 1800.00000, 2.34714E-011, 0
42, 2700.00000, 1.9407E-011, -2.06795E-028
43, 0.00000, 1.89383E-011, 0
43, 900.00000, 1.86255E-011, 2.06795E-028
43, 1800.00000, 1.86613E-011, 0
43, 2700.00000, 1.9407E-011, 0
44, 0.00000, 1.77945E-011, 0
44, 900.00000, 1.29386E-011, 4.1359E-028
44, 1800.00000, 6.8677E-012, 0
44, 2700.00000, 5.58271E-012, 4.1359E-028
45, 0.00000, 5.02247E-012, 0
45, 900.00000, 4.82332E-012, 0
45, 1800.00000, 4.94825E-012, -4.1359E-028
45, 2700.00000, 4.56205E-012, 0
46, 0.00000, 4.43306E-012, 0
46, 900.00000, 4.2939E-012, 0
46, 1800.00000, 4.3267E-012, 4.1359E-028
46, 2700.00000, 4.34329E-012, 0
47, 0.00000, 4.44546E-012, 0
47, 900.00000, 4.22576E-012, 0
47, 1800.00000, 4.28046E-012, 0
47, 2700.00000, 4.12292E-012, 0
