hour, t(sec), V1, VAngle1, I1, IAngle1
24, 0.00000, 8.32901E-005, -42.9222, 1.6658E-005, -42.9222
24, 900.00000, 8.38399E-005, -42.1534, 1.6768E-005, -42.1534
24, 1800.00000, 8.5176E-005, -40.4048, 1.70352E-005, -40.4048
24, 2700.00000, 8.33504E-005, -42.8362, 1.66701E-005, -42.8362
25, 0.00000, 8.26426E-005, -43.8696, 1.65285E-005, -43.8696
25, 900.00000, 8.31301E-005, -43.1519, 1.6626E-005, -43.1519
25, 1800.00000, 8.29359E-005, -43.4345, 1.65872E-005, -43.4345
25, 2700.00000, 8.27204E-005, -43.7532, 1.65441E-005, -43.7532
26, 0.00000, 8.29359E-005, -43.4345, 1.65872E-005, -43.4345
26, 900.00000, 8.30149E-005, -43.319, 1.6603E-005, -43.319
26, 1800.00000, 8.30545E-005, -43.2613, 1.66109E-005, -43.2613
26, 2700.00000, 8.33303E-005, -42.8649, 1.66661E-005, -42.8649
27, 0.00000, 8.35123E-005, -42.6077, 1.67025E-005, -42.6077
27, 900.00000, 8.40682E-005, -41.8432, 1.68136E-005, -41.8432
27, 1800.00000, 8.27009E-005, -43.7823, 1.65402E-005, -43.7823
27, 2700.00000, 8.25652E-005, -43.9861, 1.6513E-005, -43.9861
28, 0.00000, 8.29951E-005, -43.3478, 1.6599E-005, -43.3478
28, 900.00000, 8.3737E-005, -42.295, 1.67474E-005, -42.295
28, 1800.00000, 8.4299E-005, -41.5345, 1.68598E-005, -41.5345
28, 2700.00000, 8.66165E-005, -38.6798, 1.73233E-005, -38.6798
29, 0.00000, 9.16806E-005, -33.5808, 1.83361E-005, -33.5808
29, 900.00000, 9.5201E-005, -30.6684, 1.90402E-005, -30.6684
29, 1800.00000, 9.25392E-005, -32.8309, 1.85078E-005, -32.8309
29, 2700.00000, 9.26205E-005, -32.7613, 1.85241E-005, -32.7613
30, 0.00000, 9.1974E-005, -33.3214, 1.83948E-005, -33.3214
30, 900.00000, 0.000170182, -134.068, 3.40363E-005, -134.068
30, 1800.00000, 0.000158258, -131.516, 3.16517E-005, -131.516
30, 2700.00000, 0.000145646, -129.711, 2.91291E-005, -129.711
