hour, t(sec), watts, vars
24, 0.00000, 0.00464848, 0.0467482
24, 900.00000, 0.00471322, 0.046877
24, 1800.00000, 0.00487196, 0.0471929
24, 2700.00000, 0.00465557, 0.0467623
25, 0.00000, 0.00457265, 0.0465973
25, 900.00000, 0.00462969, 0.0467108
25, 1800.00000, 0.00460694, 0.0466655
25, 2700.00000, 0.00458173, 0.0466154
26, 0.00000, 0.00460694, 0.0466655
26, 900.00000, 0.0046162, 0.0466839
26, 1800.00000, 0.00462084, 0.0466932
26, 2700.00000, 0.0046532, 0.0467576
27, 0.00000, 0.0046746, 0.0468002
27, 900.00000, 0.0047402, 0.0469307
27, 1800.00000, 0.00457946, 0.0466108
27, 2700.00000, 0.00456362, 0.0465793
28, 0.00000, 0.00461388, 0.0466793
28, 900.00000, 0.00470107, 0.0468528
28, 1800.00000, 0.00476754, 0.0469851
28, 2700.00000, 0.00504545, 0.0475381
29, 0.00000, 0.00567533, 0.0487916
29, 900.00000, 0.00613222, 0.0497009
29, 1800.00000, 0.00578531, 0.0490105
29, 2700.00000, 0.00579577, 0.0490313
30, 0.00000, 0.00571281, 0.0488662
30, 900.00000, 0.0369973, 0.11114
30, 1800.00000, 0.0345128, 0.106195
30, 2700.00000, 0.0292727, 0.0957648
31, 0.00000, 0.0207562, 0.0788129
31, 900.00000, 0.110403, 0.257249
31, 1800.00000, 0.105699, 0.247886
31, 2700.00000, 0.102385, 0.241291
32, 0.00000, 0.104397, 0.245295
32, 900.00000, 0.228697, 0.492703
32, 1800.00000, 0.222588, 0.480543
32, 2700.00000, 0.219272, 0.473943
33, 0.00000, 0.222873, 0.481111
33, 900.00000, 0.390437, 0.814631
33, 1800.00000, 0.38817, 0.810119
33, 2700.00000, 0.37517, 0.784244
34, 0.00000, 0.386862, 0.807515
34, 900.00000, 0.552899, 1.138
34, 1800.00000, 0.545734, 1.12373
34, 2700.00000, 0.552786, 1.13777
35, 0.00000, 0.540053, 1.11243
35, 900.00000, 0.454665, 0.942471
35, 1800.00000, 0.450703, 0.934585
35, 2700.00000, 0.450246, 0.933676
36, 0.00000, 0.450855, 0.934888
36, 900.00000, 0.434586, 0.902506
36, 1800.00000, 0.428084, 0.889564
36, 2700.00000, 0.426363, 0.886138
37, 0.00000, 0.425622, 0.884663
37, 900.00000, 0.320866, 0.676157
37, 1800.00000, 0.326352, 0.687075
37, 2700.00000, 0.326914, 0.688195
38, 0.00000, 0.325369, 0.685119
38, 900.00000, 0.224476, 0.484302
38, 1800.00000, 0.230467, 0.496226
38, 2700.00000, 0.221636, 0.478649
39, 0.00000, 0.223121, 0.481605
39, 900.00000, 0.147532, 0.331152
39, 1800.00000, 0.143792, 0.323707
39, 2700.00000, 0.144076, 0.324273
40, 0.00000, 0.142713, 0.321559
40, 900.00000, 0.0120487, 0.0614807
40, 1800.00000, 0.0116043, 0.0605962
40, 2700.00000, 0.0104237, 0.058246
41, 0.00000, 0.0119601, 0.0613043
41, 900.00000, 0.00373009, 0.0449212
41, 1800.00000, 0.00370526, 0.0448717
41, 2700.00000, 0.00370321, 0.0448674
42, 0.00000, 0.00369453, 0.0448504
42, 900.00000, 0.0245019, 0.086261
42, 1800.00000, 0.0263005, 0.0898407
42, 2700.00000, 0.0217443, 0.0807726
43, 0.00000, 0.021219, 0.0797271
43, 900.00000, 0.0208685, 0.0790294
43, 1800.00000, 0.0209085, 0.0791092
43, 2700.00000, 0.0217443, 0.0807726
44, 0.00000, 0.0199371, 0.0771758
44, 900.00000, 0.0144974, 0.0663494
44, 1800.00000, 0.00770644, 0.0528338
44, 2700.00000, 0.00627252, 0.0499801
45, 0.00000, 0.00564831, 0.0487379
45, 900.00000, 0.00542663, 0.0482967
45, 1800.00000, 0.00556568, 0.0485734
45, 2700.00000, 0.00513605, 0.0477184
46, 0.00000, 0.00499271, 0.0474332
46, 900.00000, 0.00483817, 0.0471256
46, 1800.00000, 0.00487458, 0.0471981
46, 2700.00000, 0.004893, 0.0472348
47, 0.00000, 0.00500648, 0.0474606
47, 900.00000, 0.00476254, 0.0469752
47, 1800.00000, 0.00482325, 0.047096
47, 2700.00000, 0.00464848, 0.0467482
