hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
24, 0.00000, 0.0176116, 0.0344451, 0.0176117, 0.0344449, 0.0176118, 0.0344451, 0, 0
24, 900.00000, 0.0181935, 0.0344452, 0.0181937, 0.034445, 0.0181938, 0.0344452, 0, 0
24, 1800.00000, 0.0195472, 0.0344453, 0.0195473, 0.0344451, 0.0195474, 0.0344453, 0, 0
24, 2700.00000, 0.0176762, 0.0344451, 0.0176764, 0.0344449, 0.0176765, 0.0344451, 0, 0
25, 0.00000, 0.0169046, 0.034445, 0.0169047, 0.0344449, 0.0169048, 0.0344451, 0, 0
25, 900.00000, 0.0174391, 0.0344451, 0.0174393, 0.0344449, 0.0174393, 0.0344451, 0, 0
25, 1800.00000, 0.0172279, 0.0344451, 0.017228, 0.0344449, 0.0172281, 0.0344451, 0, 0
25, 2700.00000, 0.0169908, 0.0344451, 0.0169909, 0.0344449, 0.016991, 0.0344451, 0, 0
26, 0.00000, 0.0172279, 0.0344451, 0.017228, 0.0344449, 0.0172281, 0.0344451, 0, 0
26, 900.00000, 0.0173141, 0.0344451, 0.0173142, 0.0344449, 0.0173143, 0.0344451, 0, 0
26, 1800.00000, 0.0173572, 0.0344451, 0.0173574, 0.0344449, 0.0173575, 0.0344451, 0, 0
26, 2700.00000, 0.0176547, 0.0344451, 0.0176548, 0.0344449, 0.0176549, 0.0344451, 0, 0
27, 0.00000, 0.0178487, 0.0344451, 0.0178488, 0.0344449, 0.0178489, 0.0344452, 0, 0
27, 900.00000, 0.0184306, 0.0344452, 0.0184308, 0.034445, 0.0184309, 0.0344452, 0, 0
27, 1800.00000, 0.0169692, 0.0344451, 0.0169694, 0.0344449, 0.0169695, 0.0344451, 0, 0
27, 2700.00000, 0.0168183, 0.034445, 0.0168185, 0.0344448, 0.0168186, 0.0344451, 0, 0
28, 0.00000, 0.0172925, 0.0344451, 0.0172927, 0.0344449, 0.0172928, 0.0344451, 0, 0
28, 900.00000, 0.0180858, 0.0344451, 0.0180859, 0.034445, 0.018086, 0.0344452, 0, 0
28, 1800.00000, 0.0186677, 0.0344452, 0.0186679, 0.034445, 0.018668, 0.0344452, 0, 0
28, 2700.00000, 0.0209267, 0.0344454, 0.0209268, 0.0344452, 0.0209269, 0.0344454, 0, 0
29, 0.00000, 0.0253109, 0.0344459, 0.0253111, 0.0344457, 0.0253112, 0.0344459, 0, 0
29, 900.00000, 0.0280657, 0.0344463, 0.0280658, 0.034446, 0.028066, 0.0344463, 0, 0
29, 1800.00000, 0.0260007, 0.034446, 0.0260009, 0.0344458, 0.026001, 0.034446, 0, 0
29, 2700.00000, 0.0260654, 0.034446, 0.0260655, 0.0344458, 0.0260657, 0.034446, 0, 0
30, 0.00000, 0.0255481, 0.0344459, 0.0255482, 0.0344457, 0.0255483, 0.0344459, 0, 0
30, 900.00000, -0.103543, 0.0344695, -0.103543, 0.0344696, -0.103543, 0.03447, 0, 0
30, 1800.00000, -0.0996072, 0.0344676, -0.0996067, 0.0344678, -0.0996071, 0.0344681, 0, 0
30, 2700.00000, -0.0907477, 0.0344636, -0.0907472, 0.0344638, -0.0907477, 0.0344641, 0, 0
31, 0.00000, -0.074123, 0.0344571, -0.0741226, 0.0344574, -0.074123, 0.0344576, 0, 0
31, 900.00000, -0.185327, 0.0345243, -0.185324, 0.0345257, -0.185327, 0.0345272, 0, 0
31, 1800.00000, -0.181196, 0.0345208, -0.181194, 0.0345222, -0.181196, 0.0345236, 0, 0
31, 2700.00000, -0.178229, 0.0345183, -0.178227, 0.0345197, -0.178229, 0.0345211, 0, 0
32, 0.00000, -0.180036, 0.0345198, -0.180034, 0.0345212, -0.180036, 0.0345226, 0, 0
32, 900.00000, -0.269106, 0.0346134, -0.269101, 0.0346157, -0.269105, 0.034619, 0, 0
