hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
24, 0.00000, 6870.46, -1.95644E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00563082, -62.9196, 0.0056308, 177.081, 0.00563084, 57.0806, 0, 0
24, 900.00000, 6870.46, -2.02198E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00566989, -62.1575, 0.00566987, 177.843, 0.00566991, 57.8428, 0, 0
24, 1800.00000, 6870.46, -2.17442E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00576456, -60.4257, 0.00576454, 179.575, 0.00576458, 59.5746, 0, 0
24, 2700.00000, 6870.46, -1.96372E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00563511, -62.8344, 0.0056351, 177.166, 0.00563513, 57.1659, 0, 0
25, 0.00000, 6870.46, -1.87682E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00558472, -63.8596, 0.0055847, 176.141, 0.00558474, 56.1407, 0, 0
25, 900.00000, 6870.46, -1.93702E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00561943, -63.1475, 0.00561942, 176.853, 0.00561945, 56.8528, 0, 0
25, 1800.00000, 6870.46, -1.91323E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00560561, -63.4279, 0.0056056, 176.572, 0.00560563, 56.5724, 0, 0
25, 2700.00000, 6870.46, -1.88653E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00559026, -63.7442, 0.00559024, 176.256, 0.00559028, 56.2561, 0, 0
26, 0.00000, 6870.46, -1.91323E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00560561, -63.4279, 0.0056056, 176.572, 0.00560563, 56.5724, 0, 0
26, 900.00000, 6870.46, -1.92294E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00561124, -63.3133, 0.00561122, 176.687, 0.00561126, 56.687, 0, 0
26, 1800.00000, 6870.46, -1.9278E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00561406, -63.256, 0.00561404, 176.744, 0.00561408, 56.7443, 0, 0
26, 2700.00000, 6870.46, -1.96129E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00563368, -62.8628, 0.00563366, 177.137, 0.0056337, 57.1375, 0, 0
27, 0.00000, 6870.46, -1.98314E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00564662, -62.6078, 0.0056466, 177.392, 0.00564664, 57.3925, 0, 0
27, 900.00000, 6870.46, -2.04868E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00568609, -61.8501, 0.00568607, 178.15, 0.00568611, 58.1502, 0, 0
27, 1800.00000, 6870.46, -1.88411E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00558887, -63.773, 0.00558886, 176.227, 0.00558889, 56.2273, 0, 0
27, 2700.00000, 6870.46, -1.86711E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.0055792, -63.9753, 0.00557918, 176.025, 0.00557922, 56.025, 0, 0
28, 0.00000, 6870.46, -1.92051E-005, 6870.46, -120, 6870.46, 120, 0, 0, 0.00560983, -63.3419, 0.00560981, 176.658, 0.00560985, 56.6584, 0, 0
