hour, t(sec), watts, vars
24, 0.00000, -52.8351, -103.335
24, 900.00000, -54.581, -103.335
24, 1800.00000, -58.642, -103.336
24, 2700.00000, -53.0291, -103.335
25, 0.00000, -50.7141, -103.335
25, 900.00000, -52.3177, -103.335
25, 1800.00000, -51.684, -103.335
25, 2700.00000, -50.9728, -103.335
26, 0.00000, -51.684, -103.335
26, 900.00000, -51.9427, -103.335
26, 1800.00000, -52.072, -103.335
26, 2700.00000, -52.9644, -103.335
27, 0.00000, -53.5465, -103.335
27, 900.00000, -55.2922, -103.335
27, 1800.00000, -50.9081, -103.335
27, 2700.00000, -50.4554, -103.335
28, 0.00000, -51.878, -103.335
28, 900.00000, -54.2577, -103.335
28, 1800.00000, -56.0036, -103.335
28, 2700.00000, -62.7804, -103.336
29, 0.00000, -75.9332, -103.338
29, 900.00000, -84.1975, -103.339
29, 1800.00000, -78.0026, -103.338
29, 2700.00000, -78.1966, -103.338
30, 0.00000, -76.6446, -103.338
30, 900.00000, 310.629, -103.409
30, 1800.00000, 298.821, -103.404
30, 2700.00000, 272.243, -103.392
31, 0.00000, 222.369, -103.372
31, 900.00000, 555.978, -103.577
31, 1800.00000, 543.586, -103.567
31, 2700.00000, 534.685, -103.559
32, 0.00000, 540.107, -103.564
32, 900.00000, 807.311, -103.848
32, 1800.00000, 796.276, -103.834
32, 2700.00000, 790.223, -103.827
33, 0.00000, 796.795, -103.835
33, 900.00000, 1058.41, -104.218
33, 1800.00000, 1055.31, -104.213
33, 2700.00000, 1037.31, -104.184
34, 0.00000, 1053.51, -104.21
34, 900.00000, 1261.27, -104.59
34, 1800.00000, 1253.02, -104.574
34, 2700.00000, 1261.14, -104.59
35, 0.00000, 1246.43, -104.561
35, 900.00000, 1142.92, -104.366
35, 1800.00000, 1137.89, -104.357
35, 2700.00000, 1137.31, -104.356
36, 0.00000, 1138.08, -104.357
36, 900.00000, 1117.19, -104.32
36, 1800.00000, 1108.73, -104.305
36, 2700.00000, 1106.48, -104.301
37, 0.00000, 1105.51, -104.299
37, 900.00000, 958.5, -104.06
37, 1800.00000, 966.752, -104.072
37, 2700.00000, 967.594, -104.073
38, 0.00000, 965.279, -104.07
38, 900.00000, 799.704, -103.839
38, 1800.00000, 810.481, -103.852
38, 2700.00000, 794.544, -103.832
39, 0.00000, 797.247, -103.835
39, 900.00000, 645.489, -103.662
39, 1800.00000, 637.042, -103.654
39, 2700.00000, 637.689, -103.654
40, 0.00000, 634.584, -103.651
40, 900.00000, 155.649, -103.352
40, 1800.00000, 151.457, -103.351
40, 2700.00000, 139.712, -103.348
41, 0.00000, 154.822, -103.352
41, 900.00000, 11.4641, -103.333
41, 1800.00000, 7.71295, -103.333
41, 2700.00000, -7.3185, -103.333
42, 0.00000, 5.33221, -103.333
42, 900.00000, -245.555, -103.381
42, 1800.00000, -255.943, -103.385
42, 2700.00000, -228.714, -103.374
43, 0.00000, -225.363, -103.373
43, 900.00000, -223.099, -103.372
43, 1800.00000, -223.359, -103.372
43, 2700.00000, -228.714, -103.374
44, 0.00000, -216.969, -103.37
44, 900.00000, -176.972, -103.358
44, 1800.00000, -107.931, -103.342
44, 2700.00000, -86.5773, -103.339
45, 0.00000, -75.416, -103.337
45, 900.00000, -71.0316, -103.337
45, 1800.00000, -73.8122, -103.337
45, 2700.00000, -64.8368, -103.336
46, 0.00000, -61.5519, -103.336
46, 900.00000, -57.8012, -103.336
46, 1800.00000, -58.7066, -103.336
46, 2700.00000, -59.1592, -103.336
47, 0.00000, -61.875, -103.336
47, 900.00000, -55.8743, -103.335
47, 1800.00000, -57.4262, -103.336
47, 2700.00000, -52.8351, -103.335
