Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,   0.293662,   140.51,   0.276354,    34.21,   0.342141,   -90.32,          0,     0.00, 1.56526E-012,   -60.64,   0.293662,   -39.49,   0.276354,  -145.79,   0.342141,    89.68,          0,     0.00, 1.56526E-012,   119.36
Line._ABCN_L01-SEC,    10.3128,   -61.94,    7.73898,   178.13,     8.0163,    58.10,    2.41738,   127.99,   0.192373,  -134.88,    10.3128,   118.06,    7.73898,    -1.87,     8.0163,  -121.90,    2.41738,   -52.01,   0.192374,    45.12
Line._CN_L02-RAMAL, 7.5738E-006,   179.85, 6.5615E-006,    -0.17,          0,     0.00,          0,     0.00, 1.0123E-006,   179.96, 1.49276E-012,   -30.78, 1.81759E-012,   175.46,          0,     0.00,          0,     0.00, 8.15201E-013,  -130.49
Line._ABCN_L03-SEC,    9.06396,   -62.00,    4.39267,   178.17,    9.58336,    58.20,    4.77287,  -178.31,   0.202234,    44.45,    9.06398,   118.00,    4.39268,    -1.83,    9.58337,  -121.80,    4.77288,     1.69,   0.202233,  -135.55
Line._ABCN_L04-SEC, 1.07481E-005,    67.68, 1.2354E-005,   -61.68, 1.16585E-005,   174.32, 2.035E-006,     8.17, 6.22331E-007,    55.14, 1.92464E-012,   -82.83, 9.34113E-013,    21.36, 4.91943E-013,   165.00, 2.0784E-012,   103.54, 5.97249E-013,    75.62
Line._ABCN_L05-SEC,    2.59262,   -61.94,    1.28271,   178.11,   0.304998,    58.09,    1.89936,    95.71,   0.132262,  -133.05,    2.59263,   118.06,    1.28272,    -1.90,   0.305002,  -121.91,    1.89936,   -84.29,   0.132263,    46.95
Line._ABCN_L06-SEC,     7.7202,   -61.94,    6.45627,   178.13,    7.71131,    58.10,      1.299,   179.33,  0.0603271,  -138.89,    7.72021,   118.06,    6.45628,    -1.87,    7.71132,  -121.90,      1.299,    -0.67,  0.0603278,    41.11
Line._AN_L07-RAMAL,    1.11863,   -61.95,    1.11101,   119.33,          0,     0.00,          0,     0.00,  0.0259429,  -134.23,    1.11864,   118.05,    1.11102,   -60.67,          0,     0.00,          0,     0.00,  0.0259436,    45.77
Line._BCN_L08-RAMAL,   0.299964,   178.11,   0.300427,    58.08,   0.306345,   -66.63,          0,     0.00,  0.0253929,  -140.01,   0.299974,    -1.89,    0.30043,  -121.92,   0.306348,   113.37,          0,     0.00,  0.0253923,    39.99
Line._ABCN_L09-SEC,    1.47399,   -61.94,   0.982755,   178.10,  0.0045756,    58.51,    1.22502,    79.01,     0.0812,  -130.50,    1.47401,   118.06,   0.982768,    -1.90, 0.00458635,  -121.77,    1.22501,  -100.99,  0.0812013,    49.50
Line._ABCN_L10-SEC,    1.40831,   -61.95,   0.163798,   178.13,    1.40663,    58.11,    1.26958,   179.18,  0.0374332,  -137.98,    1.40831,   118.05,   0.163807,    -1.88,    1.40664,  -121.89,    1.26958,    -0.82,   0.037434,    42.02
Line._ABCN_L11-RAMAL,    6.31191,   -61.93,    6.29248,   178.13,    6.30468,    58.10,  0.0296073,  -174.30,   0.022907,  -140.37,    6.31191,   118.07,    6.29249,    -1.87,    6.30469,  -121.90,  0.0296079,     5.70,   0.022907,    39.63
Line._AN_L12-RAMAL,    1.47401,   -61.94,    1.46102,   118.99,          0,     0.00,          0,     0.00,  0.0270262,  -122.76,    1.47401,   118.06,    1.46102,   -61.01,          0,     0.00,          0,     0.00,  0.0270273,    57.25
Line._BCN_L13-RAMAL,   0.982768,   178.10, 0.00458635,    58.23,   0.944715,    -4.58,          0,     0.00,  0.0545437,  -134.33,   0.982777,    -1.90, 0.00458932,  -121.92,   0.944713,   175.42,          0,     0.00,  0.0545429,    45.67
Line._ABCN_L14-RAMAL,   0.164373,   -61.95,   0.163807,   178.12,   0.164197,    58.10,   0.020037,  -142.23,  0.0199555,  -140.96,   0.164379,   118.05,   0.163813,    -1.88,   0.164199,  -121.90,  0.0200369,    37.76,  0.0199555,    39.05
Line._ACN_L15-RAMAL,    1.24394,   -61.95,    1.24244,    58.11,    1.25398,   178.61,          0,     0.00,   0.017536,  -134.59,    1.24395,   118.05,    1.24245,  -121.89,    1.25399,    -1.39,          0,     0.00,  0.0175362,    45.41
Line._BN_L16-RAMAL,   0.370657,   178.12,   0.356606,    -3.17,          0,     0.00,          0,     0.00,  0.0162729,  -152.22,    0.37066,    -1.88,   0.356609,   176.83,          0,     0.00,          0,     0.00,  0.0162729,    27.78
