hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 900.00000, 126.036, -30.2089, 126.568, -150.087, 126.144, 89.9184, 0.114773, -140.397, 6.31137, -61.9342, 6.29241, 178.13, 6.3042, 58.1037, 0.0291787, -174.096
0, 1800.00000, 126.057, -30.1993, 126.546, -150.088, 126.161, 89.9176, 0.104531, -140.146, 6.46143, -61.9286, 6.44337, 178.13, 6.45436, 58.1069, 0.0268081, -174.99
0, 2700.00000, 126.166, -30.1809, 126.618, -150.077, 126.258, 89.9278, 0.0979322, -140.391, 5.4326, -61.9153, 5.4186, 178.139, 5.42727, 58.1171, 0.0237738, -170.48
1, 0.00000, 126.143, -30.1751, 126.556, -150.083, 126.237, 89.9233, 0.0867135, -139.754, 6.26441, -61.9124, 6.2495, 178.136, 6.25831, 58.1185, 0.0219371, -174.654
1, 900.00000, 126.185, -30.168, 126.577, -150.078, 126.261, 89.9248, 0.0841034, -137.762, 5.9972, -61.9066, 5.98356, 178.139, 5.99198, 58.1212, 0.0208979, -171.356
1, 1800.00000, 126.194, -30.1646, 126.592, -150.079, 126.299, 89.9311, 0.0820638, -142.313, 5.77943, -61.9055, 5.76632, 178.141, 5.77369, 58.1259, 0.0202553, -175.167
1, 2700.00000, 126.212, -30.156, 126.552, -150.078, 126.277, 89.9235, 0.072216, -135.601, 6.24124, -61.8988, 6.22869, 178.14, 6.23633, 58.1253, 0.0180743, -171.387
2, 0.00000, 126.239, -30.1532, 126.594, -150.075, 126.327, 89.9316, 0.0735699, -140.364, 5.67386, -61.8975, 5.66227, 178.143, 5.66889, 58.1299, 0.0179581, -173.085
2, 900.00000, 126.241, -30.1525, 126.59, -150.073, 126.313, 89.9297, 0.0736244, -137.46, 5.84557, -61.8959, 5.83369, 178.145, 5.84085, 58.1294, 0.0180974, -171.129
2, 1800.00000, 126.262, -30.1481, 126.584, -150.071, 126.31, 89.9267, 0.0704214, -133.529, 5.85428, -61.8923, 5.8431, 178.145, 5.85032, 58.129, 0.0172146, -167.117
