hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 0.0176119, 0.0108958, 0.0176215, 0.0109223, 0.017594, 0.0109172, 2.0007E-006, 4.57707E-008
0, 1800.00000, 0.018194, 0.0112576, 0.0182026, 0.0112823, 0.018177, 0.0112776, 1.65389E-006, 3.961E-008
0, 2700.00000, 0.0195479, 0.0120966, 0.0195566, 0.0121213, 0.0195308, 0.0121167, 1.45362E-006, 3.68177E-008
1, 0.00000, 0.017676, 0.0109399, 0.0176829, 0.0109598, 0.0176625, 0.0109559, 1.13295E-006, 2.68794E-008
1, 900.00000, 0.0169049, 0.0104628, 0.0169105, 0.0104814, 0.0168917, 0.010477, 1.05837E-006, 2.40612E-008
1, 1800.00000, 0.0174382, 0.0107936, 0.0174458, 0.010812, 0.0174264, 0.0108094, 1.02519E-006, 2.38271E-008
1, 2700.00000, 0.0172281, 0.0106647, 0.0172323, 0.0106809, 0.0172161, 0.0106764, 7.71637E-007, 1.83803E-008
2, 0.00000, 0.0169901, 0.0105174, 0.0169961, 0.0105335, 0.0169794, 0.0105306, 8.1549E-007, 1.8698E-008
2, 900.00000, 0.0172278, 0.0106643, 0.0172328, 0.0106809, 0.017216, 0.0106769, 8.08887E-007, 1.90249E-008
2, 1800.00000, 0.0173147, 0.0107185, 0.0173181, 0.0107345, 0.0173025, 0.0107295, 7.30384E-007, 1.73499E-008
2, 2700.00000, 0.0173574, 0.0107451, 0.0173614, 0.010761, 0.0173458, 0.0107565, 7.20629E-007, 1.73071E-008
3, 0.00000, 0.017654, 0.0109292, 0.0176595, 0.0109448, 0.0176435, 0.0109417, 6.98555E-007, 1.68224E-008
3, 900.00000, 0.0178486, 0.0110497, 0.0178529, 0.0110653, 0.0178373, 0.0110611, 6.58105E-007, 1.62661E-008
3, 1800.00000, 0.0184304, 0.0114096, 0.0184357, 0.0114263, 0.0184188, 0.0114224, 7.16309E-007, 1.79744E-008
3, 2700.00000, 0.0169694, 0.0105056, 0.0169726, 0.0105201, 0.0169586, 0.0105155, 6.16765E-007, 1.4511E-008
4, 0.00000, 0.0168189, 0.0104129, 0.0168209, 0.0104264, 0.0168083, 0.0104214, 5.41596E-007, 1.26653E-008
4, 900.00000, 0.017292, 0.0107057, 0.0172966, 0.01072, 0.0172822, 0.0107168, 6.06991E-007, 1.40006E-008
4, 1800.00000, 0.018085, 0.0111966, 0.0180899, 0.0112117, 0.0180747, 0.0112083, 6.03249E-007, 1.52682E-008
4, 2700.00000, 0.0186676, 0.0115575, 0.0186721, 0.0115727, 0.0186568, 0.011569, 5.85178E-007, 1.48236E-008
5, 0.00000, 0.0209271, 0.0129526, 0.0209342, 0.0129758, 0.0209107, 0.0129698, 1.03755E-006, 2.85238E-008
5, 900.00000, 0.0253144, 0.0156631, 0.0253217, 0.0156987, 0.0252873, 0.0156865, 1.58962E-006, 5.16975E-008
5, 1800.00000, 0.0280719, 0.0173537, 0.0280899, 0.0174162, 0.0280268, 0.0174006, 4.19523E-006, 1.44431E-007
5, 2700.00000, 0.0260028, 0.0160592, 0.0260397, 0.0161402, 0.0259513, 0.0161319, 9.0664E-006, 2.81582E-007
6, 0.00000, 0.0260558, 0.0161137, 0.0260978, 0.0161631, 0.0260344, 0.016175, 4.75642E-006, 1.68671E-007
6, 900.00000, 0.0255324, 0.0157876, 0.0255859, 0.0158406, 0.025515, 0.0158598, 6.35185E-006, 2.15859E-007
6, 1800.00000, 0.027244, 0.0168549, 0.0272678, 0.0168965, 0.0272199, 0.0168965, 2.41977E-006, 9.24739E-008
6, 2700.00000, 0.0311864, 0.0192971, 0.031199, 0.0193395, 0.0311551, 0.0193297, 1.64061E-006, 7.45956E-008
7, 0.00000, 0.0400406, 0.0247781, 0.0400654, 0.0248303, 0.0400086, 0.0248257, 1.59324E-006, 9.27174E-008
7, 900.00000, 0.0566524, 0.0350454, 0.0567218, 0.0351394, 0.056608, 0.0351514, 3.14389E-006, 2.33853E-007
