hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 900.00000, 126.072, -30.2147, 126.663, -150.09, 126.117, 89.9189, 0.078343, -151.017, 9.06283, -61.9983, 4.01981, 178.173, 9.57924, 58.1989, 5.114, -178.758
0, 1800.00000, 126.104, -30.2059, 126.646, -150.093, 126.149, 89.9172, 0.0726638, -151.339, 8.6246, -61.9882, 3.98935, 178.166, 9.10058, 58.1919, 4.70315, -178.741
0, 2700.00000, 126.194, -30.1856, 126.697, -150.08, 126.233, 89.9284, 0.0672575, -151.025, 7.91396, -61.9688, 3.61267, 178.176, 8.37187, 58.1988, 4.3742, -178.554
1, 0.00000, 126.205, -30.1825, 126.66, -150.088, 126.248, 89.9214, 0.0616439, -151.842, 7.473, -61.9644, 3.56861, 178.162, 7.85242, 58.1863, 3.95366, -178.98
1, 900.00000, 126.247, -30.1753, 126.677, -150.083, 126.269, 89.9231, 0.0598733, -150.455, 7.08238, -61.9581, 3.39525, 178.167, 7.64202, 58.1866, 3.84641, -176.56
1, 1800.00000, 126.246, -30.1712, 126.688, -150.084, 126.309, 89.9293, 0.0577453, -153.43, 7.13886, -61.9529, 3.34383, 178.165, 7.26321, 58.1912, 3.71697, 177.994
1, 2700.00000, 126.295, -30.1646, 126.661, -150.085, 126.307, 89.9205, 0.0532495, -150.172, 6.42752, -61.9466, 3.25989, 178.16, 7.02744, 58.1778, 3.37644, -174.978
2, 0.00000, 126.299, -30.1602, 126.69, -150.081, 126.344, 89.9294, 0.0528484, -152.567, 6.55466, -61.9418, 3.18844, 178.165, 6.81003, 58.1869, 3.37266, -179.946
2, 900.00000, 126.314, -30.1604, 126.695, -150.079, 126.336, 89.9271, 0.0531243, -150.898, 6.31749, -61.9433, 3.04641, 178.166, 6.78225, 58.1846, 3.3966, -176.974
2, 1800.00000, 126.342, -30.1564, 126.688, -150.077, 126.335, 89.9241, 0.0516197, -148.653, 6.00767, -61.9396, 3.02444, 178.166, 6.75917, 58.1801, 3.29443, -172.49
2, 2700.00000, 126.343, -30.156, 126.699, -150.078, 126.351, 89.9258, 0.0509205, -149.849, 5.90107, -61.9396, 2.85716, 178.166, 6.48832, 58.1813, 3.2522, -174.834
3, 0.00000, 126.337, -30.1526, 126.699, -150.078, 126.376, 89.9307, 0.0495195, -152.389, 6.11613, -61.9345, 2.99181, 178.165, 6.39006, 58.1853, 3.15113, -179.396
3, 900.00000, 126.34, -30.1541, 126.684, -150.08, 126.358, 89.9256, 0.0492614, -150.776, 5.96769, -61.9364, 3.00041, 178.162, 6.45481, 58.1795, 3.12004, -176.026
3, 1800.00000, 126.347, -30.1523, 126.707, -150.076, 126.372, 89.9305, 0.0501165, -151.195, 6.01325, -61.935, 2.91505, 178.168, 6.42116, 58.1856, 3.19953, -177.423
3, 2700.00000, 126.36, -30.151, 126.681, -150.079, 126.358, 89.9243, 0.0483207, -149.211, 5.78237, -61.9334, 2.99581, 178.163, 6.45327, 58.1773, 3.05875, -172.918
4, 0.00000, 126.381, -30.1468, 126.672, -150.078, 126.363, 89.9221, 0.0463132, -147.822, 5.54819, -61.929, 3.0128, 178.161, 6.37546, 58.1733, 2.923, -169.752
4, 900.00000, 126.367, -30.1442, 126.692, -150.075, 126.389, 89.9317, 0.0470797, -150.944, 6.00386, -61.9251, 3.16776, 178.165, 6.45172, 58.1844, 2.97063, -176.268
4, 1800.00000, 126.323, -30.1556, 126.664, -150.086, 126.359, 89.9236, 0.0478513, -152.589, 6.05035, -61.9367, 3.09402, 178.156, 6.34888, 58.1763, 3.00407, -178.795
4, 2700.00000, 126.369, -30.1446, 126.69, -150.076, 126.39, 89.9304, 0.0465565, -150.982, 5.88925, -61.9257, 3.08911, 178.164, 6.33464, 58.1824, 2.9355, -176.224
5, 0.00000, 126.29, -30.1674, 126.71, -150.075, 126.301, 89.9285, 0.05862, -149.701, 6.7323, -61.9516, 3.1381, 178.174, 7.35181, 58.1912, 3.79271, -175.681
5, 900.00000, 126.191, -30.1952, 126.674, -150.079, 126.148, 89.9156, 0.0723879, -146.271, 7.84448, -61.9812, 3.71883, 178.178, 9.16966, 58.1903, 4.73191, -169.937
5, 1800.00000, 125.908, -30.2616, 126.704, -150.078, 125.882, 89.9166, 0.109195, -147.239, 11.4296, -62.0514, 4.69678, 178.208, 12.9273, 58.2259, 7.27906, -173.659
5, 2700.00000, 125.375, -30.3639, 126.615, -150.113, 125.524, 89.9107, 0.152553, -152.049, 17.5779, -62.1474, 7.03516, 178.207, 17.8691, 58.2597, 10.2233, 177.629
6, 0.00000, 125.272, -30.3577, 126.339, -150.206, 125.743, 89.8788, 0.112551, -166.847, 15.8551, -62.1264, 6.71977, 178.082, 12.6052, 58.1881, 7.74259, 155.42
6, 900.00000, 125.04, -30.3941, 126.271, -150.234, 125.662, 89.8774, 0.124687, -170.306, 18.209, -62.1579, 7.64476, 178.063, 13.604, 58.1984, 8.86401, 150.128
6, 1800.00000, 125.757, -30.2755, 126.508, -150.149, 125.978, 89.892, 0.0863479, -160.067, 10.9766, -62.0537, 4.58774, 178.123, 9.83263, 58.1772, 5.69149, 166.482
6, 2700.00000, 125.954, -30.2463, 126.54, -150.129, 126.026, 89.886, 0.0763401, -153.534, 8.81775, -62.029, 3.85716, 178.133, 9.04016, 58.162, 4.88876, 178.497
7, 0.00000, 125.874, -30.2538, 126.491, -150.145, 126.032, 89.8853, 0.0749509, -158.537, 9.52018, -62.0323, 4.25825, 178.116, 8.90659, 58.1599, 4.80836, 170.088
7, 900.00000, 125.623, -30.2914, 126.477, -150.16, 125.948, 89.8985, 0.093339, -163.689, 12.7266, -62.0651, 5.40906, 178.115, 10.6668, 58.1907, 6.30822, 160.236
7, 1800.00000, 125.642, -30.2731, 126.459, -150.164, 126.04, 89.9091, 0.0858894, -168.648, 12.8495, -62.0428, 5.76812, 178.103, 10.0179, 58.1963, 5.97219, 152.656
7, 2700.00000, 125.941, -30.2333, 126.562, -150.133, 126.145, 89.905, 0.0704918, -161.604, 9.19711, -62.0119, 3.89378, 178.127, 8.03071, 58.1763, 4.66525, 164.097
8, 0.00000, 126.092, -30.2209, 126.531, -150.118, 126.062, 89.8807, 0.0672739, -147.866, 7.50204, -62.0044, 3.69851, 178.133, 8.63257, 58.1484, 4.31162, -170.847
8, 900.00000, 126.08, -30.225, 126.563, -150.114, 126.059, 89.8851, 0.0707866, -148.237, 7.68058, -62.0101, 3.52222, 178.14, 8.72204, 58.1564, 4.58855, -172.594
8, 1800.00000, 126.088, -30.2194, 126.568, -150.121, 126.129, 89.8888, 0.0642213, -152.455, 7.28195, -62.0029, 3.15252, 178.131, 7.60124, 58.1539, 4.14648, -179.93
8, 2700.00000, 126.07, -30.2199, 126.613, -150.109, 126.122, 89.9017, 0.0708211, -152.193, 8.1112, -62.0036, 3.44036, 178.148, 8.39407, 58.1736, 4.64278, 179.301
9, 0.00000, 126.041, -30.2301, 126.521, -150.115, 125.996, 89.8811, 0.0748014, -146.649, 8.48853, -62.0128, 4.27992, 178.138, 9.8719, 58.1559, 4.85262, -169.694
9, 900.00000, 126.062, -30.2198, 126.545, -150.116, 126.083, 89.8908, 0.0685824, -150.508, 8.19737, -62.001, 3.97618, 178.135, 8.84758, 58.1602, 4.4113, -176.483
9, 1800.00000, 125.922, -30.2475, 126.518, -150.13, 126.005, 89.8871, 0.0777576, -153.601, 9.5122, -62.0277, 4.34113, 178.129, 9.63685, 58.1644, 5.04098, 177.526
9, 2700.00000, 125.971, -30.2551, 126.379, -150.138, 125.828, 89.8437, 0.0781604, -142.139, 8.4865, -62.0377, 4.85332, 178.115, 10.9424, 58.1198, 5.10645, -159.672
10, 0.00000, 126.066, -30.2322, 126.532, -150.118, 126.009, 89.8749, 0.0724496, -146.297, 7.64082, -62.0178, 3.60611, 178.135, 9.05536, 58.1473, 4.71578, -168.965
10, 900.00000, 125.998, -30.2369, 126.372, -150.137, 125.913, 89.855, 0.0700288, -144.594, 8.60236, -62.0145, 5.18934, 178.112, 10.4639, 58.1247, 4.45869, -162.967
10, 1800.00000, 125.947, -30.2389, 126.49, -150.131, 126.018, 89.8854, 0.0735833, -153.211, 9.37859, -62.0171, 4.60912, 178.123, 9.62236, 58.1591, 4.7142, 178.85
10, 2700.00000, 125.852, -30.2593, 126.425, -150.137, 125.881, 89.874, 0.08361, -150.451, 10.7068, -62.0355, 5.61929, 178.122, 11.5417, 58.1568, 5.33548, -176.057
11, 0.00000, 125.615, -30.3248, 126.427, -150.143, 125.611, 89.8595, 0.114893, -148.635, 13.0751, -62.1069, 6.05664, 178.137, 14.5064, 58.1701, 7.51164, -174.452
11, 900.00000, 125.616, -30.3311, 126.422, -150.142, 125.567, 89.8525, 0.118055, -147.141, 12.9196, -62.1155, 5.97185, 178.14, 14.8206, 58.1659, 7.73584, -171.738
11, 1800.00000, 125.763, -30.2886, 126.451, -150.132, 125.749, 89.8696, 0.100698, -148.333, 11.7019, -62.0698, 5.73755, 178.139, 13.1246, 58.1676, 6.51386, -173.059
11, 2700.00000, 125.624, -30.3031, 126.461, -150.156, 125.842, 89.8837, 0.0986993, -158.228, 12.6199, -62.0798, 5.44364, 178.121, 11.6742, 58.1798, 6.50115, 169.201
12, 0.00000, 125.83, -30.2618, 126.502, -150.131, 125.936, 89.8907, 0.087165, -153.967, 10.9768, -62.0401, 5.16313, 178.134, 11.052, 58.1771, 5.6266, 176.959
12, 900.00000, 125.654, -30.3011, 126.461, -150.146, 125.794, 89.8807, 0.101785, -154.604, 12.6513, -62.0787, 5.7168, 178.13, 12.5494, 58.1798, 6.61445, 175.53
12, 1800.00000, 125.787, -30.2682, 126.543, -150.133, 125.97, 89.9005, 0.0897331, -157.395, 11.3269, -62.047, 4.8515, 178.139, 10.6053, 58.1894, 5.91813, 170.377
12, 2700.00000, 125.952, -30.2365, 126.591, -150.116, 126.07, 89.9069, 0.0792282, -155.14, 9.74575, -62.0171, 4.26318, 178.148, 9.536, 58.1867, 5.18084, 174.363
13, 0.00000, 125.971, -30.2365, 126.582, -150.113, 126.04, 89.9013, 0.0798384, -152.49, 9.55234, -62.018, 4.27453, 178.149, 9.82197, 58.1814, 5.2127, 178.844
13, 900.00000, 125.858, -30.2515, 126.504, -150.138, 126.021, 89.8938, 0.0785027, -157.765, 10.3534, -62.0283, 4.73356, 178.122, 9.70981, 58.1722, 5.13514, 170.241
13, 1800.00000, 125.787, -30.2632, 126.4, -150.143, 125.879, 89.8793, 0.0850449, -153.275, 11.6952, -62.0357, 6.22387, 178.117, 11.9868, 58.1642, 5.40253, 178.959
13, 2700.00000, 125.863, -30.248, 126.516, -150.132, 126.022, 89.8992, 0.0800142, -157.137, 10.6694, -62.0243, 4.96284, 178.128, 10.0972, 58.1794, 5.24297, 171.041
14, 0.00000, 125.834, -30.2575, 126.448, -150.14, 125.941, 89.883, 0.0812792, -154.484, 10.796, -62.0329, 5.3933, 178.118, 10.8163, 58.164, 5.20781, 176.521
14, 900.00000, 125.859, -30.253, 126.5, -150.136, 125.997, 89.8917, 0.0801218, -156.169, 10.4222, -62.0302, 4.84367, 178.125, 10.0668, 58.1715, 5.21022, 173.02
14, 1800.00000, 125.782, -30.2647, 126.507, -150.142, 125.992, 89.897, 0.0845633, -159.284, 11.2246, -62.041, 4.94, 178.123, 10.1726, 58.1809, 5.62079, 167.207
14, 2700.00000, 125.844, -30.2548, 126.53, -150.132, 126.006, 89.8988, 0.0829921, -156.976, 10.7561, -62.0325, 4.7923, 178.131, 10.154, 58.1815, 5.47784, 170.994
15, 0.00000, 125.896, -30.2473, 126.518, -150.128, 126.001, 89.8934, 0.0800564, -154.37, 10.1881, -62.0256, 4.76076, 178.132, 10.1461, 58.1733, 5.20402, 175.945
15, 900.00000, 125.907, -30.25, 126.451, -150.132, 125.924, 89.8763, 0.0800007, -149.921, 10.0052, -62.0279, 5.19298, 178.125, 10.9046, 58.1557, 5.11385, -175.104
15, 1800.00000, 125.85, -30.2593, 126.516, -150.129, 125.947, 89.891, 0.0861691, -153.517, 10.7188, -62.0383, 4.93299, 178.135, 10.8206, 58.1764, 5.61473, 177.204
15, 2700.00000, 125.948, -30.2496, 126.582, -150.113, 125.975, 89.8928, 0.0853747, -150.221, 9.56251, -62.0341, 4.11251, 178.152, 10.267, 58.1777, 5.61098, -177.576
16, 0.00000, 125.845, -30.2639, 126.548, -150.128, 125.957, 89.8931, 0.0878118, -154.221, 10.5509, -62.045, 4.49736, 178.14, 10.4585, 58.1799, 5.78209, 175.539
16, 900.00000, 125.75, -30.286, 126.537, -150.134, 125.877, 89.889, 0.0969317, -154.292, 11.4873, -62.0675, 4.73277, 178.142, 11.3272, 58.1839, 6.42159, 175.088
16, 1800.00000, 125.702, -30.2996, 126.508, -150.138, 125.801, 89.8802, 0.1023, -152.876, 11.9381, -62.0816, 5.02206, 178.139, 12.1318, 58.1798, 6.74185, 177.679
16, 2700.00000, 125.683, -30.2825, 126.452, -150.144, 125.864, 89.8916, 0.0952541, -156.514, 12.9041, -62.056, 6.15241, 178.125, 12.339, 58.1857, 6.23692, 171.925
17, 0.00000, 125.527, -30.3282, 126.405, -150.148, 125.618, 89.871, 0.11711, -151.746, 14.5965, -62.1039, 6.93394, 178.132, 15.1771, 58.1842, 7.63906, 179.968
17, 900.00000, 125.625, -30.3429, 126.464, -150.118, 125.428, 89.8488, 0.135387, -142.458, 13.4803, -62.1342, 6.2581, 178.17, 17.0051, 58.1792, 9.08874, -164.583
17, 1800.00000, 125.335, -30.4258, 126.221, -150.131, 124.821, 89.7853, 0.181509, -136.565, 17.2687, -62.2206, 9.48561, 178.173, 24.633, 58.1552, 12.5489, -154.047
17, 2700.00000, 124.885, -30.5115, 126.027, -150.158, 124.369, 89.7607, 0.221717, -138.478, 23.2726, -62.2955, 13.1266, 178.17, 31.3466, 58.1673, 15.0681, -156.928
18, 0.00000, 124.811, -30.5705, 126.175, -150.127, 124.076, 89.7465, 0.263859, -136.546, 23.8207, -62.3795, 12.0666, 178.224, 34.2739, 58.1943, 18.3267, -155.069
18, 900.00000, 124.631, -30.588, 126.272, -150.143, 124.219, 89.7833, 0.262353, -141.596, 25.5905, -62.3893, 11.5694, 178.225, 32.7693, 58.2318, 17.7463, -163.905
18, 1800.00000, 124.546, -30.5784, 126.083, -150.184, 124.283, 89.774, 0.242199, -143.736, 26.2998, -62.3616, 12.9811, 178.168, 32.0124, 58.2008, 16.0714, -166.423
18, 2700.00000, 124.393, -30.5993, 126.107, -150.189, 124.26, 89.7899, 0.252024, -145.939, 28.3627, -62.3782, 13.5253, 178.172, 32.9, 58.2272, 16.6547, -170.603
19, 0.00000, 124.388, -30.5735, 125.876, -150.217, 124.277, 89.7741, 0.232304, -146.153, 28.9531, -62.3356, 15.7413, 178.126, 33.3816, 58.1927, 15.0828, -169.53
19, 900.00000, 124.47, -30.5595, 126.025, -150.201, 124.428, 89.7978, 0.228478, -147.354, 27.8215, -62.3278, 14.1919, 178.143, 31.3577, 58.2136, 14.9046, -172.318
19, 1800.00000, 124.512, -30.5521, 126.059, -150.195, 124.47, 89.8029, 0.226382, -147.338, 27.3578, -62.3216, 13.8188, 178.148, 30.839, 58.2167, 14.7895, -172.405
19, 2700.00000, 124.721, -30.5206, 126.076, -150.176, 124.511, 89.7943, 0.2175, -144.124, 25.0862, -62.2957, 13.198, 178.158, 30.1299, 58.1993, 14.3166, -166.537
20, 0.00000, 124.805, -30.4986, 126.159, -150.166, 124.657, 89.8138, 0.209036, -145.143, 24.2333, -62.2746, 12.4004, 178.166, 28.506, 58.2115, 13.745, -168.609
20, 900.00000, 124.896, -30.496, 126.16, -150.15, 124.571, 89.7986, 0.214374, -141.809, 23.3021, -62.2782, 12.2553, 178.18, 29.3645, 58.2006, 14.3016, -162.846
20, 1800.00000, 124.939, -30.4785, 126.179, -150.149, 124.674, 89.8105, 0.205581, -142.729, 22.974, -62.2582, 12.1078, 178.177, 28.3491, 58.2046, 13.6415, -164.374
20, 2700.00000, 125.09, -30.442, 126.24, -150.143, 124.877, 89.8257, 0.187312, -143.372, 21.1096, -62.2213, 11.0471, 178.174, 25.7275, 58.2032, 12.3892, -165.435
21, 0.00000, 125.168, -30.4281, 126.382, -150.125, 125.01, 89.8492, 0.18489, -144.469, 20.2135, -62.2131, 9.73503, 178.195, 24.1211, 58.2258, 12.281, -168.184
21, 900.00000, 125.182, -30.4141, 126.278, -150.142, 125.047, 89.8403, 0.172054, -144.844, 19.9774, -62.1915, 10.3897, 178.168, 23.6396, 58.2041, 11.2999, -167.88
21, 1800.00000, 125.214, -30.3973, 126.139, -150.149, 125.005, 89.8255, 0.164403, -142.763, 20.2097, -62.1665, 11.8889, 178.153, 24.7273, 58.1823, 10.7569, -162.968
21, 2700.00000, 125.26, -30.3901, 126.286, -150.138, 125.15, 89.8493, 0.161526, -145.219, 19.345, -62.1649, 10.3194, 178.166, 22.675, 58.2039, 10.5613, -168.301
22, 0.00000, 125.358, -30.3709, 126.384, -150.127, 125.293, 89.8655, 0.153504, -146.3, 18.0449, -62.1491, 9.10887, 178.174, 20.7343, 58.2132, 10.0623, -170.687
22, 900.00000, 125.307, -30.3703, 126.403, -150.133, 125.359, 89.8799, 0.151546, -149.405, 18.7216, -62.1448, 9.1789, 178.17, 20.2253, 58.2264, 9.90549, -176.371
22, 1800.00000, 125.439, -30.3454, 126.426, -150.129, 125.473, 89.8803, 0.138015, -149.133, 16.8718, -62.1218, 8.29726, 178.165, 18.3732, 58.2142, 8.99828, -175.621
22, 2700.00000, 125.583, -30.3223, 126.459, -150.113, 125.523, 89.8799, 0.13171, -146.238, 15.3847, -62.1022, 7.76185, 178.175, 17.7241, 58.2079, 8.62679, -170.457
23, 0.00000, 125.729, -30.2886, 126.561, -150.108, 125.762, 89.9, 0.113389, -149.481, 13.2676, -62.0705, 6.11976, 178.175, 14.368, 58.2117, 7.43118, -176.506
23, 900.00000, 125.772, -30.2794, 126.622, -150.098, 125.826, 89.9117, 0.111878, -150.211, 12.9139, -62.0627, 5.64906, 178.187, 13.7331, 58.2225, 7.38658, -178.312
23, 1800.00000, 125.746, -30.2825, 126.612, -150.108, 125.853, 89.9111, 0.109037, -152.404, 12.8407, -62.0647, 5.45722, 178.178, 13.0915, 58.2191, 7.20621, 177.984
23, 2700.00000, 125.877, -30.254, 126.636, -150.096, 125.944, 89.9167, 0.0988839, -151.114, 11.6363, -62.0366, 5.14662, 178.18, 12.1835, 58.2157, 6.50501, -179.598
24, 0.00000, 126.072, -30.2147, 126.663, -150.09, 126.117, 89.9189, 0.0783564, -151.015, 9.06364, -61.9983, 4.01973, 178.173, 9.58041, 58.199, 5.11504, -178.756
