hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 0.369778, 0.228998, 0.0568972, 0.035309, 0.16932, 0.104674, -6.90468E-005, 1.97107E-005
0, 1800.00000, 0.353639, 0.219004, 0.0635027, 0.0394042, 0.16194, 0.100128, -5.88727E-005, 1.46961E-005
0, 2700.00000, 0.323923, 0.200614, 0.0556392, 0.0345207, 0.148347, 0.0917391, -5.06632E-005, 1.32479E-005
1, 0.00000, 0.307774, 0.190614, 0.0613557, 0.0380635, 0.140962, 0.0871861, -4.19612E-005, 9.19726E-006
1, 900.00000, 0.289752, 0.179454, 0.0600312, 0.0372386, 0.132713, 0.0820959, -3.58255E-005, 1.00146E-005
1, 1800.00000, 0.295639, 0.183111, 0.053676, 0.033298, 0.135415, 0.0837565, -4.15653E-005, 6.90778E-006
1, 2700.00000, 0.263693, 0.163317, 0.0653118, 0.0405083, 0.120787, 0.0747361, -2.58636E-005, 7.05511E-006
2, 0.00000, 0.271175, 0.16796, 0.0568732, 0.0352767, 0.124219, 0.0768483, -3.18152E-005, 5.64332E-006
2, 900.00000, 0.258951, 0.160388, 0.0544264, 0.0337572, 0.11862, 0.0733917, -2.81492E-005, 7.63903E-006
2, 1800.00000, 0.244478, 0.151419, 0.060721, 0.0376579, 0.111994, 0.0693043, -2.17428E-005, 7.95783E-006
2, 2700.00000, 0.240436, 0.148923, 0.0523368, 0.0324583, 0.110148, 0.0681593, -2.31089E-005, 7.92675E-006
3, 0.00000, 0.252708, 0.156526, 0.0543015, 0.0336787, 0.115768, 0.0716289, -2.69908E-005, 5.12204E-006
3, 900.00000, 0.245174, 0.151855, 0.0588253, 0.0364826, 0.112315, 0.0695, -2.29364E-005, 5.88043E-006
3, 1800.00000, 0.246873, 0.152912, 0.052576, 0.0326078, 0.113094, 0.0699781, -2.55013E-005, 6.4458E-006
3, 2700.00000, 0.236443, 0.146444, 0.0631719, 0.0391761, 0.108317, 0.0670334, -1.92994E-005, 6.11521E-006
4, 0.00000, 0.226364, 0.140198, 0.0695823, 0.0431483, 0.103703, 0.0641863, -1.53046E-005, 5.67443E-006
4, 900.00000, 0.248312, 0.153795, 0.0677128, 0.0419941, 0.113755, 0.070392, -2.20406E-005, 3.57313E-006
4, 1800.00000, 0.250656, 0.155251, 0.0617756, 0.038313, 0.114827, 0.0710518, -2.39273E-005, 3.88546E-006
