hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 0.00545986, 0.00338184, 0.0402193, 0.0249357, 4.95861E-006, -9.07868E-006
0, 1800.00000, 0.00517356, 0.00320453, 0.044885, 0.027827, 5.28527E-006, -9.12845E-006
0, 2700.00000, 0.0051008, 0.0031595, 0.0393257, 0.0243797, 4.18619E-006, -7.5034E-006
1, 0.00000, 0.00495655, 0.0030702, 0.0433627, 0.0268811, 4.29993E-006, -7.2842E-006
1, 900.00000, 0.00524444, 0.00324856, 0.0424248, 0.0262991, 3.39056E-006, -6.8359E-006
1, 1800.00000, 0.00502934, 0.00311539, 0.0379356, 0.0235168, 4.07672E-006, -6.15587E-006
1, 2700.00000, 0.0050292, 0.00311525, 0.0461521, 0.0286078, 2.90918E-006, -6.24361E-006
2, 0.00000, 0.00488525, 0.00302613, 0.0401917, 0.0249141, 3.55607E-006, -5.73464E-006
2, 900.00000, 0.00495639, 0.00307016, 0.038462, 0.0238415, 2.69571E-006, -5.44511E-006
2, 1800.00000, 0.00481236, 0.00298088, 0.042907, 0.0265957, 2.03686E-006, -5.5947E-006
2, 2700.00000, 0.00495629, 0.00307009, 0.0369839, 0.0229246, 1.9736E-006, -4.90896E-006
3, 0.00000, 0.00502912, 0.0031153, 0.0383731, 0.0237861, 2.96717E-006, -5.07909E-006
3, 900.00000, 0.00502908, 0.00311524, 0.041568, 0.0257658, 2.52332E-006, -5.24443E-006
3, 1800.00000, 0.00502914, 0.00311528, 0.0371535, 0.02303, 2.50397E-006, -4.95807E-006
3, 2700.00000, 0.00502902, 0.00311517, 0.0446373, 0.0276676, 2.06767E-006, -5.32353E-006
4, 0.00000, 0.00495613, 0.00307, 0.0491636, 0.0304721, 1.56416E-006, -5.31982E-006
4, 900.00000, 0.00545914, 0.00338175, 0.0478459, 0.0296569, 3.14439E-006, -5.6614E-006
4, 1800.00000, 0.00560307, 0.00347095, 0.0436526, 0.027058, 3.06938E-006, -5.32865E-006
4, 2700.00000, 0.00596218, 0.00369346, 0.0463079, 0.0287035, 2.83381E-006, -5.42249E-006
5, 0.00000, 0.00610621, 0.00378249, 0.0371535, 0.0230312, 2.4431E-006, -5.95304E-006
5, 900.00000, 0.00574723, 0.00355977, 0.0478314, 0.0296514, 2.45414E-006, -9.14204E-006
5, 1800.00000, 0.00459824, 0.00284755, 0.0383632, 0.023789, 5.03244E-006, -1.23334E-005
5, 2700.00000, 0.00287461, 0.00177974, 0.0445569, 0.0276421, 1.6787E-005, -2.12615E-005
6, 0.00000, 0.00273047, 0.00169108, 0.0426883, 0.02648, 2.19651E-005, -1.45093E-005
6, 900.00000, 0.00546111, 0.00338336, 0.043791, 0.0271693, 2.72064E-005, -1.77525E-005
6, 1800.00000, 0.00740152, 0.00458521, 0.0312245, 0.0193623, 6.7998E-006, -8.66941E-006
6, 2700.00000, 0.00740122, 0.00458476, 0.0362341, 0.0224644, 3.73451E-006, -7.81131E-006
7, 0.00000, 0.00775973, 0.00480715, 0.0398987, 0.0247377, 6.54253E-006, -8.77631E-006
