hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 125.85, -30.2001, 126.589, -150.079, 0.029125, -57.681, 0.0510319, -61.9743, 0.373825, 178.122, 0.355179, 3.67641
0, 1800.00000, 125.893, -30.1918, 126.57, -150.082, 0.0264396, -57.0658, 0.0483396, -61.9662, 0.417247, 178.121, 0.398951, 2.86388
0, 2700.00000, 126.001, -30.1728, 126.629, -150.07, 0.0247302, -57.2733, 0.0476192, -61.9474, 0.365395, 178.133, 0.347436, 3.56927
1, 0.00000, 126.022, -30.1702, 126.591, -150.079, 0.0219768, -56.4454, 0.046265, -61.9453, 0.40302, 178.126, 0.384891, 3.00087
1, 900.00000, 126.074, -30.1636, 126.611, -150.074, 0.0203865, -60.084, 0.0489322, -61.9389, 0.39424, 178.132, 0.374294, 3.53493
1, 1800.00000, 126.07, -30.1596, 126.625, -150.075, 0.0220394, -52.595, 0.0469267, -61.9354, 0.352486, 178.13, 0.335008, 3.89047
1, 2700.00000, 126.137, -30.1538, 126.596, -150.076, 0.0168536, -62.035, 0.0469005, -61.9292, 0.428918, 178.131, 0.408702, 2.98208
2, 0.00000, 126.138, -30.1493, 126.628, -150.072, 0.018985, -54.7021, 0.0455579, -61.9251, 0.373434, 178.134, 0.355424, 3.49474
2, 900.00000, 126.159, -30.15, 126.636, -150.071, 0.0179531, -59.8032, 0.0462135, -61.9255, 0.35734, 178.136, 0.338429, 3.85816
2, 1800.00000, 126.195, -30.1463, 126.627, -150.069, 0.0157156, -66.8663, 0.0448576, -61.9212, 0.398658, 178.139, 0.378855, 3.12863
2, 2700.00000, 126.199, -30.1463, 126.643, -150.07, 0.0163251, -63.9296, 0.0461978, -61.9217, 0.343585, 178.137, 0.324093, 4.16826
3, 0.00000, 126.186, -30.1425, 126.641, -150.07, 0.0174204, -55.6584, 0.0468819, -61.9187, 0.356497, 178.136, 0.337666, 4.04843
3, 900.00000, 126.193, -30.1441, 126.624, -150.072, 0.0158869, -60.6947, 0.0468786, -61.92, 0.386227, 178.135, 0.366332, 3.61111
3, 1800.00000, 126.199, -30.1423, 126.651, -150.068, 0.0170383, -58.9592, 0.046877, -61.9183, 0.345141, 178.139, 0.326001, 4.2457
3, 2700.00000, 126.218, -30.1412, 126.621, -150.07, 0.014497, -65.5119, 0.046869, -61.9169, 0.414754, 178.138, 0.393941, 3.26185
4, 0.00000, 126.245, -30.1373, 126.609, -150.07, 0.0127383, -70.8622, 0.0461797, -61.9128, 0.456849, 178.139, 0.435302, 2.75317
4, 900.00000, 126.219, -30.1339, 126.628, -150.067, 0.0153204, -57.5485, 0.0508776, -61.9107, 0.444546, 178.141, 0.422704, 3.40332
4, 1800.00000, 126.174, -30.1454, 126.602, -150.078, 0.0160185, -55.9735, 0.0522379, -61.9225, 0.405667, 178.13, 0.383895, 4.08393
4, 2700.00000, 126.224, -30.1346, 126.628, -150.068, 0.0150509, -58.2154, 0.055564, -61.912, 0.430255, 178.14, 0.406508, 4.19289
5, 0.00000, 126.125, -30.1564, 126.65, -150.067, 0.0199713, -62.0257, 0.05695, -61.9326, 0.345148, 178.139, 0.322205, 5.66123
5, 900.00000, 126, -30.1823, 126.601, -150.068, 0.0224894, -71.6821, 0.0536536, -61.9559, 0.44452, 178.136, 0.420896, 3.29132
5, 1800.00000, 125.631, -30.2437, 126.619, -150.064, 0.039024, -65.783, 0.043051, -62.0124, 0.356504, 178.133, 0.341343, 2.01987
5, 2700.00000, 124.945, -30.3366, 126.494, -150.093, 0.0651684, -53.2004, 0.0270595, -62.0992, 0.414523, 178.092, 0.415688, -1.49327
6, 0.00000, 124.875, -30.3327, 126.226, -150.189, 0.0649115, -34.2799, 0.0257195, -62.1041, 0.397971, 177.999, 0.405546, -0.832675
6, 900.00000, 124.582, -30.3654, 126.144, -150.215, 0.0792478, -31.0923, 0.0515661, -62.1452, 0.408538, 177.968, 0.409929, 2.03262
6, 1800.00000, 125.485, -30.2582, 126.43, -150.136, 0.0405705, -43.4094, 0.0693846, -62.0362, 0.290601, 178.061, 0.271576, 8.48193
6, 2700.00000, 125.738, -30.2322, 126.469, -150.118, 0.027765, -57.0201, 0.0692412, -62.0087, 0.337101, 178.084, 0.311836, 7.4279
7, 0.00000, 125.638, -30.2385, 126.414, -150.134, 0.0315483, -46.303, 0.0726538, -62.0167, 0.371362, 178.066, 0.34698, 6.99332
7, 900.00000, 125.305, -30.2713, 126.385, -150.147, 0.0500658, -37.5133, 0.0870215, -62.0511, 0.349812, 178.047, 0.327632, 9.21138
7, 1800.00000, 125.318, -30.2524, 126.358, -150.15, 0.0525273, -31.311, 0.111973, -62.0357, 0.449052, 178.044, 0.418861, 9.93141
7, 2700.00000, 125.712, -30.2188, 126.495, -150.123, 0.0344147, -41.2648, 0.147266, -62.001, 0.268655, 178.077, 0.236752, 28.0764
8, 0.00000, 125.908, -30.2083, 126.456, -150.107, 0.0200857, -72.5552, 0.303423, -61.987, 0.516022, 178.097, 0.445635, 32.8951
8, 900.00000, 125.892, -30.2124, 126.494, -150.104, 0.0227681, -69.9946, 0.360526, -61.9905, 0.432032, 178.099, 0.395665, 48.0303
8, 1800.00000, 125.908, -30.2076, 126.509, -150.112, 0.0234405, -59.8211, 0.406812, -61.9874, 0.326752, 178.091, 0.366452, 67.5869
8, 2700.00000, 125.87, -30.2069, 126.549, -150.099, 0.0275567, -57.2421, 0.419041, -61.986, 0.329401, 178.101, 0.374626, 68.4053
9, 0.00000, 125.833, -30.2156, 126.433, -150.103, 0.0228264, -71.673, 0.437941, -61.9926, 0.639497, 178.1, 0.561408, 39.2586
9, 900.00000, 125.86, -30.2061, 126.466, -150.105, 0.0236295, -60.6679, 0.407644, -61.9852, 0.532412, 178.097, 0.47844, 44.0336
9, 1800.00000, 125.686, -30.232, 126.435, -150.118, 0.0305621, -53.3546, 0.422342, -62.0106, 0.485736, 178.081, 0.453231, 49.6511
9, 2700.00000, 125.764, -30.2398, 126.273, -150.124, 0.0195844, -96.2898, 0.429408, -62.0151, 0.892051, 178.083, 0.766133, 26.3513
10, 0.00000, 125.879, -30.2195, 126.46, -150.108, 0.0219532, -76.9987, 0.430396, -61.9971, 0.492982, 178.096, 0.458265, 50.4972
10, 900.00000, 125.785, -30.2211, 126.258, -150.123, 0.0168351, -83.4492, 0.423957, -61.9982, 0.984128, 178.084, 0.850265, 23.074
10, 1800.00000, 125.714, -30.2231, 126.399, -150.119, 0.0277055, -53.0985, 0.426271, -62.0024, 0.609503, 178.082, 0.539411, 39.8501
10, 2700.00000, 125.586, -30.2408, 126.31, -150.121, 0.0283784, -57.5956, 0.435453, -62.0181, 0.842814, 178.08, 0.728579, 28.2806
11, 0.00000, 125.295, -30.3032, 126.309, -150.125, 0.0397662, -63.5621, 0.434471, -62.0771, 0.723126, 178.07, 0.626969, 33.2538
11, 900.00000, 125.3, -30.3098, 126.306, -150.124, 0.038719, -68.8064, 0.391268, -62.0827, 0.719305, 178.072, 0.619852, 29.5549
11, 1800.00000, 125.476, -30.269, 126.337, -150.116, 0.0326989, -64.9405, 0.246549, -62.0452, 0.747827, 178.084, 0.659902, 15.8346
11, 2700.00000, 125.311, -30.283, 126.364, -150.142, 0.0454372, -44.9122, 0.228682, -62.0623, 0.43676, 178.052, 0.382535, 26.9826
12, 0.00000, 125.559, -30.2438, 126.404, -150.117, 0.0343669, -51.18, 0.214091, -62.0232, 0.573393, 178.082, 0.504858, 18.2873
12, 900.00000, 125.342, -30.2806, 126.355, -150.131, 0.0415823, -50.3955, 0.191511, -62.0578, 0.558256, 178.065, 0.496155, 16.0109
12, 1800.00000, 125.507, -30.2503, 126.457, -150.12, 0.0408079, -45.945, 0.189262, -62.0304, 0.37935, 178.076, 0.332407, 25.296
12, 2700.00000, 125.711, -30.2209, 126.513, -150.104, 0.033347, -49.8241, 0.203735, -62.001, 0.379124, 178.095, 0.330126, 28.2769
13, 0.00000, 125.735, -30.221, 126.502, -150.101, 0.0312407, -54.7056, 0.328745, -61.9999, 0.444771, 178.098, 0.396941, 41.7226
13, 900.00000, 125.6, -30.2346, 126.415, -150.125, 0.0355822, -44.7868, 0.393719, -62.0148, 0.496038, 178.072, 0.45219, 44.9751
13, 1800.00000, 125.496, -30.243, 126.274, -150.126, 0.0321067, -49.3156, 0.405474, -62.0214, 0.922043, 178.074, 0.801657, 23.2085
13, 2700.00000, 125.597, -30.2305, 126.422, -150.119, 0.0363482, -44.7142, 0.41393, -62.011, 0.548114, 178.079, 0.493905, 42.7834
14, 0.00000, 125.565, -30.2393, 126.341, -150.126, 0.0322372, -49.0608, 0.401213, -62.0184, 0.7129, 178.073, 0.619247, 31.0285
14, 900.00000, 125.6, -30.2358, 126.408, -150.123, 0.0344703, -47.1609, 0.390347, -62.0158, 0.538062, 178.075, 0.480414, 40.999
14, 1800.00000, 125.502, -30.2467, 126.417, -150.129, 0.0412476, -42.5187, 0.412895, -62.0271, 0.451712, 178.066, 0.431025, 51.3967
14, 2700.00000, 125.576, -30.2374, 126.441, -150.119, 0.0380523, -45.6825, 0.438238, -62.0175, 0.475164, 178.077, 0.45431, 52.1352
15, 0.00000, 125.644, -30.2305, 126.427, -150.115, 0.0329093, -50.115, 0.422514, -62.0099, 0.552502, 178.083, 0.49797, 43.5428
15, 900.00000, 125.66, -30.2329, 126.345, -150.117, 0.0265774, -59.95, 0.427799, -62.0106, 0.772474, 178.084, 0.668087, 30.7153
15, 1800.00000, 125.585, -30.2418, 126.422, -150.115, 0.0347822, -51.8461, 0.403187, -62.0202, 0.550885, 178.083, 0.491608, 41.4292
15, 2700.00000, 125.713, -30.2342, 126.505, -150.102, 0.0317071, -60.7519, 0.416888, -62.0118, 0.410733, 178.097, 0.406782, 57.2197
16, 0.00000, 125.584, -30.2471, 126.466, -150.116, 0.0369695, -51.7197, 0.414636, -62.0254, 0.402445, 178.081, 0.402585, 57.5393
16, 900.00000, 125.466, -30.2678, 126.453, -150.121, 0.0416132, -51.6939, 0.446029, -62.0453, 0.374075, 178.073, 0.406199, 64.5651
16, 1800.00000, 125.408, -30.2806, 126.417, -150.124, 0.0416214, -54.4767, 0.440853, -62.0572, 0.436807, 178.07, 0.431721, 56.4246
16, 2700.00000, 125.361, -30.2611, 126.335, -150.128, 0.0430971, -44.4523, 0.428211, -62.0404, 0.714699, 178.067, 0.624774, 33.0308
17, 0.00000, 125.166, -30.304, 126.27, -150.129, 0.0455685, -53.635, 0.445067, -62.0786, 0.834509, 178.064, 0.723593, 28.8219
17, 900.00000, 125.299, -30.3205, 126.339, -150.1, 0.0412745, -82.1539, 0.462111, -62.0891, 0.820633, 178.096, 0.704568, 31.0265
17, 1800.00000, 124.921, -30.3953, 126.014, -150.102, 0.0493816, -105.474, 0.453277, -62.1549, 1.68137, 178.099, 1.49335, 12.5456
17, 2700.00000, 124.322, -30.4699, 125.741, -150.12, 0.0580165, -94.7292, 0.37185, -62.226, 2.30381, 178.079, 2.13104, 6.12222
18, 0.00000, 124.245, -30.5295, 125.918, -150.09, 0.0747834, -102.757, 0.242157, -62.278, 1.88717, 178.104, 1.76407, 3.96214
