hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 125.788, -30.1928, 125.609, 89.9551, 0.220165, 66.6791, 1.08819, -62.0801, 1.09161, 58.2163, 1.06685, 176.023
0, 1800.00000, 125.836, -30.185, 125.674, 89.9511, 0.203294, 66.8028, 1.00061, -62.0646, 1.00351, 58.2083, 0.981252, 176.004
0, 2700.00000, 125.947, -30.1665, 125.794, 89.9598, 0.189016, 66.7052, 0.93246, -62.0394, 0.934992, 58.2139, 0.914577, 176.017
1, 0.00000, 125.974, -30.1645, 125.843, 89.9503, 0.171161, 66.9657, 0.839213, -62.0292, 0.841225, 58.2002, 0.823377, 175.983
1, 900.00000, 126.026, -30.1581, 125.873, 89.9515, 0.168688, 66.8319, 0.833816, -62.0217, 0.835923, 58.201, 0.818229, 176.014
1, 1800.00000, 126.026, -30.1541, 125.934, 89.9561, 0.157578, 67.0759, 0.766265, -62.0126, 0.7678, 58.2028, 0.751794, 175.952
1, 2700.00000, 126.095, -30.1489, 125.95, 89.9461, 0.150061, 66.9864, 0.740868, -62.0039, 0.742575, 58.1913, 0.727312, 176.002
2, 0.00000, 126.097, -30.1444, 125.996, 89.9543, 0.145466, 67.0891, 0.709472, -61.9973, 0.710866, 58.1984, 0.696304, 175.963
2, 900.00000, 126.117, -30.1451, 125.987, 89.9521, 0.148679, 66.9473, 0.733789, -61.9995, 0.73539, 58.1971, 0.72028, 176.001
2, 1800.00000, 126.153, -30.1416, 125.989, 89.949, 0.147658, 66.8199, 0.736042, -61.9955, 0.737839, 58.1939, 0.722694, 176.039
2, 2700.00000, 126.159, -30.1416, 126.015, 89.9498, 0.143766, 66.9135, 0.714618, -61.9938, 0.716242, 58.1939, 0.70164, 176.023
3, 0.00000, 126.148, -30.1379, 126.049, 89.954, 0.13639, 67.1215, 0.666276, -61.9865, 0.667525, 58.1962, 0.654039, 175.966
3, 900.00000, 126.155, -30.1396, 126.029, 89.9491, 0.137839, 67.0567, 0.679105, -61.989, 0.680502, 58.1916, 0.66676, 175.992
3, 1800.00000, 126.16, -30.1377, 126.042, 89.9542, 0.139808, 66.9868, 0.688611, -61.9881, 0.690011, 58.1972, 0.676001, 175.994
3, 2700.00000, 126.179, -30.1368, 126.032, 89.9477, 0.137358, 66.954, 0.681289, -61.986, 0.682805, 58.1902, 0.669017, 176.018
4, 0.00000, 126.207, -30.1331, 126.044, 89.945, 0.13333, 66.924, 0.664101, -61.9804, 0.665645, 58.1868, 0.652283, 176.034
4, 900.00000, 126.182, -30.1296, 126.067, 89.9548, 0.132067, 67.0286, 0.645299, -61.9763, 0.646566, 58.1962, 0.633533, 175.978
4, 1800.00000, 126.137, -30.141, 126.041, 89.9464, 0.131171, 67.3141, 0.63844, -61.9874, 0.639588, 58.1871, 0.626825, 175.947
4, 2700.00000, 126.187, -30.1303, 126.073, 89.953, 0.130374, 67.0602, 0.637925, -61.9761, 0.639147, 58.194, 0.626328, 175.978
5, 0.00000, 126.079, -30.151, 125.917, 89.9561, 0.166507, 66.6912, 0.828376, -62.0139, 0.830481, 58.2054, 0.812929, 176.037
5, 900.00000, 125.941, -30.1758, 125.666, 89.9504, 0.21265, 66.3643, 1.07441, -62.0596, 1.07846, 58.2105, 1.05417, 176.116
5, 1800.00000, 125.542, -30.2336, 125.175, 89.9673, 0.319768, 66.1624, 1.61309, -62.1666, 1.62184, 58.2523, 1.58011, 176.164
5, 2700.00000, 124.825, -30.3216, 124.55, 89.9799, 0.427996, 66.4561, 2.10086, -62.3047, 2.11261, 58.2887, 2.05221, 176.052
6, 0.00000, 124.802, -30.3214, 125.094, 89.924, 0.251952, 68.57, 1.11581, -62.2233, 1.11554, 58.1878, 1.09019, 175.471
6, 900.00000, 124.506, -30.3528, 124.967, 89.9255, 0.261639, 68.9767, 1.11769, -62.2592, 1.11611, 58.1901, 1.09061, 175.293
6, 1800.00000, 125.424, -30.2499, 125.459, 89.9285, 0.215015, 67.8075, 1.01242, -62.1348, 1.01389, 58.1864, 0.991554, 175.765
6, 2700.00000, 125.68, -30.2251, 125.547, 89.9202, 0.206206, 67.2898, 1.01293, -62.106, 1.0156, 58.1772, 0.993388, 175.942
7, 0.00000, 125.584, -30.2314, 125.571, 89.918, 0.189873, 67.9003, 0.901092, -62.1047, 0.902621, 58.1704, 0.883395, 175.804
7, 900.00000, 125.242, -30.2621, 125.394, 89.9372, 0.220813, 68.1083, 1.00616, -62.1497, 1.00682, 58.1956, 0.984471, 175.638
7, 1800.00000, 125.264, -30.2439, 125.54, 89.9438, 0.186418, 68.8084, 0.802878, -62.1153, 0.802412, 58.1936, 0.785367, 175.44
7, 2700.00000, 125.665, -30.2121, 125.726, 89.9345, 0.171267, 68.0218, 0.798009, -62.0765, 0.79865, 58.1825, 0.782068, 175.734
8, 0.00000, 125.857, -30.2026, 125.618, 89.9127, 0.193275, 66.7344, 0.97459, -62.0776, 0.977787, 58.1679, 0.956602, 176.052
8, 900.00000, 125.839, -30.2064, 125.6, 89.9181, 0.203029, 66.5929, 1.02621, -62.0859, 1.02978, 58.1757, 1.00705, 176.069
8, 1800.00000, 125.863, -30.2022, 125.728, 89.9175, 0.175823, 66.9892, 0.874693, -62.069, 0.876895, 58.1684, 0.858332, 175.984
8, 2700.00000, 125.82, -30.2008, 125.676, 89.9335, 0.195908, 66.6989, 0.972623, -62.077, 0.975215, 58.1892, 0.953857, 175.997
9, 0.00000, 125.776, -30.2093, 125.492, 89.9174, 0.218922, 66.3936, 1.10497, -62.0961, 1.10928, 58.1789, 1.08417, 176.086
9, 900.00000, 125.81, -30.2002, 125.631, 89.9232, 0.193207, 66.7346, 0.958654, -62.0751, 0.961531, 58.1783, 0.940511, 176.008
9, 1800.00000, 125.631, -30.2251, 125.506, 89.9226, 0.211893, 66.938, 1.03653, -62.1087, 1.03931, 58.1814, 1.01614, 175.941
9, 2700.00000, 125.702, -30.2335, 125.284, 89.8833, 0.235831, 66.3719, 1.20947, -62.1281, 1.21557, 58.1489, 1.18758, 176.148
10, 0.00000, 125.825, -30.2135, 125.535, 89.9091, 0.211406, 66.449, 1.07822, -62.0969, 1.08257, 58.1689, 1.05833, 176.109
10, 900.00000, 125.731, -30.2153, 125.41, 89.8916, 0.208064, 66.6222, 1.04576, -62.0972, 1.05013, 58.1503, 1.02676, 176.073
10, 1800.00000, 125.662, -30.2166, 125.533, 89.92, 0.201666, 66.983, 0.982071, -62.0955, 0.984734, 58.1765, 0.963002, 175.936
10, 2700.00000, 125.524, -30.2334, 125.309, 89.9151, 0.23701, 66.7284, 1.16245, -62.1284, 1.16655, 58.1799, 1.1396, 175.981
11, 0.00000, 125.207, -30.2929, 124.853, 89.914, 0.331461, 66.4154, 1.65566, -62.2315, 1.66468, 58.201, 1.6216, 176.08
11, 900.00000, 125.208, -30.2993, 124.787, 89.9087, 0.344782, 66.344, 1.73629, -62.2439, 1.74681, 58.1991, 1.70091, 176.123
