hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0.158074, 0.0977152, -6.65769E-005, 0.000175315
0, 1800.00000, 0.151185, 0.0934749, -5.95439E-005, 0.000153418
0, 2700.00000, 0.138499, 0.0856456, -5.04166E-005, 0.000130988
1, 0.00000, 0.131606, 0.0813996, -4.40314E-005, 0.000111588
1, 900.00000, 0.123914, 0.0766457, -4.26062E-005, 0.000101649
1, 1800.00000, 0.126421, 0.0782029, -3.64993E-005, 0.000101345
1, 2700.00000, 0.112784, 0.0697774, -3.61309E-005, 8.00709E-005
2, 0.00000, 0.115976, 0.0717534, -3.25744E-005, 8.37087E-005
2, 900.00000, 0.110757, 0.0685234, -3.35754E-005, 8.00052E-005
2, 1800.00000, 0.104579, 0.064704, -3.41337E-005, 7.19222E-005
2, 2700.00000, 0.10285, 0.0636361, -3.14301E-005, 7.05076E-005
3, 0.00000, 0.108089, 0.0668807, -2.89018E-005, 7.26353E-005
3, 900.00000, 0.104873, 0.0648913, -3.03562E-005, 6.89531E-005
3, 1800.00000, 0.105598, 0.0653376, -2.98953E-005, 7.18555E-005
3, 2700.00000, 0.101145, 0.0625864, -3.07819E-005, 6.43596E-005
4, 0.00000, 0.0968413, 0.0599271, -3.02383E-005, 5.77532E-005
4, 900.00000, 0.106214, 0.0657255, -2.9244E-005, 6.65044E-005
4, 1800.00000, 0.107213, 0.0663433, -2.84437E-005, 6.79955E-005
4, 2700.00000, 0.103978, 0.0643426, -2.83531E-005, 6.42348E-005
5, 0.00000, 0.116919, 0.0723217, -3.9894E-005, 9.46376E-005
5, 900.00000, 0.13418, 0.0829602, -6.38287E-005, 0.000133034
5, 1800.00000, 0.194647, 0.120193, -0.000126956, 0.000307058
5, 2700.00000, 0.305843, 0.188585, -0.000222989, 0.000695916
6, 0.00000, 0.290956, 0.179711, -5.45076E-005, 0.000462882
6, 900.00000, 0.336061, 0.207511, -3.02582E-005, 0.000591361
6, 1800.00000, 0.196749, 0.121607, -5.7373E-005, 0.000240013
6, 2700.00000, 0.154176, 0.0953184, -6.02645E-005, 0.00016167
7, 0.00000, 0.170181, 0.105224, -5.10227E-005, 0.00017461
7, 900.00000, 0.230944, 0.142716, -5.15084E-005, 0.000306646
7, 1800.00000, 0.236897, 0.146444, -2.40726E-005, 0.000283758
7, 2700.00000, 0.164383, 0.101656, -3.47367E-005, 0.000162207
8, 0.00000, 0.124248, 0.0768371, -5.41493E-005, 0.000109899
8, 900.00000, 0.12563, 0.0776824, -5.4902E-005, 0.000120011
8, 1800.00000, 0.119776, 0.074081, -3.97982E-005, 0.000105021
8, 2700.00000, 0.134083, 0.0829093, -4.73877E-005, 0.000133492
9, 0.00000, 0.138576, 0.0856752, -6.7957E-005, 0.000137947
9, 900.00000, 0.136304, 0.0842892, -5.28975E-005, 0.000126481
9, 1800.00000, 0.160449, 0.0991922, -6.02613E-005, 0.00017312
9, 2700.00000, 0.13657, 0.0844284, -8.51907E-005, 0.000131473
10, 0.00000, 0.1224, 0.0756812, -5.89211E-005, 0.000117699
10, 900.00000, 0.142269, 0.0879742, -7.557E-005, 0.000121698
10, 1800.00000, 0.158834, 0.0982067, -5.91035E-005, 0.000158973
10, 2700.00000, 0.181343, 0.112085, -8.7537E-005, 0.000203549
11, 0.00000, 0.218179, 0.134709, -0.000148537, 0.000349325
11, 900.00000, 0.214375, 0.132346, -0.000159462, 0.00034997
11, 1800.00000, 0.199042, 0.122951, -0.00012389, 0.000273904
11, 2700.00000, 0.22211, 0.137223, -8.11487E-005, 0.000312034
12, 0.00000, 0.191326, 0.118243, -8.04999E-005, 0.000232445
12, 900.00000, 0.221107, 0.136582, -0.000104052, 0.000317698
12, 1800.00000, 0.199325, 0.12318, -6.87467E-005, 0.00025586
12, 2700.00000, 0.169647, 0.104872, -5.91917E-005, 0.000190606
13, 0.00000, 0.162187, 0.100256, -6.45413E-005, 0.000182367
13, 900.00000, 0.179006, 0.110665, -5.36316E-005, 0.000196743
13, 1800.00000, 0.202169, 0.124952, -8.81007E-005, 0.000232482
13, 2700.00000, 0.184262, 0.113907, -5.75642E-005, 0.000207512
14, 0.00000, 0.185805, 0.114854, -7.18856E-005, 0.0002067
14, 900.00000, 0.179446, 0.110929, -6.06625E-005, 0.000200709
14, 1800.00000, 0.194867, 0.120449, -5.48158E-005, 0.000234421
14, 2700.00000, 0.184583, 0.114094, -5.91156E-005, 0.000217822
15, 0.00000, 0.173525, 0.107267, -6.39113E-005, 0.000194065
15, 900.00000, 0.168424, 0.104112, -7.93858E-005, 0.0001805
