hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 125.85, -30.2001, 0.029125, -57.681, 1.77359, -61.9745, 1.76426, 118.005
0, 1800.00000, 125.893, -30.1918, 0.0264396, -57.0658, 1.69575, -61.9672, 1.68712, 118.011
0, 2700.00000, 126.001, -30.1728, 0.0247302, -57.2733, 1.55218, -61.9491, 1.54417, 118.03
1, 0.00000, 126.022, -30.1702, 0.0219768, -56.4454, 1.4747, -61.9476, 1.4674, 118.03
1, 900.00000, 126.074, -30.1636, 0.0203865, -60.084, 1.38791, -61.9411, 1.38108, 118.047
1, 1800.00000, 126.07, -30.1596, 0.0220394, -52.595, 1.41612, -61.9377, 1.40896, 118.027
1, 2700.00000, 126.137, -30.1538, 0.0168536, -62.035, 1.26264, -61.9323, 1.25676, 118.062
2, 0.00000, 126.138, -30.1493, 0.018985, -54.7021, 1.29842, -61.9282, 1.29207, 118.044
2, 900.00000, 126.159, -30.15, 0.0179531, -59.8032, 1.23975, -61.9287, 1.2337, 118.059
2, 1800.00000, 126.195, -30.1463, 0.0157156, -66.8663, 1.17022, -61.925, 1.16476, 118.082
2, 2700.00000, 126.199, -30.1463, 0.0163251, -63.9296, 1.15086, -61.9252, 1.14531, 118.074
3, 0.00000, 126.186, -30.1425, 0.0174204, -55.6584, 1.20966, -61.9219, 1.20379, 118.054
3, 900.00000, 126.193, -30.1441, 0.0158869, -60.6947, 1.17357, -61.9235, 1.16806, 118.067
3, 1800.00000, 126.199, -30.1423, 0.0170383, -58.9592, 1.18163, -61.9216, 1.17589, 118.064
3, 2700.00000, 126.218, -30.1412, 0.014497, -65.5119, 1.1316, -61.9205, 1.12646, 118.082
4, 0.00000, 126.245, -30.1373, 0.0127383, -70.8622, 1.0832, -61.9168, 1.07853, 118.098
4, 900.00000, 126.219, -30.1339, 0.0153204, -57.5485, 1.18834, -61.9137, 1.18292, 118.069
4, 1800.00000, 126.174, -30.1454, 0.0160185, -55.9735, 1.19997, -61.9252, 1.1944, 118.053
4, 2700.00000, 126.224, -30.1346, 0.0150509, -58.2154, 1.16329, -61.9144, 1.15797, 118.07
5, 0.00000, 126.125, -30.1564, 0.0199713, -62.0257, 1.30901, -61.9342, 1.30242, 118.06
5, 900.00000, 126, -30.1823, 0.0224894, -71.6821, 1.50353, -61.9573, 1.49611, 118.065
5, 1800.00000, 125.631, -30.2437, 0.039024, -65.783, 2.18725, -62.0121, 2.17513, 117.995
5, 2700.00000, 124.945, -30.3366, 0.0651684, -53.2004, 3.45589, -62.0981, 3.43616, 117.862
6, 0.00000, 124.875, -30.3327, 0.0649115, -34.2799, 3.29154, -62.1045, 3.27353, 117.783
6, 900.00000, 124.582, -30.3654, 0.0792478, -31.0923, 3.81124, -62.1361, 3.7901, 117.734
6, 1800.00000, 125.485, -30.2582, 0.0405705, -43.4094, 2.21444, -62.0326, 2.20236, 117.894
6, 2700.00000, 125.738, -30.2322, 0.027765, -57.0201, 1.73151, -62.0071, 1.72254, 117.971
7, 0.00000, 125.638, -30.2385, 0.0315483, -46.303, 1.91292, -62.0144, 1.90305, 117.928
7, 900.00000, 125.305, -30.2713, 0.0500658, -37.5133, 2.60321, -62.045, 2.58894, 117.857
