hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 0.0322924, 0.0200191, 0.0322286, 0.0200054, 1.23216E-005, -3.71815E-005
0, 1800.00000, 0.0360357, 0.0223387, 0.0359708, 0.0223254, 1.19982E-005, -3.80394E-005
0, 2700.00000, 0.0315704, 0.0195702, 0.0315177, 0.0195592, 9.94882E-006, -3.10435E-005
1, 0.00000, 0.0348083, 0.0215764, 0.034756, 0.021566, 9.35666E-006, -3.07662E-005
1, 900.00000, 0.0340536, 0.0211094, 0.0340041, 0.0210979, 9.71213E-006, -2.90742E-005
1, 1800.00000, 0.0304514, 0.0188744, 0.0304083, 0.0188672, 6.91242E-006, -2.54838E-005
1, 2700.00000, 0.0370413, 0.0229608, 0.0369947, 0.0229496, 9.41445E-006, -2.74238E-005
2, 0.00000, 0.0322594, 0.0199951, 0.0322182, 0.0199875, 6.97004E-006, -2.43204E-005
2, 900.00000, 0.03087, 0.019135, 0.0308305, 0.019126, 7.66163E-006, -2.3229E-005
2, 1800.00000, 0.0344351, 0.0213461, 0.0343933, 0.0213345, 9.32698E-006, -2.46383E-005
2, 2700.00000, 0.029682, 0.0183991, 0.0296462, 0.0183898, 7.6235E-006, -2.11683E-005
3, 0.00000, 0.030798, 0.0190892, 0.0307615, 0.0190822, 6.35227E-006, -2.16176E-005
3, 900.00000, 0.0333607, 0.0206786, 0.0333219, 0.0206695, 7.61713E-006, -2.28855E-005
3, 1800.00000, 0.0298188, 0.018483, 0.029783, 0.018475, 6.8166E-006, -2.11519E-005
3, 2700.00000, 0.0358225, 0.0222053, 0.0357821, 0.0221945, 8.7221E-006, -2.37635E-005
4, 0.00000, 0.0394527, 0.024456, 0.039411, 0.0244436, 9.84541E-006, -2.45351E-005
4, 900.00000, 0.0383986, 0.0238004, 0.0383559, 0.0237915, 7.8066E-006, -2.51609E-005
4, 1800.00000, 0.0350339, 0.0217145, 0.0349944, 0.0217068, 6.83615E-006, -2.3257E-005
4, 2700.00000, 0.037164, 0.0230352, 0.0371232, 0.0230266, 7.55274E-006, -2.40175E-005
5, 0.00000, 0.0298214, 0.0184862, 0.0297782, 0.0184753, 8.8654E-006, -2.50739E-005
5, 900.00000, 0.0383952, 0.0238061, 0.0383269, 0.0237843, 1.66565E-005, -3.93785E-005
5, 1800.00000, 0.0308118, 0.0191084, 0.0307256, 0.019084, 2.19145E-005, -5.00877E-005
5, 2700.00000, 0.0358173, 0.0222099, 0.0356718, 0.0221843, 2.97644E-005, -8.42321E-005
6, 0.00000, 0.0343092, 0.0212531, 0.0342105, 0.0212619, 2.83296E-006, -5.74994E-005
6, 900.00000, 0.035208, 0.0218034, 0.0350953, 0.0218214, -8.8388E-007, -6.5444E-005
6, 1800.00000, 0.0250786, 0.0155418, 0.0250241, 0.0155386, 6.36791E-006, -3.20013E-005
