hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 126.664, -150.097, 126.272, 89.9087, 0.127869, -138.296, 0.299961, 178.107, 0.300406, 58.0794, 0.306328, -66.6305
0, 1800.00000, 126.645, -150.098, 126.289, 89.908, 0.117206, -138.303, 0.334779, 178.107, 0.335229, 58.082, 0.340312, -65.8094
0, 2700.00000, 126.701, -150.086, 126.369, 89.9195, 0.109242, -138.263, 0.293163, 178.12, 0.293534, 58.0966, 0.298408, -66.0327
1, 0.00000, 126.653, -150.093, 126.359, 89.9142, 0.0981128, -138.372, 0.323349, 178.114, 0.323706, 58.0947, 0.327761, -65.2872
1, 900.00000, 126.67, -150.087, 126.378, 89.916, 0.0954674, -136.766, 0.316298, 178.119, 0.31665, 58.0983, 0.321089, -65.2373
1, 1800.00000, 126.682, -150.088, 126.412, 89.9226, 0.092191, -140.377, 0.282806, 178.121, 0.28309, 58.1046, 0.286413, -65.5527
1, 2700.00000, 126.65, -150.087, 126.396, 89.9147, 0.0832373, -135.622, 0.344101, 178.119, 0.344433, 58.1014, 0.348338, -64.5688
2, 0.00000, 126.683, -150.084, 126.437, 89.9234, 0.0834796, -139.016, 0.299595, 178.124, 0.29987, 58.1088, 0.303062, -65.0082
2, 900.00000, 126.683, -150.082, 126.426, 89.9213, 0.0840996, -136.88, 0.286697, 178.125, 0.286976, 58.1075, 0.290844, -65.1345
2, 1800.00000, 126.677, -150.08, 126.422, 89.9183, 0.0811956, -133.929, 0.319827, 178.125, 0.320141, 58.1066, 0.324459, -64.6632
2, 2700.00000, 126.681, -150.08, 126.431, 89.9206, 0.0803411, -135.277, 0.275669, 178.126, 0.275935, 58.1089, 0.280046, -65.0826
3, 0.00000, 126.689, -150.081, 126.458, 89.9254, 0.0778735, -138.551, 0.286009, 178.127, 0.286257, 58.113, 0.289336, -64.926
3, 900.00000, 126.67, -150.083, 126.437, 89.9204, 0.0769029, -136.225, 0.309858, 178.125, 0.310131, 58.1091, 0.31364, -64.6348
3, 1800.00000, 126.696, -150.079, 126.456, 89.9251, 0.0791719, -137.19, 0.276904, 178.129, 0.277156, 58.1129, 0.280695, -65.0528
3, 2700.00000, 126.67, -150.081, 126.437, 89.919, 0.0751547, -134.211, 0.332727, 178.126, 0.333023, 58.109, 0.33682, -64.3659
4, 0.00000, 126.661, -150.081, 126.439, 89.917, 0.0713207, -132.14, 0.366471, 178.125, 0.366785, 58.1088, 0.370675, -64.0041
4, 900.00000, 126.694, -150.079, 126.478, 89.9258, 0.0732189, -136.936, 0.356578, 178.129, 0.356864, 58.1151, 0.3598, -64.1738
4, 1800.00000, 126.648, -150.088, 126.431, 89.9189, 0.0737839, -138.047, 0.325451, 178.121, 0.325711, 58.1078, 0.328539, -64.4269
4, 2700.00000, 126.688, -150.08, 126.473, 89.9248, 0.0722696, -136.759, 0.345131, 178.129, 0.345407, 58.1146, 0.348376, -64.216
5, 0.00000, 126.704, -150.079, 126.41, 89.9214, 0.0943161, -136.159, 0.276917, 178.126, 0.277226, 58.1047, 0.281978, -65.6307
5, 900.00000, 126.677, -150.085, 126.295, 89.9058, 0.117372, -132.531, 0.356629, 178.115, 0.357156, 58.0835, 0.364281, -65.4583
5, 1800.00000, 126.73, -150.089, 126.134, 89.8999, 0.183373, -135.159, 0.286088, 178.105, 0.286757, 58.0551, 0.298146, -68.7893
5, 2700.00000, 126.677, -150.131, 125.896, 89.8864, 0.258489, -141.078, 0.332693, 178.066, 0.333668, 58.0089, 0.345609, -70.539
6, 0.00000, 126.295, -150.211, 125.892, 89.8703, 0.180672, -155.718, 0.319559, 178.013, 0.319953, 58.0093, 0.318639, -68.5391
6, 900.00000, 126.229, -150.239, 125.826, 89.8682, 0.201763, -159.903, 0.328073, 177.992, 0.32844, 57.9959, 0.32439, -69.1292
6, 1800.00000, 126.454, -150.15, 126.084, 89.8858, 0.137902, -147.419, 0.233317, 178.062, 0.233621, 58.0477, 0.236607, -68.6737
