hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 126.512, -150.07, 0.0941179, 98.6845, 1.65009, 178.189, 1.64364, -1.17341
0, 1800.00000, 126.499, -150.073, 0.0866471, 99.8779, 1.57843, 178.182, 1.57202, -1.20662
0, 2700.00000, 126.563, -150.062, 0.080586, 99.2711, 1.44531, 178.19, 1.43956, -1.18771
1, 0.00000, 126.53, -150.071, 0.0728561, 101.131, 1.37385, 178.177, 1.36806, -1.2352
1, 900.00000, 126.554, -150.066, 0.071994, 99.6965, 1.2933, 178.181, 1.28805, -1.19843
1, 1800.00000, 126.565, -150.068, 0.0669544, 102.452, 1.31947, 178.178, 1.31373, -1.26273
1, 2700.00000, 126.546, -150.069, 0.0639662, 100.703, 1.17727, 178.175, 1.17233, -1.22232
2, 0.00000, 126.575, -150.066, 0.0618002, 102.38, 1.21041, 178.178, 1.20514, -1.25996
2, 900.00000, 126.585, -150.065, 0.063497, 100.304, 1.1558, 178.179, 1.15101, -1.21007
2, 1800.00000, 126.581, -150.063, 0.0632051, 98.8793, 1.09132, 178.18, 1.08698, -1.1726
2, 2700.00000, 126.596, -150.064, 0.0616568, 99.2577, 1.0732, 178.179, 1.06886, -1.18018
3, 0.00000, 126.592, -150.064, 0.0580211, 102.296, 1.12797, 178.177, 1.12306, -1.25606
3, 900.00000, 126.578, -150.066, 0.0587818, 101.145, 1.0945, 178.175, 1.08984, -1.22973
3, 1800.00000, 126.602, -150.062, 0.0596524, 100.74, 1.10185, 178.18, 1.09723, -1.21947
3, 2700.00000, 126.577, -150.065, 0.0586223, 100.156, 1.05557, 178.176, 1.0512, -1.20574
4, 0.00000, 126.569, -150.065, 0.0568745, 99.8394, 1.01072, 178.176, 1.00657, -1.19772
4, 900.00000, 126.582, -150.061, 0.0558256, 102.638, 1.1085, 178.179, 1.10367, -1.26653
4, 1800.00000, 126.555, -150.072, 0.0557777, 103.639, 1.11919, 178.169, 1.11414, -1.28558
4, 2700.00000, 126.583, -150.063, 0.0552196, 102.465, 1.08514, 178.178, 1.08041, -1.26201
5, 0.00000, 126.595, -150.06, 0.0713328, 98.268, 1.21994, 178.187, 1.21522, -1.1578
5, 900.00000, 126.538, -150.06, 0.0917335, 95.2443, 1.40032, 178.196, 1.39554, -1.06443
5, 1800.00000, 126.521, -150.051, 0.138493, 93.8505, 2.03072, 178.225, 2.02435, -1.00219
5, 2700.00000, 126.336, -150.074, 0.182403, 97.8538, 3.19473, 178.227, 3.18278, -1.13251
6, 0.00000, 126.078, -150.175, 0.109524, 117.352, 3.04872, 178.099, 3.0323, -1.5465
6, 900.00000, 125.973, -150.199, 0.115986, 122.357, 3.52495, 178.08, 3.50526, -1.61336
6, 1800.00000, 126.33, -150.126, 0.0921661, 107.64, 2.05719, 178.135, 2.04721, -1.38534
6, 2700.00000, 126.393, -150.109, 0.0889279, 101.018, 1.61094, 178.148, 1.60403, -1.24043
7, 0.00000, 126.331, -150.125, 0.0815532, 107.319, 1.77947, 178.13, 1.7708, -1.37838
7, 900.00000, 126.268, -150.135, 0.0946907, 112.731, 2.41632, 178.13, 2.40392, -1.4668
7, 1800.00000, 126.242, -150.139, 0.0818632, 121.709, 2.4795, 178.12, 2.46578, -1.56936
7, 2700.00000, 126.412, -150.114, 0.0736101, 109.555, 1.71783, 178.138, 1.70926, -1.40971
8, 0.00000, 126.401, -150.1, 0.0838117, 96.5002, 1.2981, 178.152, 1.29331, -1.12053
8, 900.00000, 126.436, -150.096, 0.0884525, 95.3012, 1.3122, 178.158, 1.30763, -1.08049
8, 1800.00000, 126.452, -150.104, 0.0764318, 98.0813, 1.25111, 178.145, 1.24619, -1.17059
8, 2700.00000, 126.484, -150.091, 0.0846553, 97.5109, 1.40012, 178.162, 1.39482, -1.15905
9, 0.00000, 126.374, -150.094, 0.094504, 95.4198, 1.44799, 178.162, 1.44298, -1.10077
9, 900.00000, 126.405, -150.097, 0.0828811, 98.4794, 1.42414, 178.155, 1.41857, -1.19345
9, 1800.00000, 126.36, -150.109, 0.0906419, 100.552, 1.67708, 178.148, 1.67011, -1.25157
9, 2700.00000, 126.221, -150.116, 0.102529, 93.8539, 1.42846, 178.144, 1.42386, -1.04303
10, 0.00000, 126.405, -150.1, 0.0926179, 93.7523, 1.27865, 178.155, 1.27456, -1.02397
10, 900.00000, 126.207, -150.116, 0.0887035, 97.9205, 1.48853, 178.139, 1.4828, -1.19262
