hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 9.38913E-010, -1.43849E-006, -9.38868E-010, -5.92678E-010
0, 1800.00000, 8.79028E-010, -1.43795E-006, -8.79036E-010, -5.42081E-010
0, 2700.00000, 8.11245E-010, -1.4393E-006, -8.11256E-010, -5.03165E-010
1, 0.00000, 7.51363E-010, -1.43834E-006, -7.51283E-010, -4.55395E-010
1, 900.00000, 7.03273E-010, -1.43874E-006, -7.0309E-010, -4.09489E-010
1, 1800.00000, 7.32386E-010, -1.43916E-006, -7.32347E-010, -4.67417E-010
1, 2700.00000, 6.1722E-010, -1.43828E-006, -6.17308E-010, -3.35721E-010
2, 0.00000, 6.561E-010, -1.43913E-006, -6.5622E-010, -3.98044E-010
2, 900.00000, 6.2518E-010, -1.43928E-006, -6.25181E-010, -3.64426E-010
2, 1800.00000, 5.71762E-010, -1.43898E-006, -5.71696E-010, -2.98125E-010
2, 2700.00000, 5.75566E-010, -1.43941E-006, -5.75434E-010, -3.21873E-010
3, 0.00000, 6.08272E-010, -1.43941E-006, -6.08268E-010, -3.64065E-010
3, 900.00000, 5.77145E-010, -1.43895E-006, -5.7713E-010, -3.2114E-010
3, 1800.00000, 5.9485E-010, -1.43962E-006, -5.94857E-010, -3.47732E-010
3, 2700.00000, 5.44153E-010, -1.43879E-006, -5.44209E-010, -2.79243E-010
4, 0.00000, 5.03315E-010, -1.43842E-006, -5.03258E-010, -2.30382E-010
4, 900.00000, 5.72913E-010, -1.43895E-006, -5.72789E-010, -3.09267E-010
4, 1800.00000, 5.86909E-010, -1.43844E-006, -5.86957E-010, -3.36083E-010
4, 2700.00000, 5.61761E-010, -1.43895E-006, -5.61643E-010, -3.03319E-010
5, 0.00000, 6.72266E-010, -1.43965E-006, -6.72238E-010, -3.91761E-010
5, 900.00000, 7.58552E-010, -1.43844E-006, -7.5854E-010, -3.92648E-010
5, 1800.00000, 1.19395E-009, -1.43937E-006, -1.19407E-009, -7.26121E-010
5, 2700.00000, 1.93645E-009, -1.43719E-006, -1.93639E-009, -1.34426E-009
6, 0.00000, 1.81476E-009, -1.43124E-006, -1.81475E-009, -1.47564E-009
6, 900.00000, 2.12304E-009, -1.42974E-006, -2.12293E-009, -1.78471E-009
6, 1800.00000, 1.21297E-009, -1.43532E-006, -1.21288E-009, -9.14187E-010
6, 2700.00000, 9.11533E-010, -1.4358E-006, -9.1164E-010, -5.93755E-010
7, 0.00000, 1.0085E-009, -1.43464E-006, -1.00859E-009, -7.11989E-010
7, 900.00000, 1.43206E-009, -1.43448E-006, -1.43193E-009, -1.12294E-009
7, 1800.00000, 1.4495E-009, -1.43381E-006, -1.44961E-009, -1.1643E-009
7, 2700.00000, 1.01146E-009, -1.43663E-006, -1.01137E-009, -7.64232E-010
8, 0.00000, 6.85896E-010, -1.43499E-006, -6.85894E-010, -3.15327E-010
8, 900.00000, 7.25995E-010, -1.436E-006, -7.25976E-010, -3.63303E-010
8, 1800.00000, 7.19841E-010, -1.43651E-006, -7.19764E-010, -4.20937E-010
8, 2700.00000, 8.21889E-010, -1.43751E-006, -8.21868E-010, -4.99403E-010
9, 0.00000, 7.64753E-010, -1.43436E-006, -7.64664E-010, -3.25268E-010
9, 900.00000, 7.76895E-010, -1.43531E-006, -7.76854E-010, -4.03773E-010
9, 1800.00000, 9.52241E-010, -1.43486E-006, -9.52353E-010, -5.75966E-010
9, 2700.00000, 6.70389E-010, -1.43025E-006, -6.70337E-010, -1.37153E-010
10, 0.00000, 6.92507E-010, -1.43509E-006, -6.9243E-010, -2.97181E-010
10, 900.00000, 6.85545E-010, -1.42985E-006, -6.8544E-010, -1.69251E-010
10, 1800.00000, 9.07425E-010, -1.43383E-006, -9.07393E-010, -5.10734E-010
10, 2700.00000, 9.94408E-010, -1.43156E-006, -9.94555E-010, -4.93088E-010
11, 0.00000, 1.27568E-009, -1.4319E-006, -1.27547E-009, -6.88218E-010
11, 900.00000, 1.24455E-009, -1.43178E-006, -1.24445E-009, -6.39095E-010
11, 1800.00000, 1.12038E-009, -1.43238E-006, -1.12032E-009, -5.82559E-010
11, 2700.00000, 1.36079E-009, -1.43375E-006, -1.36068E-009, -9.71833E-010
12, 0.00000, 1.11646E-009, -1.43421E-006, -1.11627E-009, -7.00672E-010
12, 900.00000, 1.31736E-009, -1.4333E-006, -1.3172E-009, -8.6588E-010
12, 1800.00000, 1.22341E-009, -1.4358E-006, -1.22323E-009, -8.70244E-010
12, 2700.00000, 1.02624E-009, -1.43686E-006, -1.02627E-009, -6.90273E-010
13, 0.00000, 9.70663E-010, -1.43643E-006, -9.7063E-010, -5.96351E-010
13, 900.00000, 1.07284E-009, -1.43455E-006, -1.07282E-009, -7.14966E-010
13, 1800.00000, 1.11153E-009, -1.43078E-006, -1.1115E-009, -6.02107E-010
13, 2700.00000, 1.0987E-009, -1.43465E-006, -1.09874E-009, -7.18829E-010
14, 0.00000, 1.058E-009, -1.43254E-006, -1.05801E-009, -6.19471E-010
14, 900.00000, 1.06385E-009, -1.43431E-006, -1.0639E-009, -6.82253E-010
14, 1800.00000, 1.1955E-009, -1.43479E-006, -1.19548E-009, -8.39591E-010
14, 2700.00000, 1.12369E-009, -1.43521E-006, -1.1237E-009, -7.51472E-010
15, 0.00000, 1.02474E-009, -1.43467E-006, -1.02474E-009, -6.28277E-010
15, 900.00000, 9.26367E-010, -1.43238E-006, -9.2631E-010, -4.51963E-010
15, 1800.00000, 1.08334E-009, -1.4346E-006, -1.08328E-009, -6.64782E-010
