hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 125.609, 89.9551, 0.220165, 66.6791, 2.18125, 58.2263, 2.12894, -121.958
0, 1800.00000, 125.674, 89.9511, 0.203294, 66.8028, 2.00513, 58.2174, 1.95687, -121.97
0, 2700.00000, 125.794, 89.9598, 0.189016, 66.7052, 1.86817, 58.2224, 1.82327, -121.963
1, 0.00000, 125.843, 89.9503, 0.171161, 66.9657, 1.68074, 58.2077, 1.64016, -121.984
1, 900.00000, 125.873, 89.9515, 0.168688, 66.8319, 1.67014, 58.2085, 1.63008, -121.979
1, 1800.00000, 125.934, 89.9561, 0.157578, 67.0759, 1.53398, 58.2097, 1.49669, -121.986
1, 2700.00000, 125.95, 89.9461, 0.150061, 66.9864, 1.48357, 58.1979, 1.44795, -121.994
2, 0.00000, 125.996, 89.9543, 0.145466, 67.0891, 1.4202, 58.2048, 1.38575, -121.991
2, 900.00000, 125.987, 89.9521, 0.148679, 66.9473, 1.46921, 58.2037, 1.43392, -121.987
2, 1800.00000, 125.989, 89.949, 0.147658, 66.8199, 1.4741, 58.2005, 1.43898, -121.986
2, 2700.00000, 126.015, 89.9498, 0.143766, 66.9135, 1.43094, 58.2002, 1.39677, -121.989
3, 0.00000, 126.049, 89.954, 0.13639, 67.1215, 1.33358, 58.2021, 1.30128, -121.994
3, 900.00000, 126.029, 89.9491, 0.137839, 67.0567, 1.35951, 58.1976, 1.32681, -121.996
3, 1800.00000, 126.042, 89.9542, 0.139808, 66.9868, 1.37852, 58.2033, 1.34535, -121.989
3, 2700.00000, 126.032, 89.9477, 0.137358, 66.954, 1.36412, 58.1963, 1.33149, -121.994
4, 0.00000, 126.044, 89.945, 0.13333, 66.924, 1.32982, 58.1926, 1.29812, -121.996
4, 900.00000, 126.067, 89.9548, 0.132067, 67.0286, 1.2917, 58.2019, 1.26041, -121.993
4, 1800.00000, 126.041, 89.9464, 0.131171, 67.3141, 1.27775, 58.1928, 1.24672, -122.008
4, 2700.00000, 126.073, 89.953, 0.130374, 67.0602, 1.27687, 58.1996, 1.24598, -121.995
5, 0.00000, 125.917, 89.9561, 0.166507, 66.6912, 1.65926, 58.2129, 1.61965, -121.971
5, 900.00000, 125.666, 89.9504, 0.21265, 66.3643, 2.15496, 58.2203, 2.1042, -121.954
5, 1800.00000, 125.175, 89.9673, 0.319768, 66.1624, 3.24159, 58.2674, 3.16521, -121.902
5, 2700.00000, 124.55, 89.9799, 0.427996, 66.4561, 4.22355, 58.3085, 4.12184, -121.87
6, 0.00000, 125.094, 89.924, 0.251952, 68.57, 2.22911, 58.198, 2.17062, -122.051
6, 900.00000, 124.967, 89.9255, 0.261639, 68.9767, 2.23025, 58.2004, 2.16992, -122.067
6, 1800.00000, 125.459, 89.9285, 0.215015, 67.8075, 2.02588, 58.1956, 1.97535, -122.023
6, 2700.00000, 125.547, 89.9202, 0.206206, 67.2898, 2.02931, 58.1865, 1.98044, -122.012
7, 0.00000, 125.571, 89.918, 0.189873, 67.9003, 1.80346, 58.1786, 1.75879, -122.04
7, 900.00000, 125.394, 89.9372, 0.220813, 68.1083, 2.01174, 58.2048, 1.96017, -122.027
7, 1800.00000, 125.54, 89.9438, 0.186418, 68.8084, 1.60317, 58.2008, 1.5601, -122.061
7, 2700.00000, 125.726, 89.9345, 0.171267, 68.0218, 1.59565, 58.1897, 1.5555, -122.036
8, 0.00000, 125.618, 89.9127, 0.193275, 66.7344, 1.95371, 58.1768, 1.90763, -122.006
8, 900.00000, 125.6, 89.9181, 0.203029, 66.5929, 2.05765, 58.1851, 2.00921, -121.994
8, 1800.00000, 125.728, 89.9175, 0.175823, 66.9892, 1.75204, 58.1763, 1.71025, -122.014
8, 2700.00000, 125.676, 89.9335, 0.195908, 66.6989, 1.94857, 58.1981, 1.90199, -121.987
9, 0.00000, 125.492, 89.9174, 0.218922, 66.3936, 2.21657, 58.1891, 2.16433, -121.987
9, 900.00000, 125.631, 89.9232, 0.193207, 66.7346, 1.92122, 58.187, 1.87529, -121.999
9, 1800.00000, 125.506, 89.9226, 0.211893, 66.938, 2.07669, 58.1909, 2.02647, -122.001
9, 2700.00000, 125.284, 89.8833, 0.235831, 66.3719, 2.4291, 58.1601, 2.37265, -122.013
10, 0.00000, 125.535, 89.9091, 0.211406, 66.449, 2.16319, 58.1788, 2.11266, -121.996
10, 900.00000, 125.41, 89.8916, 0.208064, 66.6222, 2.09832, 58.1599, 2.04873, -122.022
10, 1800.00000, 125.533, 89.92, 0.201666, 66.983, 1.9676, 58.1855, 1.91984, -122.009
10, 2700.00000, 125.309, 89.9151, 0.23701, 66.7284, 2.33107, 58.1906, 2.27483, -121.997
11, 0.00000, 124.853, 89.914, 0.331461, 66.4154, 3.32729, 58.2165, 3.24831, -121.96
11, 900.00000, 124.787, 89.9087, 0.344782, 66.344, 3.49159, 58.2154, 3.40929, -121.959
11, 1800.00000, 125.073, 89.9183, 0.290791, 66.5524, 2.90976, 58.2092, 2.84053, -121.971
11, 2700.00000, 125.231, 89.9269, 0.253826, 67.4117, 2.41461, 58.2049, 2.35481, -122.003
12, 0.00000, 125.369, 89.9311, 0.237015, 67.0368, 2.30093, 58.2058, 2.24484, -121.99
12, 900.00000, 125.141, 89.9272, 0.274685, 67.0621, 2.66404, 58.2118, 2.59906, -121.985
12, 1800.00000, 125.413, 89.9399, 0.233557, 67.2767, 2.23383, 58.213, 2.17873, -121.991
12, 2700.00000, 125.57, 89.9424, 0.212129, 67.0691, 2.05759, 58.2104, 2.00741, -121.986
13, 0.00000, 125.526, 89.9379, 0.220886, 66.7432, 2.1763, 58.209, 2.12387, -121.978
13, 900.00000, 125.526, 89.9289, 0.203476, 67.3271, 1.93566, 58.1939, 1.88771, -122.012
13, 1800.00000, 125.294, 89.9212, 0.234539, 66.9672, 2.25614, 58.1951, 2.20072, -122.001
13, 2700.00000, 125.51, 89.9355, 0.209899, 67.1648, 1.99841, 58.2024, 1.94892, -122
14, 0.00000, 125.402, 89.9215, 0.220134, 67.075, 2.12077, 58.1915, 2.06875, -122.007
14, 900.00000, 125.484, 89.9281, 0.212196, 67.1652, 2.03713, 58.1958, 1.98703, -122.005
14, 1800.00000, 125.468, 89.9339, 0.215015, 67.3708, 2.02803, 58.2017, 1.97744, -122.007
14, 2700.00000, 125.482, 89.9359, 0.218022, 67.0865, 2.08778, 58.2052, 2.03632, -121.994
15, 0.00000, 125.483, 89.9303, 0.217062, 66.9294, 2.10723, 58.1998, 2.05586, -121.994
15, 900.00000, 125.379, 89.9154, 0.227623, 66.6978, 2.2511, 58.1885, 2.19704, -121.997
15, 1800.00000, 125.389, 89.9308, 0.236054, 66.8279, 2.30535, 58.2057, 2.24941, -121.985
15, 2700.00000, 125.428, 89.9319, 0.241815, 66.4814, 2.42408, 58.2095, 2.36647, -121.969
16, 0.00000, 125.404, 89.9324, 0.238137, 66.8369, 2.33215, 58.2079, 2.27569, -121.982
16, 900.00000, 125.272, 89.9319, 0.262841, 66.7815, 2.57832, 58.2142, 2.51598, -121.974
16, 1800.00000, 125.155, 89.9262, 0.28195, 66.6912, 2.78513, 58.214, 2.71817, -121.971
16, 2700.00000, 125.242, 89.9357, 0.252945, 67.0403, 2.40584, 58.2142, 2.3462, -121.985
17, 0.00000, 124.84, 89.9267, 0.328909, 66.5959, 3.22742, 58.2273, 3.14938, -121.957
17, 900.00000, 124.522, 89.9145, 0.41198, 65.888, 4.26386, 58.2421, 4.16505, -121.919
17, 1800.00000, 123.549, 89.8785, 0.57429, 65.6822, 6.03337, 58.2547, 5.89521, -121.9
17, 2700.00000, 122.78, 89.8771, 0.69699, 65.8646, 7.21206, 58.2878, 7.04487, -121.872
18, 0.00000, 122.258, 89.8796, 0.836194, 65.7589, 8.81232, 58.3335, 8.61104, -121.821
18, 900.00000, 122.451, 89.9116, 0.807103, 65.9805, 8.35831, 58.3541, 8.1647, -121.807
18, 1800.00000, 122.613, 89.8951, 0.733979, 66.1749, 7.47482, 58.3137, 7.29936, -121.854
18, 2700.00000, 122.538, 89.9142, 0.751791, 66.2646, 7.5804, 58.3371, 7.40101, -121.834
19, 0.00000, 122.613, 89.8947, 0.693258, 66.3917, 6.88905, 58.2992, 6.7241, -121.877
19, 900.00000, 122.833, 89.9129, 0.674164, 66.3999, 6.69956, 58.3124, 6.53915, -121.864
19, 1800.00000, 122.895, 89.9165, 0.667931, 66.3843, 6.64503, 58.3141, 6.48606, -121.862
19, 2700.00000, 122.976, 89.9056, 0.658343, 66.2103, 6.64635, 58.3023, 6.48922, -121.868
20, 0.00000, 123.196, 89.9195, 0.62772, 66.2347, 6.31641, 58.3069, 6.16668, -121.864
20, 900.00000, 123.062, 89.9084, 0.659497, 66.0466, 6.74262, 58.3066, 6.58481, -121.858
20, 1800.00000, 123.224, 89.9159, 0.628755, 66.0925, 6.39287, 58.3047, 6.24258, -121.862
20, 2700.00000, 123.56, 89.9212, 0.56982, 66.1137, 5.78, 58.2926, 5.64386, -121.875
21, 0.00000, 123.744, 89.9406, 0.557448, 66.0936, 5.66015, 58.3087, 5.52693, -121.858
21, 900.00000, 123.841, 89.9276, 0.517381, 66.2019, 5.20957, 58.2833, 5.08614, -121.888
21, 1800.00000, 123.793, 89.9137, 0.503582, 66.1724, 5.05822, 58.2655, 4.93813, -121.905
21, 2700.00000, 124.006, 89.9321, 0.484752, 66.2322, 4.85618, 58.2783, 4.74065, -121.894
22, 0.00000, 124.229, 89.9422, 0.455989, 66.2491, 4.56661, 58.2802, 4.45794, -121.893
22, 900.00000, 124.321, 89.9543, 0.438133, 66.4256, 4.31822, 58.2859, 4.21413, -121.893
22, 1800.00000, 124.53, 89.948, 0.399224, 66.4462, 3.94492, 58.269, 3.85003, -121.91
22, 2700.00000, 124.612, 89.9455, 0.390899, 66.2463, 3.91946, 58.2652, 3.82628, -121.908
23, 0.00000, 125.008, 89.954, 0.325642, 66.4556, 3.2347, 58.2546, 3.15724, -121.924
23, 900.00000, 125.095, 89.9639, 0.319041, 66.4336, 3.16756, 58.2626, 3.09167, -121.916
23, 1800.00000, 125.153, 89.961, 0.303303, 66.6393, 2.98202, 58.2546, 2.91003, -121.93
23, 2700.00000, 125.299, 89.9628, 0.279032, 66.5484, 2.75534, 58.2501, 2.68905, -121.932
24, 0.00000, 125.609, 89.9551, 0.220206, 66.6789, 2.18157, 58.2263, 2.12925, -121.958
