hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0.169246, 0.104643, -9.73373E-006, 0.000178554
0, 1800.00000, 0.161872, 0.100099, -7.07106E-006, 0.000158939
0, 2700.00000, 0.14829, 0.0917159, -6.33063E-006, 0.000134405
1, 0.00000, 0.140911, 0.0871655, -4.39844E-006, 0.000117626
1, 900.00000, 0.132668, 0.082078, -2.07496E-006, 0.000102611
1, 1800.00000, 0.135368, 0.0837378, -6.7073E-006, 0.000111487
1, 2700.00000, 0.12075, 0.0747219, 6.59562E-007, 8.06901E-005
2, 0.00000, 0.12418, 0.0768331, -3.43688E-006, 9.04533E-005
2, 900.00000, 0.118584, 0.0733781, -1.69622E-006, 8.1504E-005
2, 1800.00000, 0.111962, 0.0692925, 1.73663E-006, 6.86118E-005
2, 2700.00000, 0.110116, 0.068148, -2.37941E-007, 6.89784E-005
3, 0.00000, 0.115733, 0.0716161, -2.51661E-006, 7.78563E-005
3, 900.00000, 0.112282, 0.0694881, -9.98002E-008, 7.04657E-005
3, 1800.00000, 0.113062, 0.069966, -1.63552E-006, 7.3957E-005
3, 2700.00000, 0.108287, 0.0670226, 1.99084E-006, 6.29387E-005
4, 0.00000, 0.103676, 0.0641767, 4.12035E-006, 5.44327E-005
4, 900.00000, 0.113722, 0.0703797, 7.69237E-007, 7.03325E-005
4, 1800.00000, 0.114794, 0.0710393, -9.99429E-007, 7.37682E-005
4, 2700.00000, 0.111325, 0.0688986, 7.31506E-007, 6.75124E-005
5, 0.00000, 0.125175, 0.0774484, -1.88811E-006, 9.25234E-005
5, 900.00000, 0.143631, 0.0888551, 3.38592E-006, 0.000116823
5, 1800.00000, 0.208365, 0.128755, -1.03151E-005, 0.000277504
5, 2700.00000, 0.327493, 0.201953, -6.96824E-005, 0.000734976
6, 0.00000, 0.311772, 0.192251, -0.000117026, 0.000686191
6, 900.00000, 0.360218, 0.22192, -0.000174373, 0.000938264
6, 1800.00000, 0.210726, 0.130173, -4.09424E-005, 0.000301974
6, 2700.00000, 0.165073, 0.102066, -1.17205E-005, 0.000170732
7, 0.00000, 0.182254, 0.112652, -2.24814E-005, 0.000213154
7, 900.00000, 0.247407, 0.152734, -6.52715E-005, 0.000423731
7, 1800.00000, 0.253826, 0.156681, -7.34346E-005, 0.000443018
7, 2700.00000, 0.176053, 0.108813, -2.88514E-005, 0.000210108
8, 0.00000, 0.132994, 0.082293, 7.18334E-006, 9.56097E-005
8, 900.00000, 0.134486, 0.0832063, 4.46074E-006, 0.000104089
8, 1800.00000, 0.128244, 0.0793391, -2.15121E-006, 0.000101829
8, 2700.00000, 0.143558, 0.0887897, -4.90155E-006, 0.000131344
9, 0.00000, 0.148326, 0.0917672, 1.21898E-005, 0.000117227
9, 900.00000, 0.14593, 0.0902734, 3.37276E-006, 0.000121858
9, 1800.00000, 0.171796, 0.106219, -6.44024E-006, 0.000182291
9, 2700.00000, 0.146137, 0.0904475, 2.84922E-005, 9.17672E-005
10, 0.00000, 0.131023, 0.0810752, 9.47057E-006, 9.38818E-005
10, 900.00000, 0.152264, 0.0942317, 2.6635E-005, 9.97062E-005
10, 1800.00000, 0.170068, 0.105166, -8.36641E-007, 0.000169066
10, 2700.00000, 0.194128, 0.120029, 9.60588E-006, 0.000206115
11, 0.00000, 0.233543, 0.144298, 4.39855E-006, 0.000324653
11, 900.00000, 0.229445, 0.141782, 1.03088E-005, 0.000307965
11, 1800.00000, 0.21307, 0.131698, 7.19215E-006, 0.000257687
11, 2700.00000, 0.237896, 0.146911, -4.13595E-005, 0.000377373
