hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0.027554, 0.0170713, 2.39888E-006, 6.67642E-006
0, 1800.00000, 0.030751, 0.0190523, 2.15461E-006, 6.7859E-006
0, 2700.00000, 0.0269422, 0.0166929, 1.84219E-006, 5.54977E-006
1, 0.00000, 0.029708, 0.0184068, 1.52935E-006, 5.46378E-006
1, 900.00000, 0.0290645, 0.0180088, 1.65124E-006, 4.79874E-006
1, 1800.00000, 0.0259904, 0.0161032, 1.12466E-006, 4.93539E-006
1, 2700.00000, 0.0316178, 0.0195915, 1.35824E-006, 4.2163E-006
2, 0.00000, 0.0275354, 0.0170612, 1.03064E-006, 4.427E-006
2, 900.00000, 0.0263496, 0.016327, 1.27647E-006, 3.8375E-006
2, 1800.00000, 0.0293939, 0.0182141, 1.48525E-006, 3.45873E-006
2, 2700.00000, 0.0253366, 0.0156998, 1.31569E-006, 3.21387E-006
3, 0.00000, 0.0262893, 0.0162895, 9.37467E-007, 3.8472E-006
3, 900.00000, 0.0284773, 0.0176457, 1.11079E-006, 3.62879E-006
3, 1800.00000, 0.0254533, 0.0157717, 1.10469E-006, 3.5436E-006
3, 2700.00000, 0.0305795, 0.0189488, 1.22427E-006, 3.36677E-006
4, 0.00000, 0.0336796, 0.0208705, 1.22316E-006, 3.02263E-006
4, 900.00000, 0.0327784, 0.0203107, 8.07551E-007, 4.13334E-006
4, 1800.00000, 0.0299061, 0.0185306, 8.07394E-007, 4.00411E-006
4, 2700.00000, 0.0317248, 0.0196579, 8.31331E-007, 3.90829E-006
5, 0.00000, 0.0254523, 0.0157709, 1.64404E-006, 4.04186E-006
5, 900.00000, 0.0327649, 0.0203025, 3.17597E-006, 5.19601E-006
5, 1800.00000, 0.0262805, 0.0162821, 4.56409E-006, 7.89413E-006
5, 2700.00000, 0.0305293, 0.0189066, 5.73764E-006, 1.72943E-005
6, 0.00000, 0.0292588, 0.0181152, -2.14405E-007, 1.76813E-005
6, 900.00000, 0.0300192, 0.0185815, -1.30795E-006, 2.21944E-005
6, 1800.00000, 0.0213958, 0.0132527, 1.10572E-006, 7.90065E-006
6, 2700.00000, 0.0248245, 0.0153802, 2.03188E-006, 5.77371E-006
7, 0.00000, 0.0273377, 0.0169354, 1.15746E-006, 7.73557E-006
7, 900.00000, 0.0257471, 0.0159453, 4.41214E-007, 1.19241E-005
7, 1800.00000, 0.0330496, 0.0204655, -1.37946E-006, 1.61129E-005
7, 2700.00000, 0.0197909, 0.0122592, 5.97398E-007, 6.23054E-006
8, 0.00000, 0.0379932, 0.0235422, 2.99011E-006, 5.29583E-006
8, 900.00000, 0.0318187, 0.0197161, 3.0156E-006, 5.24204E-006
8, 1800.00000, 0.02407, 0.0149138, 1.80612E-006, 4.60161E-006
8, 2700.00000, 0.024272, 0.0150382, 2.00403E-006, 5.58763E-006
9, 0.00000, 0.0470743, 0.0291685, 3.88419E-006, 7.55E-006
9, 900.00000, 0.0392055, 0.0242916, 2.40937E-006, 7.46139E-006
9, 1800.00000, 0.0357599, 0.022154, 2.27915E-006, 9.39656E-006
9, 2700.00000, 0.0655756, 0.0406378, 5.87959E-006, 4.89804E-006
10, 0.00000, 0.036297, 0.0224924, 3.76117E-006, 5.15265E-006
10, 900.00000, 0.0723421, 0.0448284, 2.90361E-006, 6.72189E-006
10, 1800.00000, 0.0448592, 0.0277923, 1.90384E-006, 1.06682E-005
10, 2700.00000, 0.0619827, 0.0384004, 2.73173E-006, 1.45417E-005
11, 0.00000, 0.0531759, 0.0329432, 7.14974E-006, 1.66521E-005
11, 900.00000, 0.0528906, 0.0327685, 8.30399E-006, 1.51404E-005
11, 1800.00000, 0.0550084, 0.0340811, 5.7057E-006, 1.38884E-005
11, 2700.00000, 0.0321396, 0.0199067, 1.90792E-006, 1.32166E-005
12, 0.00000, 0.0422046, 0.0261448, 2.44947E-006, 1.26538E-005
12, 900.00000, 0.041072, 0.0254411, 3.14886E-006, 1.50176E-005
12, 1800.00000, 0.0279357, 0.0173039, 1.70725E-006, 1.02612E-005
12, 2700.00000, 0.0279302, 0.0173024, 1.79604E-006, 8.20344E-006
13, 0.00000, 0.0327613, 0.0202964, 2.48691E-006, 8.7194E-006
13, 900.00000, 0.0365163, 0.0226199, 1.19721E-006, 1.17187E-005
