hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 126.661, -150.096, 126.269, 89.9096, 0.126927, -140.016, 0.29997, 178.106, 0.30041, 58.0773, 0.30006, -61.9812
0, 1800.00000, 126.641, -150.097, 126.286, 89.9089, 0.116234, -140.384, 0.334788, 178.105, 0.335231, 58.08, 0.334881, -61.9729
0, 2700.00000, 126.698, -150.085, 126.365, 89.9203, 0.108368, -140.222, 0.293171, 178.118, 0.293535, 58.0941, 0.293246, -61.9554
1, 0.00000, 126.65, -150.092, 126.355, 89.9151, 0.0972287, -140.764, 0.323359, 178.113, 0.323709, 58.0926, 0.323435, -61.951
1, 900.00000, 126.667, -150.086, 126.374, 89.9169, 0.0944962, -139.16, 0.316307, 178.117, 0.316652, 58.0961, 0.316378, -61.9474
1, 1800.00000, 126.679, -150.087, 126.409, 89.9234, 0.091519, -142.617, 0.282815, 178.119, 0.283092, 58.1021, 0.28288, -61.9377
1, 2700.00000, 126.646, -150.087, 126.392, 89.9156, 0.0821713, -138.587, 0.344111, 178.118, 0.344436, 58.0994, 0.344179, -61.9383
2, 0.00000, 126.68, -150.083, 126.433, 89.9242, 0.0827287, -141.62, 0.299604, 178.123, 0.299872, 58.1064, 0.299664, -61.9298
2, 900.00000, 126.679, -150.081, 126.423, 89.9221, 0.0832355, -139.344, 0.286706, 178.123, 0.286979, 58.1052, 0.286764, -61.933
2, 1800.00000, 126.673, -150.079, 126.419, 89.9192, 0.080076, -136.74, 0.319836, 178.124, 0.320143, 58.1045, 0.319896, -61.9335
2, 2700.00000, 126.678, -150.079, 126.428, 89.9213, 0.0794182, -137.744, 0.275678, 178.125, 0.275938, 58.1064, 0.275732, -61.9312
3, 0.00000, 126.686, -150.081, 126.455, 89.9261, 0.077135, -141.211, 0.286019, 178.126, 0.286259, 58.1105, 0.286073, -61.9236
3, 900.00000, 126.667, -150.082, 126.433, 89.9213, 0.0759761, -139.122, 0.309867, 178.123, 0.310135, 58.107, 0.309925, -61.9276
3, 1800.00000, 126.693, -150.078, 126.453, 89.9258, 0.0783631, -139.718, 0.276912, 178.127, 0.277158, 58.1104, 0.276965, -61.9253
3, 2700.00000, 126.666, -150.08, 126.434, 89.9199, 0.0740459, -137.369, 0.332737, 178.124, 0.333026, 58.107, 0.332795, -61.9275
4, 0.00000, 126.657, -150.08, 126.435, 89.918, 0.0699877, -135.772, 0.366481, 178.124, 0.366788, 58.107, 0.366539, -61.926
4, 900.00000, 126.691, -150.078, 126.474, 89.9268, 0.0722684, -140.435, 0.356587, 178.128, 0.356866, 58.1131, 0.356646, -61.9182
4, 1800.00000, 126.644, -150.087, 126.428, 89.9198, 0.0729641, -141.228, 0.325461, 178.12, 0.325715, 58.1058, 0.32552, -61.926
4, 2700.00000, 126.684, -150.079, 126.47, 89.9258, 0.0713306, -140.189, 0.34514, 178.127, 0.345409, 58.1126, 0.345197, -61.9187
5, 0.00000, 126.701, -150.079, 126.407, 89.9222, 0.0933954, -138.283, 0.276926, 178.124, 0.277231, 58.1025, 0.276987, -61.9411
5, 900.00000, 126.673, -150.084, 126.291, 89.9068, 0.115924, -134.698, 0.356639, 178.114, 0.357163, 58.082, 0.356729, -61.9749
5, 1800.00000, 126.727, -150.089, 126.131, 89.9007, 0.182108, -136.314, 0.286097, 178.103, 0.28676, 58.0528, 0.28621, -62.037
5, 2700.00000, 126.673, -150.131, 125.892, 89.8873, 0.25731, -142.059, 0.332702, 178.065, 0.333671, 58.007, 0.332897, -62.1087
6, 0.00000, 126.291, -150.21, 125.888, 89.8712, 0.180734, -157.036, 0.319568, 178.012, 0.319956, 58.0072, 0.319741, -62.0507
6, 900.00000, 126.226, -150.239, 125.822, 89.8691, 0.202073, -161.105, 0.328085, 177.991, 0.328446, 57.9941, 0.328283, -62.0623
6, 1800.00000, 126.452, -150.15, 126.082, 89.8864, 0.137516, -148.695, 0.233326, 178.06, 0.233624, 58.0448, 0.23342, -62.0107
6, 2700.00000, 126.477, -150.128, 126.11, 89.8815, 0.119725, -140.708, 0.270629, 178.074, 0.271, 58.0511, 0.27072, -62.0052
7, 0.00000, 126.427, -150.145, 126.106, 89.8818, 0.11614, -146.677, 0.298128, 178.064, 0.298463, 58.0494, 0.29823, -61.9991
7, 900.00000, 126.441, -150.164, 126.078, 89.8914, 0.150154, -153.644, 0.280827, 178.052, 0.281152, 58.0422, 0.280948, -62.0103
7, 1800.00000, 126.442, -150.168, 126.164, 89.9025, 0.138052, -160.237, 0.360397, 178.054, 0.360674, 58.055, 0.360539, -61.9835
7, 2700.00000, 126.507, -150.133, 126.218, 89.9014, 0.111445, -150.55, 0.215679, 178.079, 0.215889, 58.0689, 0.215751, -61.9744
8, 0.00000, 126.476, -150.117, 126.137, 89.8769, 0.103298, -135.083, 0.414138, 178.082, 0.414683, 58.0557, 0.414243, -61.9962
8, 900.00000, 126.506, -150.113, 126.14, 89.8808, 0.11094, -135.657, 0.346777, 178.086, 0.347272, 58.0565, 0.346871, -61.9997
8, 1800.00000, 126.493, -150.118, 126.177, 89.8868, 0.10021, -139.824, 0.262326, 178.085, 0.262644, 58.0636, 0.262398, -61.9856
8, 2700.00000, 126.564, -150.11, 126.211, 89.8968, 0.113384, -140.767, 0.264415, 178.094, 0.264768, 58.0687, 0.264492, -61.9851
9, 0.00000, 126.491, -150.117, 126.109, 89.8748, 0.116122, -135.279, 0.513122, 178.082, 0.513881, 58.0494, 0.513252, -62.008
9, 900.00000, 126.507, -150.117, 126.174, 89.8859, 0.10657, -139.432, 0.427246, 178.086, 0.427787, 58.0607, 0.427356, -61.9896
9, 1800.00000, 126.474, -150.131, 126.107, 89.8816, 0.122576, -142.799, 0.389863, 178.073, 0.390388, 58.0492, 0.389984, -62.0056
9, 2700.00000, 126.331, -150.138, 125.927, 89.8385, 0.11669, -128.984, 0.715679, 178.055, 0.716834, 58.0175, 0.715848, -62.0438
10, 0.00000, 126.47, -150.117, 126.087, 89.8709, 0.112852, -133.403, 0.395694, 178.08, 0.396299, 58.0469, 0.395801, -62.0125
10, 900.00000, 126.347, -150.139, 126.012, 89.8499, 0.101849, -132.983, 0.78931, 178.06, 0.790328, 58.0303, 0.789469, -62.019
10, 1800.00000, 126.458, -150.133, 126.121, 89.8799, 0.114028, -142.996, 0.489078, 178.072, 0.489679, 58.05, 0.489213, -61.9998
10, 2700.00000, 126.419, -150.141, 126.029, 89.8657, 0.128779, -140.766, 0.676071, 178.061, 0.677035, 58.0325, 0.676261, -62.0239
11, 0.00000, 126.411, -150.149, 125.822, 89.847, 0.183997, -137.833, 0.580327, 178.045, 0.581644, 57.9968, 0.580567, -62.0918
11, 900.00000, 126.4, -150.148, 125.779, 89.8399, 0.189014, -135.815, 0.577296, 178.043, 0.578695, 57.9902, 0.577539, -62.1038
11, 1800.00000, 126.444, -150.138, 125.938, 89.8585, 0.158953, -137.398, 0.60001, 178.058, 0.60118, 58.0165, 0.600223, -62.0598
11, 2700.00000, 126.422, -150.16, 125.987, 89.8756, 0.158306, -147.706, 0.350626, 178.049, 0.351164, 58.0263, 0.350777, -62.0386
12, 0.00000, 126.488, -150.136, 126.085, 89.8821, 0.13803, -143.653, 0.460117, 178.069, 0.460788, 58.0431, 0.460274, -62.0165
12, 900.00000, 126.441, -150.152, 125.967, 89.8706, 0.162733, -144.068, 0.448049, 178.052, 0.448811, 58.0229, 0.448232, -62.0468
12, 1800.00000, 126.516, -150.137, 126.112, 89.8923, 0.144817, -146.895, 0.304504, 178.071, 0.304941, 58.0485, 0.304621, -62.0118
12, 2700.00000, 126.566, -150.119, 126.196, 89.8996, 0.127252, -144.441, 0.304285, 178.087, 0.304693, 58.0641, 0.304385, -61.9912
13, 0.00000, 126.558, -150.116, 126.17, 89.8938, 0.127944, -141.865, 0.356949, 178.087, 0.357463, 58.0599, 0.35706, -61.998
13, 900.00000, 126.47, -150.14, 126.131, 89.888, 0.124202, -147.976, 0.398111, 178.07, 0.398583, 58.0519, 0.39824, -61.998
13, 1800.00000, 126.414, -150.149, 126.044, 89.8699, 0.131093, -144.802, 0.739487, 178.057, 0.740441, 58.0334, 0.739698, -62.0187
13, 2700.00000, 126.499, -150.136, 126.152, 89.892, 0.127333, -147.931, 0.439831, 178.073, 0.440365, 58.0543, 0.439971, -61.9963
14, 0.00000, 126.433, -150.144, 126.074, 89.8757, 0.126408, -145.086, 0.571969, 178.063, 0.572694, 58.0406, 0.572141, -62.0113
14, 900.00000, 126.471, -150.138, 126.116, 89.8851, 0.126573, -146.318, 0.431805, 178.069, 0.43235, 58.0489, 0.431944, -62.0034
14, 1800.00000, 126.475, -150.145, 126.115, 89.8903, 0.135677, -149.695, 0.362567, 178.066, 0.363014, 58.0488, 0.362697, -62.0039
14, 2700.00000, 126.505, -150.135, 126.135, 89.8916, 0.133196, -147.341, 0.381358, 178.073, 0.381856, 58.0524, 0.381488, -62.002
15, 0.00000, 126.495, -150.131, 126.128, 89.8863, 0.126809, -144.504, 0.443371, 178.075, 0.44396, 58.0512, 0.443508, -62.003
15, 900.00000, 126.436, -150.135, 126.056, 89.8689, 0.123237, -139.768, 0.619713, 178.067, 0.620587, 58.0381, 0.619882, -62.0176
15, 1800.00000, 126.496, -150.133, 126.09, 89.8829, 0.137361, -143.439, 0.442083, 178.072, 0.442738, 58.0444, 0.44223, -62.0155
15, 2700.00000, 126.545, -150.116, 126.107, 89.8851, 0.137727, -138.996, 0.329689, 178.083, 0.330244, 58.0496, 0.329799, -62.017
16, 0.00000, 126.51, -150.131, 126.089, 89.8857, 0.141683, -143.541, 0.323057, 178.073, 0.32356, 58.0457, 0.323173, -62.0177
16, 900.00000, 126.497, -150.138, 126.025, 89.8805, 0.157717, -143.54, 0.300324, 178.066, 0.300847, 58.0348, 0.300445, -62.036
16, 1800.00000, 126.469, -150.142, 125.962, 89.8709, 0.165863, -141.989, 0.350679, 178.059, 0.351344, 58.0235, 0.350825, -62.0529
16, 2700.00000, 126.461, -150.151, 126.047, 89.881, 0.152356, -147.922, 0.573398, 178.058, 0.574225, 58.0339, 0.573605, -62.0258
17, 0.00000, 126.423, -150.158, 125.86, 89.8566, 0.18797, -142.324, 0.669511, 178.042, 0.670882, 58.0015, 0.669788, -62.0799
17, 900.00000, 126.47, -150.129, 125.71, 89.8314, 0.21969, -131.199, 0.658492, 178.051, 0.660497, 57.9782, 0.658773, -62.1367
17, 1800.00000, 126.302, -150.15, 125.265, 89.7575, 0.288493, -125.313, 1.3477, 178.007, 1.35349, 57.8936, 1.34829, -62.263
17, 2700.00000, 126.2, -150.187, 124.979, 89.7226, 0.350529, -128.354, 1.84492, 177.965, 1.85403, 57.8355, 1.84587, -62.3448
18, 0.00000, 126.313, -150.158, 124.76, 89.7031, 0.429853, -125.345, 1.5127, 177.972, 1.5225, 57.8018, 1.51371, -62.4346
18, 900.00000, 126.386, -150.172, 124.881, 89.7414, 0.433833, -130.792, 1.09167, 177.974, 1.09837, 57.8234, 1.09255, -62.4059
18, 1800.00000, 126.215, -150.212, 124.904, 89.7353, 0.392074, -133.509, 1.40777, 177.948, 1.41512, 57.8234, 1.40879, -62.3732
18, 2700.00000, 126.257, -150.221, 124.919, 89.7487, 0.411581, -136.159, 1.33341, 177.946, 1.34035, 57.8254, 1.33447, -62.3726
19, 0.00000, 126.091, -150.251, 124.937, 89.7333, 0.367595, -137.499, 1.93653, 177.924, 1.94502, 57.8211, 1.93776, -62.3448
19, 900.00000, 126.203, -150.233, 125.053, 89.759, 0.367485, -138.371, 1.55853, 177.944, 1.56532, 57.845, 1.55959, -62.3217
19, 1800.00000, 126.231, -150.226, 125.086, 89.7646, 0.365045, -138.272, 1.49028, 177.951, 1.49675, 57.852, 1.4913, -62.3141
19, 2700.00000, 126.245, -150.205, 125.108, 89.757, 0.347724, -134.622, 1.57043, 177.964, 1.57737, 57.8573, 1.57138, -62.3087
20, 0.00000, 126.318, -150.194, 125.229, 89.778, 0.336572, -135.728, 1.39453, 177.979, 1.40041, 57.8794, 1.39538, -62.28
20, 900.00000, 126.321, -150.179, 125.16, 89.7616, 0.343981, -131.865, 1.49062, 177.983, 1.49745, 57.8692, 1.49147, -62.3012
20, 1800.00000, 126.344, -150.178, 125.247, 89.7745, 0.329625, -133.079, 1.46072, 177.99, 1.46702, 57.8833, 1.46153, -62.2778
20, 2700.00000, 126.383, -150.168, 125.39, 89.7934, 0.300312, -133.701, 1.30938, 178.005, 1.31446, 57.9108, 1.31006, -62.2344
21, 0.00000, 126.499, -150.149, 125.502, 89.818, 0.302177, -134.557, 0.983804, 178.025, 0.987652, 57.9329, 0.984356, -62.2149
21, 900.00000, 126.408, -150.165, 125.514, 89.811, 0.275679, -135.363, 1.19936, 178.015, 1.20351, 57.9333, 1.19996, -62.1972
21, 1800.00000, 126.32, -150.175, 125.496, 89.7948, 0.25515, -134.066, 1.65087, 178.005, 1.65606, 57.926, 1.65149, -62.1906
21, 2700.00000, 126.425, -150.161, 125.602, 89.821, 0.257387, -136.149, 1.23324, 178.022, 1.23711, 57.9478, 1.2338, -62.1707
22, 0.00000, 126.494, -150.148, 125.705, 89.8396, 0.247645, -136.926, 0.982232, 178.038, 0.985194, 57.9686, 0.982687, -62.1464
22, 900.00000, 126.517, -150.154, 125.768, 89.8542, 0.246406, -140.543, 0.902883, 178.039, 0.905391, 57.9793, 0.903321, -62.1286
22, 1800.00000, 126.513, -150.147, 125.829, 89.8581, 0.223212, -139.91, 0.824344, 178.047, 0.82645, 57.9918, 0.824714, -62.1075
22, 2700.00000, 126.545, -150.13, 125.868, 89.8582, 0.212041, -136.654, 0.835984, 178.059, 0.838145, 57.9998, 0.83632, -62.099
23, 0.00000, 126.602, -150.12, 126.028, 89.8834, 0.184854, -139.414, 0.521124, 178.076, 0.52226, 58.0307, 0.521333, -62.0546
23, 900.00000, 126.659, -150.11, 126.087, 89.8953, 0.184632, -140.067, 0.406639, 178.087, 0.407514, 58.0426, 0.406805, -62.0421
23, 1800.00000, 126.632, -150.118, 126.089, 89.8964, 0.179973, -142.076, 0.34061, 178.082, 0.341295, 58.0436, 0.340754, -62.0368
23, 2700.00000, 126.662, -150.106, 126.167, 89.9028, 0.162308, -140.946, 0.377767, 178.094, 0.378466, 58.0571, 0.377906, -62.0163
24, 0.00000, 126.661, -150.096, 126.269, 89.9096, 0.126951, -140.015, 0.29997, 178.106, 0.300415, 58.0767, 0.300061, -61.9823
