hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 0.116209, 0.0723081, 0.116597, 0.0721305, -0.000102827, -0.000222338
0, 1800.00000, 0.106905, 0.0664997, 0.107236, 0.0663492, -8.68365E-005, -0.000188987
0, 2700.00000, 0.0997194, 0.0620142, 0.100006, 0.0618828, -7.55756E-005, -0.000163662
1, 0.00000, 0.0897767, 0.0558119, 0.0900107, 0.0557064, -6.09083E-005, -0.000133663
1, 900.00000, 0.0892371, 0.0554739, 0.089465, 0.0553696, -6.0055E-005, -0.000130781
1, 1800.00000, 0.0820136, 0.050973, 0.0822107, 0.0508854, -5.09034E-005, -0.00011245
1, 2700.00000, 0.0793405, 0.0493049, 0.0795204, 0.0492224, -4.71865E-005, -0.000103515
2, 0.00000, 0.0759828, 0.0472143, 0.0761509, 0.0471393, -4.35251E-005, -9.61471E-005
2, 900.00000, 0.0785978, 0.0488418, 0.0787742, 0.0487613, -4.63663E-005, -0.000101549
2, 1800.00000, 0.0788618, 0.0490051, 0.0790375, 0.0489243, -4.65171E-005, -0.000101092
2, 2700.00000, 0.0765721, 0.0475789, 0.0767389, 0.0475034, -4.37823E-005, -9.56228E-005
3, 0.00000, 0.0713892, 0.0443525, 0.0715373, 0.0442866, -3.82926E-005, -8.46918E-005
3, 900.00000, 0.0727668, 0.0452093, 0.0729182, 0.0451406, -3.9609E-005, -8.72116E-005
3, 1800.00000, 0.0737876, 0.0458453, 0.0739437, 0.0457748, -4.08428E-005, -8.96445E-005
3, 2700.00000, 0.0730149, 0.0453632, 0.0731662, 0.045294, -3.98133E-005, -8.71354E-005
4, 0.00000, 0.07119, 0.0442264, 0.0713335, 0.0441608, -3.77535E-005, -8.24431E-005
4, 900.00000, 0.069162, 0.0429654, 0.0693007, 0.0429035, -3.60624E-005, -7.93871E-005
4, 1800.00000, 0.0684035, 0.042493, 0.0685395, 0.0424327, -3.50016E-005, -7.81598E-005
4, 2700.00000, 0.0683738, 0.0424747, 0.0685086, 0.0424136, -3.51544E-005, -7.74913E-005
5, 0.00000, 0.0886961, 0.0551333, 0.0889167, 0.0550314, -5.92871E-005, -0.000128135
5, 900.00000, 0.114885, 0.0714716, 0.115248, 0.0712993, -9.97721E-005, -0.000211685
5, 1800.00000, 0.171831, 0.107113, 0.172665, 0.106722, -0.000226891, -0.000476356
5, 2700.00000, 0.222378, 0.138899, 0.223836, 0.138229, -0.000387976, -0.000830103
6, 0.00000, 0.118205, 0.0735929, 0.118666, 0.0734034, -0.000108591, -0.000263556
6, 900.00000, 0.118127, 0.0735541, 0.11861, 0.0733678, -0.000109927, -0.000274621
6, 1800.00000, 0.107808, 0.0670744, 0.108162, 0.0669208, -8.82289E-005, -0.000203428
6, 2700.00000, 0.108082, 0.067236, 0.10842, 0.0670808, -8.73019E-005, -0.000194692
7, 0.00000, 0.0960917, 0.0597573, 0.0963733, 0.059639, -6.9283E-005, -0.000160104
7, 900.00000, 0.106992, 0.0665707, 0.107356, 0.0664227, -8.83035E-005, -0.000207915
7, 1800.00000, 0.0853998, 0.0531058, 0.0856484, 0.0530068, -5.71804E-005, -0.000140664
7, 2700.00000, 0.0851516, 0.0529382, 0.0853729, 0.0528383, -5.48603E-005, -0.000127962
8, 0.00000, 0.104146, 0.0647704, 0.104445, 0.0646257, -8.09535E-005, -0.000175046
8, 900.00000, 0.109645, 0.0682025, 0.109982, 0.0680473, -9.00585E-005, -0.0001934
8, 1800.00000, 0.0934878, 0.0581246, 0.0937403, 0.0580125, -6.52115E-005, -0.000143159
8, 2700.00000, 0.103908, 0.0646252, 0.104215, 0.0644844, -8.16839E-005, -0.000176941
9, 0.00000, 0.117991, 0.0734143, 0.118377, 0.0732307, -0.000105394, -0.000224208
9, 900.00000, 0.102408, 0.063691, 0.102711, 0.0635548, -7.9347E-005, -0.000172082
9, 1800.00000, 0.110564, 0.0687834, 0.11092, 0.0686248, -9.29988E-005, -0.000204236
