hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 0.017612, 0.0108969, 0.0176213, 0.0109237, 0.0175934, 0.0109184, 6.86535E-009, 4.39561E-008
0, 1800.00000, 0.0181939, 0.0112587, 0.0182024, 0.0112838, 0.0181764, 0.0112787, 5.42225E-009, 3.80772E-008
0, 2700.00000, 0.0195476, 0.0120976, 0.0195562, 0.0121228, 0.01953, 0.0121178, 5.45028E-009, 3.54285E-008
1, 0.00000, 0.0176761, 0.010941, 0.0176828, 0.0109613, 0.0176619, 0.010957, 3.13839E-009, 2.58673E-008
1, 900.00000, 0.0169048, 0.0104639, 0.0169102, 0.0104829, 0.0168911, 0.0104781, 2.70554E-009, 2.3076E-008
1, 1800.00000, 0.0174383, 0.0107947, 0.0174455, 0.0108134, 0.0174257, 0.0108104, 3.01047E-009, 2.29503E-008
1, 2700.00000, 0.0172282, 0.0106658, 0.0172321, 0.0106824, 0.0172156, 0.0106776, 1.41811E-009, 1.76449E-008
2, 0.00000, 0.0169902, 0.0105185, 0.0169959, 0.010535, 0.0169788, 0.0105317, 2.04301E-009, 1.80018E-008
2, 900.00000, 0.0172278, 0.0106654, 0.0172325, 0.0106824, 0.0172155, 0.010678, 1.82928E-009, 1.82981E-008
2, 1800.00000, 0.0173147, 0.0107196, 0.0173179, 0.010736, 0.017302, 0.0107306, 1.34876E-009, 1.66778E-008
2, 2700.00000, 0.0173575, 0.0107462, 0.0173612, 0.0107625, 0.0173452, 0.0107576, 1.36719E-009, 1.66905E-008
3, 0.00000, 0.0176541, 0.0109303, 0.0176593, 0.0109462, 0.0176429, 0.0109428, 1.65056E-009, 1.62334E-008
3, 900.00000, 0.0178487, 0.0110508, 0.0178526, 0.0110668, 0.0178368, 0.0110623, 1.20522E-009, 1.56839E-008
3, 1800.00000, 0.0184305, 0.0114107, 0.0184353, 0.0114278, 0.0184181, 0.0114235, 1.72173E-009, 1.73528E-008
3, 2700.00000, 0.0169695, 0.0105067, 0.0169724, 0.0105216, 0.016958, 0.0105166, 9.17958E-010, 1.39554E-008
4, 0.00000, 0.0168189, 0.010414, 0.0168207, 0.0104279, 0.0168077, 0.0104226, 5.42884E-010, 1.21793E-008
4, 900.00000, 0.0172921, 0.0107068, 0.0172963, 0.0107215, 0.0172815, 0.0107179, 1.37061E-009, 1.35005E-008
4, 1800.00000, 0.0180852, 0.0111978, 0.0180897, 0.0112132, 0.0180742, 0.0112094, 1.00608E-009, 1.47875E-008
