hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 900.00000, 126.002, -30.2065, 126.563, -150.086, 126.112, 89.9211, 0.0997485, -140.959, 0.164366, -61.9524, 0.163811, 178.119, 0.164187, 58.0977, 0.000446012, 137.918
0, 1800.00000, 126.025, -30.1971, 126.541, -150.087, 126.132, 89.9202, 0.0906958, -140.656, 0.169774, -61.9469, 0.169243, 178.118, 0.169595, 58.1, 0.000424069, 137.448
0, 2700.00000, 126.135, -30.1786, 126.613, -150.076, 126.23, 89.9303, 0.0850066, -140.917, 0.182251, -61.9312, 0.181725, 178.129, 0.18208, 58.1119, 0.000421676, 137.828
1, 0.00000, 126.116, -30.1731, 126.551, -150.082, 126.212, 89.9255, 0.0750844, -140.184, 0.164835, -61.9294, 0.164396, 178.124, 0.16468, 58.111, 0.000347036, 136.733
1, 900.00000, 126.157, -30.1661, 126.573, -150.077, 126.235, 89.927, 0.0725798, -137.892, 0.157591, -61.9231, 0.157189, 178.128, 0.15746, 58.1142, 0.000320118, 138.795
1, 1800.00000, 126.169, -30.1627, 126.587, -150.078, 126.276, 89.9332, 0.0714191, -143.102, 0.162552, -61.9212, 0.162141, 178.13, 0.162396, 58.1189, 0.000324099, 134.371
1, 2700.00000, 126.187, -30.1542, 126.548, -150.077, 126.254, 89.9256, 0.0619949, -135.344, 0.160575, -61.9155, 0.160213, 178.128, 0.160455, 58.1173, 0.000285537, 139.251
2, 0.00000, 126.216, -30.1514, 126.59, -150.075, 126.305, 89.9335, 0.0637113, -140.864, 0.158321, -61.9127, 0.15796, 178.133, 0.158187, 58.1227, 0.000284366, 135.611
2, 900.00000, 126.217, -30.1507, 126.586, -150.072, 126.29, 89.9317, 0.0634615, -137.515, 0.160533, -61.9115, 0.160167, 178.133, 0.160409, 58.1222, 0.00028977, 138.194
2, 1800.00000, 126.237, -30.1463, 126.58, -150.07, 126.287, 89.9287, 0.0603152, -132.917, 0.161319, -61.9081, 0.160971, 178.134, 0.161215, 58.1218, 0.000277413, 141.706
2, 2700.00000, 126.233, -30.1453, 126.581, -150.07, 126.293, 89.9311, 0.0599094, -134.648, 0.161723, -61.9073, 0.161371, 178.135, 0.161611, 58.1237, 0.000279529, 140.035
3, 0.00000, 126.247, -30.1434, 126.596, -150.072, 126.329, 89.9353, 0.0589706, -139.838, 0.164471, -61.9066, 0.164118, 178.135, 0.16434, 58.1265, 0.000276699, 135.968
3, 900.00000, 126.235, -30.1438, 126.571, -150.072, 126.302, 89.9308, 0.0572541, -135.994, 0.166299, -61.9072, 0.16595, 178.133, 0.166179, 58.1238, 0.000274742, 138.4
3, 1800.00000, 126.254, -30.1429, 126.603, -150.069, 126.326, 89.9351, 0.059715, -137.887, 0.171692, -61.9055, 0.171323, 178.137, 0.171565, 58.1266, 0.00029202, 137.779
3, 2700.00000, 126.252, -30.1408, 126.572, -150.071, 126.304, 89.9292, 0.0554355, -132.915, 0.158087, -61.9046, 0.157768, 178.133, 0.157987, 58.1238, 0.000252285, 140.848
4, 0.00000, 126.268, -30.1365, 126.564, -150.07, 126.306, 89.9271, 0.0519598, -129.422, 0.156666, -61.9017, 0.15637, 178.133, 0.156579, 58.1238, 0.000234631, 143.131
4, 900.00000, 126.293, -30.1368, 126.612, -150.07, 126.36, 89.9349, 0.0549733, -137.926, 0.161041, -61.9014, 0.160726, 178.136, 0.160931, 58.128, 0.000246846, 137.871
4, 1800.00000, 126.212, -30.1447, 126.544, -150.077, 126.293, 89.9295, 0.054821, -138.227, 0.168536, -61.9092, 0.168188, 178.129, 0.168402, 58.1227, 0.000270365, 135.665
4, 2700.00000, 126.285, -30.1364, 126.6, -150.07, 126.351, 89.9342, 0.0539787, -137.269, 0.173863, -61.9014, 0.173523, 178.136, 0.173743, 58.1279, 0.000265706, 137.793
