hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 126.5, -150.066, 0.111233, 99.5525, 1.46695, 178.192, 1.46695, -1.80763
0, 1800.00000, 126.487, -150.07, 0.102495, 100.843, 1.40327, 178.186, 1.40327, -1.81437
0, 2700.00000, 126.552, -150.059, 0.0953047, 100.207, 1.28493, 178.193, 1.28493, -1.8068
1, 0.00000, 126.52, -150.069, 0.0862512, 102.174, 1.22142, 178.18, 1.22142, -1.81978
1, 900.00000, 126.544, -150.064, 0.0851671, 100.57, 1.1498, 178.184, 1.1498, -1.81605
1, 1800.00000, 126.555, -150.065, 0.0793249, 103.672, 1.17308, 178.181, 1.17308, -1.81896
1, 2700.00000, 126.537, -150.067, 0.0757304, 101.594, 1.04667, 178.177, 1.04667, -1.82305
2, 0.00000, 126.566, -150.064, 0.0732335, 103.541, 1.07612, 178.18, 1.07612, -1.82017
2, 900.00000, 126.576, -150.062, 0.0751247, 101.193, 1.02757, 178.181, 1.02757, -1.81857
2, 1800.00000, 126.573, -150.061, 0.0747581, 99.5636, 0.970252, 178.182, 0.970252, -1.81766
2, 2700.00000, 126.588, -150.062, 0.0728939, 99.97, 0.954138, 178.181, 0.954138, -1.81917
3, 0.00000, 126.583, -150.062, 0.0687412, 103.41, 1.00284, 178.179, 1.00284, -1.82083
3, 900.00000, 126.569, -150.064, 0.0695956, 102.071, 0.973082, 178.177, 0.973082, -1.82267
3, 1800.00000, 126.594, -150.06, 0.0705972, 101.677, 0.979612, 178.182, 0.979612, -1.81816
3, 2700.00000, 126.569, -150.063, 0.0693933, 100.951, 0.938478, 178.179, 0.938478, -1.82141
4, 0.00000, 126.561, -150.063, 0.0673461, 100.558, 0.898601, 178.178, 0.898601, -1.82241
4, 900.00000, 126.574, -150.059, 0.0662467, 103.818, 0.98553, 178.181, 0.98553, -1.81861
4, 1800.00000, 126.547, -150.07, 0.0661493, 104.809, 0.99504, 178.171, 0.99504, -1.82926
4, 2700.00000, 126.574, -150.061, 0.0654983, 103.595, 0.964764, 178.179, 0.964764, -1.82053
5, 0.00000, 126.586, -150.057, 0.0843127, 99.0008, 1.08458, 178.19, 1.08458, -1.81028
5, 900.00000, 126.528, -150.057, 0.108365, 95.6448, 1.24491, 178.199, 1.24491, -1.80117
5, 1800.00000, 126.505, -150.047, 0.163402, 94.2515, 1.80521, 178.231, 1.80521, -1.76901
5, 2700.00000, 126.312, -150.068, 0.215403, 98.8671, 2.83973, 178.235, 2.83973, -1.76535
6, 0.00000, 126.055, -150.169, 0.13183, 120.059, 2.71029, 178.102, 2.71029, -1.89768
6, 900.00000, 125.946, -150.193, 0.140892, 125.472, 3.13363, 178.083, 3.13363, -1.91692
