hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 900.00000, 6870.29, -0.00172716, 6870.35, -120.002, 6870.3, 119.998, 0, 0, 0.293642, -39.4894, 0.27633, -145.791, 0.3421, 89.6807, 0, 0
0, 1800.00000, 6870.3, -0.00172206, 6870.35, -120.002, 6870.31, 119.998, 0, 0, 0.290146, -38.878, 0.273959, -146.357, 0.333899, 89.6226, 0, 0
0, 2700.00000, 6870.31, -0.00151804, 6870.37, -120.002, 6870.32, 119.998, 0, 0, 0.257068, -39.2219, 0.242295, -146.009, 0.298013, 89.665, 0, 0
1, 0.00000, 6870.31, -0.00158948, 6870.36, -120.002, 6870.32, 119.998, 0, 0, 0.265384, -38.2476, 0.251337, -146.932, 0.301435, 89.58, 0, 0
1, 900.00000, 6870.32, -0.00151758, 6870.36, -120.002, 6870.33, 119.998, 0, 0, 0.253204, -38.1992, 0.24207, -146.724, 0.289419, 89.3279, 0, 0
1, 1800.00000, 6870.32, -0.00148374, 6870.37, -120.002, 6870.33, 119.998, 0, 0, 0.248547, -38.4779, 0.232431, -147.01, 0.281205, 89.9224, 0, 0
1, 2700.00000, 6870.33, -0.00150038, 6870.36, -120.002, 6870.33, 119.998, 0, 0, 0.247351, -37.3451, 0.238707, -147.363, 0.27882, 89.1016, 0, 0
2, 0.00000, 6870.33, -0.00142499, 6870.37, -120.002, 6870.34, 119.998, 0, 0, 0.236963, -37.9635, 0.223998, -147.264, 0.266904, 89.6568, 0, 0
2, 900.00000, 6870.33, -0.00141801, 6870.37, -120.002, 6870.34, 119.998, 0, 0, 0.235526, -37.8807, 0.225295, -147.031, 0.267237, 89.3319, 0, 0
2, 1800.00000, 6870.33, -0.00140509, 6870.37, -120.002, 6870.34, 119.998, 0, 0, 0.231857, -37.412, 0.225741, -147.043, 0.263722, 88.8588, 0, 0
2, 2700.00000, 6870.33, -0.00139259, 6870.37, -120.002, 6870.34, 119.998, 0, 0, 0.230407, -37.6038, 0.222526, -147.059, 0.261631, 89.0778, 0, 0
3, 0.00000, 6870.34, -0.00137316, 6870.37, -120.001, 6870.34, 119.998, 0, 0, 0.227645, -37.7459, 0.215996, -147.388, 0.255774, 89.5666, 0, 0
3, 900.00000, 6870.33, -0.00141, 6870.37, -120.002, 6870.34, 119.998, 0, 0, 0.232387, -37.3251, 0.22357, -147.457, 0.261196, 89.1947, 0, 0
3, 1800.00000, 6870.34, -0.00135437, 6870.37, -120.001, 6870.34, 119.998, 0, 0, 0.224743, -37.8133, 0.21469, -147.13, 0.254321, 89.3759, 0, 0
3, 2700.00000, 6870.34, -0.00139413, 6870.37, -120.002, 6870.34, 119.998, 0, 0, 0.228894, -37.0464, 0.222684, -147.439, 0.257797, 88.8909, 0, 0
4, 0.00000, 6870.34, -0.00138887, 6870.37, -120.002, 6870.34, 119.998, 0, 0, 0.226555, -36.5677, 0.222883, -147.621, 0.254409, 88.5873, 0, 0
4, 900.00000, 6870.34, -0.00132983, 6870.38, -120.001, 6870.35, 119.998, 0, 0, 0.219045, -37.2822, 0.210109, -147.574, 0.245367, 89.2847, 0, 0
4, 1800.00000, 6870.33, -0.00146261, 6870.37, -120.002, 6870.34, 119.998, 0, 0, 0.240192, -37.063, 0.229356, -147.946, 0.2665, 89.4147, 0, 0
4, 2700.00000, 6870.34, -0.00134073, 6870.37, -120.001, 6870.35, 119.998, 0, 0, 0.220555, -37.1882, 0.211839, -147.637, 0.246726, 89.2503, 0, 0
5, 0.00000, 6870.33, -0.00141266, 6870.37, -120.002, 6870.33, 119.998, 0, 0, 0.236795, -38.5228, 0.226948, -146.305, 0.273408, 89.2532, 0, 0
5, 900.00000, 6870.31, -0.001595, 6870.36, -120.002, 6870.31, 119.998, 0, 0, 0.268034, -38.6977, 0.263119, -145.537, 0.316565, 88.5971, 0, 0
5, 1800.00000, 6870.27, -0.00182761, 6870.35, -120.002, 6870.27, 119.997, 0, 0, 0.320434, -41.4818, 0.306581, -143.297, 0.395525, 89.1684, 0, 0
5, 2700.00000, 6870.18, -0.00247972, 6870.31, -120.003, 6870.21, 119.996, 0, 0, 0.443328, -42.6759, 0.399491, -143.43, 0.538552, 90.5416, 0, 0
6, 0.00000, 6870.15, -0.0031737, 6870.26, -120.003, 6870.21, 119.996, 0, 0, 0.537971, -39.2908, 0.462818, -148.621, 0.582051, 92.0905, 0, 0
6, 900.00000, 6870.11, -0.00350509, 6870.24, -120.003, 6870.19, 119.996, 0, 0, 0.596688, -39.5782, 0.501086, -149.015, 0.638855, 92.7202, 0, 0
6, 1800.00000, 6870.23, -0.00241579, 6870.3, -120.002, 6870.26, 119.997, 0, 0, 0.406604, -38.807, 0.366318, -147.783, 0.450168, 90.8826, 0, 0
6, 2700.00000, 6870.26, -0.00219375, 6870.32, -120.002, 6870.27, 119.997, 0, 0, 0.364596, -37.9252, 0.344885, -147.382, 0.41001, 89.5959, 0, 0
7, 0.00000, 6870.24, -0.00234269, 6870.31, -120.002, 6870.27, 119.997, 0, 0, 0.388574, -37.7837, 0.358533, -148.243, 0.426783, 90.3015, 0, 0
7, 900.00000, 6870.21, -0.00254854, 6870.3, -120.003, 6870.25, 119.997, 0, 0, 0.431772, -39.2543, 0.377507, -148.124, 0.472766, 91.6685, 0, 0
7, 1800.00000, 6870.22, -0.00248998, 6870.3, -120.002, 6870.27, 119.997, 0, 0, 0.420349, -39.0123, 0.358668, -149.103, 0.449174, 92.4046, 0, 0
7, 2700.00000, 6870.26, -0.00210609, 6870.32, -120.002, 6870.29, 119.997, 0, 0, 0.35245, -38.4097, 0.317084, -148.232, 0.385967, 90.9791, 0, 0
8, 0.00000, 6870.28, -0.00206035, 6870.32, -120.002, 6870.28, 119.998, 0, 0, 0.336819, -36.7298, 0.332177, -147.472, 0.380184, 88.475, 0, 0
8, 900.00000, 6870.28, -0.00202156, 6870.33, -120.002, 6870.28, 119.998, 0, 0, 0.333146, -37.3184, 0.326746, -147.019, 0.379948, 88.6207, 0, 0
8, 1800.00000, 6870.28, -0.00201865, 6870.33, -120.002, 6870.29, 119.998, 0, 0, 0.332404, -37.2611, 0.319097, -147.657, 0.371998, 89.224, 0, 0
8, 2700.00000, 6870.28, -0.00190595, 6870.34, -120.002, 6870.29, 119.998, 0, 0, 0.318295, -38.2644, 0.302298, -146.881, 0.362301, 89.4824, 0, 0
9, 0.00000, 6870.27, -0.00209183, 6870.32, -120.002, 6870.27, 119.997, 0, 0, 0.343547, -37.0691, 0.34007, -147.035, 0.392284, 88.3639, 0, 0
9, 900.00000, 6870.28, -0.00201801, 6870.33, -120.002, 6870.28, 119.998, 0, 0, 0.332253, -37.2511, 0.32117, -147.482, 0.373821, 89.0273, 0, 0
9, 1800.00000, 6870.25, -0.00222208, 6870.31, -120.002, 6870.27, 119.997, 0, 0, 0.369085, -37.883, 0.348628, -147.473, 0.414101, 89.6352, 0, 0
9, 2700.00000, 6870.25, -0.00248672, 6870.29, -120.003, 6870.24, 119.997, 0, 0, 0.400716, -35.6454, 0.409883, -147.598, 0.453625, 87.4188, 0, 0
