hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, -100.001, -0.000734811, -100.001, -0.000734811, -100.001, -0.000734811, 0, 0
10, 0.00000, -166.669, -0.002116, -166.669, -0.002116, -166.669, -0.002116, 0, 0
11, 0.00000, -266.679, -0.012049, -266.679, -0.012049, -266.679, -0.012049, 0, 0
12, 0.00000, -300.005, -0.00547152, -300.005, -0.00547152, -300.005, -0.00547152, 0, 0
13, 0.00000, -333.341, -0.00730943, -333.341, -0.00730943, -333.341, -0.00730943, 0, 0
14, 0.00000, -333.333, -3.33123E-005, -333.333, -3.33123E-005, -333.333, -3.33123E-005, 0, 0
15, 0.00000, -330.015, -1.48941E-007, -330.015, -1.4894E-007, -330.015, -1.48941E-007, 0, 0
16, 0.00000, -299.995, 0.00485187, -299.995, 0.00485187, -299.995, 0.00485187, 0, 0
17, 0.00000, -233.328, 0.00530068, -233.328, 0.00530068, -233.328, 0.00530068, 0, 0
18, 0.00000, -133.332, 0.00159813, -133.332, 0.00159813, -133.332, 0.00159813, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
