hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 900.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1800.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 2700.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 900.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1800.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 2700.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 900.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 1800.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 2700.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 900.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 1800.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 2700.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 900.00000, 127.017, -30, 4.99576E-006, -24.8335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
