hour, t(sec), watts, vars
24, 0.00000, 0.00384676, -0.00193209
24, 900.00000, 0.00390326, -0.0019075
24, 1800.00000, 0.00404194, -0.00184745
24, 2700.00000, 0.00385353, -0.00192915
25, 0.00000, 0.00378059, -0.00196102
25, 900.00000, 0.00383015, -0.00193934
25, 1800.00000, 0.00381045, -0.00194795
25, 2700.00000, 0.00378838, -0.0019576
26, 0.00000, 0.00381032, -0.001948
26, 900.00000, 0.00381846, -0.00194444
26, 1800.00000, 0.00382254, -0.00194266
26, 2700.00000, 0.0038508, -0.00193033
27, 0.00000, 0.00386957, -0.00192215
27, 900.00000, 0.00392687, -0.00189724
27, 1800.00000, 0.00378675, -0.00195832
27, 2700.00000, 0.00377249, -0.00196456
28, 0.00000, 0.00381632, -0.00194538
28, 900.00000, 0.00389255, -0.00191215
28, 1800.00000, 0.00395079, -0.00188686
28, 2700.00000, 0.00419347, -0.00178229
29, 0.00000, 0.00474655, -0.00154737
29, 900.00000, 0.00514714, -0.00137919
29, 1800.00000, 0.00484429, -0.00150622
29, 2700.00000, 0.00485247, -0.00150277
30, 0.00000, 0.00477983, -0.00153335
30, 900.00000, 0.0386009, 0.0109314
30, 1800.00000, 0.870346, 0.336032
30, 2700.00000, 0.809274, 0.312276
31, 0.00000, 0.839411, 0.324015
31, 900.00000, 0.771037, 0.297257
31, 1800.00000, 0.767775, 0.295997
31, 2700.00000, 0.765472, 0.295106
32, 0.00000, 0.766658, 0.295565
32, 900.00000, 0.810592, 0.312458
32, 1800.00000, 0.805529, 0.310497
32, 2700.00000, 0.803494, 0.30971
33, 0.00000, 0.805443, 0.310464
33, 900.00000, 0.863786, 0.332909
33, 1800.00000, 0.862234, 0.33231
33, 2700.00000, 0.854308, 0.329243
34, 0.00000, 0.861805, 0.332145
34, 900.00000, 0.920918, 0.354879
34, 1800.00000, 0.866404, 0.333892
34, 2700.00000, 0.869815, 0.335214
35, 0.00000, 0.863683, 0.332839
35, 900.00000, 0.876313, 0.337701
35, 1800.00000, 0.874036, 0.33682
35, 2700.00000, 0.873771, 0.336717
36, 0.00000, 0.874119, 0.336852
36, 900.00000, 0.870695, 0.335551
36, 1800.00000, 0.873984, 0.336818
36, 2700.00000, 0.872509, 0.336248
37, 0.00000, 0.872057, 0.336073
37, 900.00000, 0.83408, 0.321454
37, 1800.00000, 0.837743, 0.322872
37, 2700.00000, 0.837948, 0.322951
38, 0.00000, 0.837443, 0.322757
38, 900.00000, 0.797525, 0.307375
38, 1800.00000, 0.801338, 0.308852
38, 2700.00000, 0.79745, 0.307351
39, 0.00000, 0.798729, 0.307846
39, 900.00000, 0.750794, 0.289305
39, 1800.00000, 0.773489, 0.298152
39, 2700.00000, 0.777741, 0.299808
40, 0.00000, 0.777347, 0.299656
40, 900.00000, 0.714677, 0.275549
40, 1800.00000, 0.671491, 0.25875
40, 2700.00000, 0.669057, 0.257808
41, 0.00000, 0.673845, 0.259664
41, 900.00000, 0.744404, 0.287165
41, 1800.00000, 0.635593, 0.24485
41, 2700.00000, 0.631238, 0.243163
42, 0.00000, 0.635059, 0.244644
42, 900.00000, 0.0194469, 0.00438405
42, 1800.00000, 0.0208187, 0.00492996
42, 2700.00000, 0.0173237, 0.00353793
43, 0.00000, 0.0169169, 0.00337563
43, 900.00000, 0.0166445, 0.00326692
43, 1800.00000, 0.0166753, 0.00327921
43, 2700.00000, 0.0173228, 0.00353757
44, 0.00000, 0.0159208, 0.00297789
44, 900.00000, 0.0116241, 0.00125636
44, 1800.00000, 0.00654321, -0.000800569
44, 2700.00000, 0.00527251, -0.00132681
45, 0.00000, 0.00472302, -0.00155729
45, 900.00000, 0.00452897, -0.00163934
45, 1800.00000, 0.00464996, -0.00158814
45, 2700.00000, 0.00427477, -0.00174751
46, 0.00000, 0.0041485, -0.00180159
46, 900.00000, 0.00401322, -0.00185985
46, 1800.00000, 0.00404459, -0.00184631
46, 2700.00000, 0.00406076, -0.00183934
47, 0.00000, 0.00415984, -0.00179672
47, 900.00000, 0.00394725, -0.00188841
47, 1800.00000, 0.00399958, -0.00186574
47, 2700.00000, 0.00384722, -0.0019319
