hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
24, 0.00000, 122.771, 0.617997, 122.771, -119.382, 122.771, 120.618, 26.661, 128.915, 0.314993, -62.2931, 0.314992, 177.707, 0.314993, 57.7071, 2.03369E-012, 63.4349
24, 900.00000, 122.722, 0.596853, 122.722, -119.403, 122.722, 120.597, 26.6504, 128.894, 0.317298, -61.5523, 0.317296, 178.448, 0.317298, 58.4478, 9.37486E-013, 104.036
24, 1800.00000, 122.609, 0.547609, 122.609, -119.452, 122.609, 120.548, 26.6259, 128.845, 0.322885, -59.87, 0.322884, -179.87, 0.322886, 60.1302, 9.37486E-013, 104.036
24, 2700.00000, 122.765, 0.61564, 122.765, -119.384, 122.765, 120.616, 26.6597, 128.913, 0.31527, -62.2086, 0.315269, 177.792, 0.315271, 57.7916, 8.19807E-013, 146.31
25, 0.00000, 122.83, 0.643662, 122.83, -119.356, 122.83, 120.644, 26.6738, 128.941, 0.312272, -63.207, 0.312271, 176.793, 0.312272, 56.7932, 1.22444E-012, 158.199
25, 900.00000, 122.785, 0.624263, 122.785, -119.376, 122.785, 120.624, 26.6641, 128.921, 0.314312, -62.5152, 0.314311, 177.485, 0.314313, 57.485, 2.14504E-012, 122.005
25, 1800.00000, 122.803, 0.63193, 122.803, -119.368, 122.803, 120.632, 26.6679, 128.929, 0.313503, -62.7873, 0.313502, 177.213, 0.313503, 57.2128, 1.94268E-012, 110.556
25, 2700.00000, 122.823, 0.640535, 122.823, -119.359, 122.823, 120.641, 26.6722, 128.938, 0.312594, -63.0951, 0.312593, 176.905, 0.312594, 56.9051, 9.09495E-013, 0
26, 0.00000, 122.803, 0.631931, 122.803, -119.368, 122.803, 120.632, 26.6679, 128.929, 0.313497, -62.7877, 0.313496, 177.213, 0.313498, 57.2125, 5.08423E-013, -116.565
26, 900.00000, 122.796, 0.6288, 122.796, -119.371, 122.796, 120.629, 26.6664, 128.926, 0.313832, -62.6761, 0.313831, 177.324, 0.313833, 57.3241, 1.63961E-012, 56.3099
26, 1800.00000, 122.792, 0.627235, 122.792, -119.373, 122.792, 120.627, 26.6656, 128.924, 0.314, -62.6203, 0.313999, 177.38, 0.314, 57.3798, 2.23937E-012, 23.9625
26, 2700.00000, 122.767, 0.616432, 122.767, -119.384, 122.767, 120.616, 26.6602, 128.913, 0.315158, -62.238, 0.315157, 177.762, 0.315159, 57.7621, 9.37486E-013, 104.036
27, 0.00000, 122.751, 0.609384, 122.751, -119.391, 122.751, 120.609, 26.6567, 128.906, 0.315926, -61.9899, 0.315924, 178.01, 0.315926, 58.0102, 4.54747E-013, -90
27, 900.00000, 122.703, 0.588234, 122.703, -119.412, 122.703, 120.588, 26.6461, 128.885, 0.318256, -61.2534, 0.318255, 178.747, 0.318257, 58.7467, 4.54747E-013, 90
27, 1800.00000, 122.824, 0.641313, 122.824, -119.359, 122.824, 120.641, 26.6726, 128.938, 0.312526, -63.1221, 0.312525, 176.878, 0.312527, 56.8781, 2.73794E-012, 85.2364
27, 2700.00000, 122.837, 0.646793, 122.837, -119.353, 122.837, 120.647, 26.6754, 128.944, 0.311938, -63.3201, 0.311936, 176.68, 0.311938, 56.68, 1.83315E-012, 97.125
