hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
24, 0.00000, 122.768, 0.619434, 122.768, -119.381, 122.768, 120.619, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 900.00000, 122.719, 0.598279, 122.719, -119.402, 122.719, 120.598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 1800.00000, 122.606, 0.549011, 122.606, -119.451, 122.606, 120.549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 2700.00000, 122.762, 0.617075, 122.762, -119.383, 122.762, 120.617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 0.00000, 122.826, 0.645111, 122.827, -119.355, 122.827, 120.645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 900.00000, 122.782, 0.625702, 122.782, -119.374, 122.782, 120.626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 1800.00000, 122.8, 0.633373, 122.8, -119.367, 122.8, 120.633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 2700.00000, 122.819, 0.641982, 122.82, -119.358, 122.819, 120.642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 0.00000, 122.8, 0.633374, 122.8, -119.367, 122.8, 120.633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 900.00000, 122.792, 0.630242, 122.793, -119.37, 122.793, 120.63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 1800.00000, 122.789, 0.628675, 122.789, -119.371, 122.789, 120.628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 2700.00000, 122.764, 0.617868, 122.764, -119.382, 122.764, 120.618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 0.00000, 122.748, 0.610816, 122.748, -119.389, 122.748, 120.611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 900.00000, 122.699, 0.589656, 122.699, -119.41, 122.699, 120.589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 1800.00000, 122.821, 0.642761, 122.821, -119.357, 122.821, 120.643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 2700.00000, 122.834, 0.648244, 122.834, -119.352, 122.834, 120.648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 0.00000, 122.794, 0.631026, 122.794, -119.369, 122.794, 120.631, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 900.00000, 122.728, 0.6022, 122.728, -119.398, 122.728, 120.602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 1800.00000, 122.679, 0.581028, 122.679, -119.419, 122.679, 120.581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 2700.00000, 122.49, 0.498714, 122.49, -119.501, 122.49, 120.499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 0.00000, 122.119, 0.338185, 122.119, -119.662, 122.119, 120.338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 900.00000, 121.885, 0.236899, 121.885, -119.763, 121.885, 120.237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 1800.00000, 122.06, 0.312812, 122.06, -119.687, 122.06, 120.313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 2700.00000, 122.055, 0.310471, 122.055, -119.69, 122.055, 120.31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 0.00000, 122.099, 0.32947, 122.099, -119.671, 122.099, 120.329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 900.00000, 133.169, 5.60361, 133.168, -114.397, 133.168, 125.603, 0, 0, 1.16074, -174.509, 1.16074, 65.491, 1.16073, -54.5089, 7.7178E-006, -6.29315
30, 1800.00000, 73.6409, 24.247, 73.658, -95.7576, 73.6562, 144.242, 0, 0, 4.60248, -73.9258, 4.60163, 166.064, 4.60177, 46.0627, 0.00132975, 153.418
30, 2700.00000, 76.3843, 23.5761, 76.3948, -96.4295, 76.3915, 143.57, 0, 0, 4.43775, -76.1016, 4.4371, 163.894, 4.43729, 43.8933, 0.000793218, 147.777
31, 0.00000, 74.5942, 23.6463, 74.6063, -96.3591, 74.6028, 143.641, 0, 0, 4.53426, -75.846, 4.53356, 164.148, 4.53377, 44.1476, 0.000910548, 152.193
31, 900.00000, 82.0062, 25.0468, 82.0076, -94.9546, 82.0069, 145.044, 0, 0, 4.40956, -84.2029, 4.40963, 155.796, 4.4096, 35.7947, 0.000114172, 160.044
31, 1800.00000, 81.8995, 24.8907, 81.901, -95.1105, 81.9003, 144.888, 0, 0, 4.40537, -84.3038, 4.40545, 155.695, 4.40542, 35.6935, 0.00012055, 167.386
31, 2700.00000, 81.8453, 24.7888, 81.8468, -95.2124, 81.8461, 144.786, 0, 0, 4.40244, -84.4011, 4.40252, 155.598, 4.40249, 35.5962, 0.000120622, 167.598
32, 0.00000, 81.8744, 24.8418, 81.8759, -95.1594, 81.8752, 144.839, 0, 0, 4.40358, -84.3326, 4.40366, 155.666, 4.40362, 35.6648, 0.000121205, 167.57
32, 900.00000, 85.3427, 27.5177, 85.3442, -92.4836, 85.3432, 147.515, 0, 0, 4.59632, -88.9741, 4.5964, 151.025, 4.59634, 31.0231, 0.000127745, 157.34
32, 1800.00000, 85.3132, 27.3583, 85.3147, -92.643, 85.3138, 147.356, 0, 0, 4.58925, -89.1173, 4.58933, 150.881, 4.58928, 30.8799, 0.000129086, 158.417
32, 2700.00000, 85.2778, 27.2865, 85.2793, -92.7148, 85.2784, 147.284, 0, 0, 4.58745, -89.1881, 4.58753, 150.811, 4.58748, 30.8091, 0.000128929, 158.436
33, 0.00000, 85.3221, 27.3586, 85.3236, -92.6427, 85.3226, 147.356, 0, 0, 4.58864, -89.1128, 4.58872, 150.886, 4.58868, 30.8844, 0.000129393, 158.598
33, 900.00000, 89.4332, 30.0406, 89.4346, -89.9608, 89.4334, 150.038, 0, 0, 4.80774, -93.4145, 4.80782, 146.584, 4.80776, 26.5826, 0.000137931, 150.565
33, 1800.00000, 89.3667, 29.9863, 89.3682, -90.0151, 89.367, 149.983, 0, 0, 4.80623, -93.4059, 4.80631, 146.593, 4.80625, 26.5912, 0.00014043, 149.753
33, 2700.00000, 89.2701, 29.7583, 89.2715, -90.2431, 89.2703, 149.755, 0, 0, 4.80095, -93.6312, 4.80103, 146.367, 4.80097, 26.3659, 0.000139601, 149.702
34, 0.00000, 89.3551, 29.9727, 89.3565, -90.0287, 89.3553, 149.97, 0, 0, 4.80676, -93.4302, 4.80684, 146.568, 4.80677, 26.5669, 0.000139693, 149.584
34, 900.00000, 93.5171, 32.1253, 93.5184, -87.8762, 93.517, 152.122, 0, 0, 5.02631, -97.385, 5.02639, 142.614, 5.02631, 22.612, 0.000153267, 142.31
34, 1800.00000, 90.1954, 30.2608, 90.1968, -89.7406, 90.1956, 150.258, 0, 0, 4.83652, -94.3462, 4.8366, 145.652, 4.83653, 25.6509, 0.000141402, 147.909
34, 2700.00000, 90.2169, 30.3523, 90.2183, -89.6491, 90.217, 150.349, 0, 0, 4.83762, -94.2211, 4.8377, 145.777, 4.83763, 25.776, 0.000141711, 147.98
35, 0.00000, 90.1783, 30.1877, 90.1797, -89.8137, 90.1785, 150.185, 0, 0, 4.83573, -94.4483, 4.8358, 145.55, 4.83574, 25.5488, 0.000141157, 147.85
35, 900.00000, 90.9502, 30.6528, 90.9516, -89.3487, 90.9503, 150.65, 0, 0, 4.87485, -95.0898, 4.87493, 144.909, 4.87486, 24.9073, 0.000143081, 146.427
35, 1800.00000, 90.9253, 30.591, 90.9267, -89.4104, 90.9254, 150.588, 0, 0, 4.87378, -95.1564, 4.87386, 144.842, 4.87379, 24.8407, 0.000142868, 146.405
35, 2700.00000, 90.9221, 30.5837, 90.9235, -89.4177, 90.9222, 150.581, 0, 0, 4.87365, -95.1637, 4.87372, 144.835, 4.87365, 24.8333, 0.000142844, 146.403
36, 0.00000, 90.9256, 30.5931, 90.927, -89.4083, 90.9257, 150.59, 0, 0, 4.8738, -95.1532, 4.87388, 144.845, 4.87381, 24.8439, 0.000142877, 146.407
36, 900.00000, 90.2888, 30.3886, 90.2902, -89.6129, 90.2889, 150.386, 0, 0, 4.84355, -94.3359, 4.84363, 145.663, 4.84356, 25.6611, 0.000141841, 147.823
36, 1800.00000, 90.4703, 30.5065, 90.4717, -89.495, 90.4705, 150.504, 0, 0, 4.86558, -94.69, 4.86566, 145.309, 4.86559, 25.307, 0.000142676, 147.242
36, 2700.00000, 90.449, 30.465, 90.4504, -89.5364, 90.4491, 150.462, 0, 0, 4.86355, -94.7085, 4.86363, 145.29, 4.86356, 25.2886, 0.000142506, 147.273
37, 0.00000, 90.4451, 30.4528, 90.4465, -89.5486, 90.4453, 150.45, 0, 0, 4.86328, -94.7221, 4.86336, 145.276, 4.86329, 25.275, 0.000142445, 147.272
