hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
24, 0.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
24, 900.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
24, 1800.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
24, 2700.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
25, 0.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
25, 900.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
25, 1800.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
25, 2700.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
26, 0.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
26, 900.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
26, 1800.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
26, 2700.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
27, 0.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
27, 900.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
27, 1800.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
27, 2700.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
28, 0.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
28, 900.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
28, 1800.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
28, 2700.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
29, 0.00000, -1.57001E-007, 1.50775E-005, 1.56786E-007, 1.50771E-005, 2.15275E-010, 1.53491E-005, 0, 0
