hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
24, 0.00000, 127.005, -30, 127.006, -150, 127.006, 90, 0.000248684, 138.889, 0.30449, -92.9112, 0.304488, 147.089, 0.304488, 27.0892, 1.67217E-005, -37.1676
24, 900.00000, 127.005, -30.0001, 127.006, -150, 127.006, 90, 0.000250439, 139.649, 0.306604, -92.1489, 0.306602, 147.851, 0.306602, 27.8515, 1.68389E-005, -36.4219
24, 1800.00000, 127.005, -30.0003, 127.005, -150, 127.006, 89.9998, 0.000254686, 141.375, 0.311726, -90.4168, 0.311724, 149.583, 0.311724, 29.5836, 1.71204E-005, -34.7249
24, 2700.00000, 127.005, -30, 127.006, -150, 127.006, 90, 0.000248877, 138.974, 0.304722, -92.826, 0.30472, 147.174, 0.304721, 27.1744, 1.67346E-005, -37.0843
25, 0.00000, 127.005, -29.9999, 127.006, -150, 127.006, 90.0001, 0.000246612, 137.952, 0.301995, -93.8514, 0.301993, 146.149, 0.301994, 26.149, 1.65826E-005, -38.0866
25, 900.00000, 127.005, -30, 127.006, -150, 127.006, 90, 0.000248173, 138.662, 0.303874, -93.1391, 0.303872, 146.861, 0.303872, 26.8613, 1.66875E-005, -37.3905
25, 1800.00000, 127.005, -30, 127.006, -150, 127.006, 90.0001, 0.000247551, 138.382, 0.303126, -93.4195, 0.303124, 146.581, 0.303124, 26.5808, 1.66458E-005, -37.6646
25, 2700.00000, 127.005, -30, 127.006, -150, 127.006, 90.0001, 0.000246861, 138.067, 0.302295, -93.7359, 0.302293, 146.264, 0.302294, 26.2645, 1.65994E-005, -37.9738
26, 0.00000, 127.005, -30, 127.006, -150, 127.006, 90.0001, 0.000247551, 138.382, 0.303126, -93.4195, 0.303124, 146.581, 0.303124, 26.5808, 1.66458E-005, -37.6646
26, 900.00000, 127.005, -30, 127.006, -150, 127.006, 90.0001, 0.000247804, 138.497, 0.30343, -93.3049, 0.303428, 146.695, 0.303429, 26.6955, 1.66628E-005, -37.5526
26, 1800.00000, 127.005, -30, 127.006, -150, 127.006, 90.0001, 0.000247931, 138.554, 0.303583, -93.2476, 0.303581, 146.753, 0.303581, 26.7527, 1.66713E-005, -37.4966
26, 2700.00000, 127.005, -30, 127.006, -150, 127.006, 90, 0.000248813, 138.946, 0.304644, -92.8543, 0.304642, 147.146, 0.304643, 27.146, 1.67303E-005, -37.1121
27, 0.00000, 127.005, -30.0001, 127.006, -150, 127.006, 90, 0.000249394, 139.2, 0.305345, -92.5993, 0.305342, 147.401, 0.305343, 27.401, 1.67692E-005, -36.8626
27, 900.00000, 127.005, -30.0001, 127.006, -150, 127.006, 89.9999, 0.000251166, 139.956, 0.30748, -91.8414, 0.307478, 148.159, 0.307479, 28.159, 1.68873E-005, -36.1209
27, 1800.00000, 127.005, -30, 127.006, -150, 127.006, 90.0001, 0.000246799, 138.038, 0.30222, -93.7647, 0.302218, 146.235, 0.302219, 26.2356, 1.65952E-005, -38.0019
27, 2700.00000, 127.006, -29.9999, 127.006, -150, 127.006, 90.0001, 0.000246364, 137.836, 0.301697, -93.9671, 0.301695, 146.033, 0.301695, 26.0333, 1.65659E-005, -38.1997
28, 0.00000, 127.005, -30, 127.006, -150, 127.006, 90.0001, 0.000247741, 138.468, 0.303354, -93.3335, 0.303352, 146.667, 0.303353, 26.6668, 1.66585E-005, -37.5806
28, 900.00000, 127.005, -30.0001, 127.006, -150, 127.006, 90, 0.00025011, 139.509, 0.306208, -92.2893, 0.306206, 147.711, 0.306207, 27.7111, 1.6817E-005, -36.5593
28, 1800.00000, 127.005, -30.0002, 127.006, -150, 127.006, 89.9999, 0.000251901, 140.26, 0.308366, -91.5356, 0.308364, 148.465, 0.308364, 28.4648, 1.69361E-005, -35.8215
28, 2700.00000, 127.005, -30.0004, 127.005, -150.001, 127.005, 89.9996, 0.000259245, 143.074, 0.317229, -88.7107, 0.317227, 151.289, 0.317228, 31.2896, 1.74196E-005, -33.0491
29, 0.00000, 127.004, -30.001, 127.005, -150.001, 127.005, 89.9991, 0.000275138, 148.079, 0.336455, -83.6815, 0.336452, 156.319, 0.336453, 36.3188, 1.84461E-005, -28.073
29, 900.00000, 127.004, -30.0013, 127.004, -150.001, 127.004, 89.9988, 0.000286099, 150.926, 0.349739, -80.8178, 0.349737, 159.182, 0.349737, 39.1826, 1.91435E-005, -25.2063
29, 1800.00000, 127.004, -30.0011, 127.005, -150.001, 127.005, 89.9991, 0.000277817, 148.813, 0.3397, -82.9435, 0.339698, 157.057, 0.339698, 37.0568, 1.86171E-005, -27.3368
29, 2700.00000, 127.004, -30.0011, 127.005, -150.001, 127.005, 89.999, 0.000278071, 148.881, 0.340007, -82.8751, 0.340005, 157.125, 0.340005, 37.1253, 1.86333E-005, -27.2685
30, 0.00000, 127.004, -30.001, 127.005, -150.001, 127.005, 89.9991, 0.000276054, 148.333, 0.337564, -83.4262, 0.337562, 156.574, 0.337562, 36.5741, 1.85046E-005, -27.8184
30, 900.00000, 127.022, -29.9853, 127.021, -149.986, 127.022, 90.0141, 0.000767662, 38.385, 0.859152, 168.407, 0.859138, 48.4067, 0.859143, -71.5936, 3.63628E-005, -132.009
30, 1800.00000, 127.021, -29.9858, 127.02, -149.986, 127.022, 90.0137, 0.000748279, 38.7284, 0.829802, 169.081, 0.829788, 49.0814, 0.829793, -70.919, 3.41094E-005, -129.144
30, 2700.00000, 127.02, -29.9868, 127.019, -149.987, 127.02, 90.0126, 0.000689279, 40.4166, 0.764213, 170.789, 0.764199, 50.789, 0.764204, -69.2114, 3.17876E-005, -126.619
31, 0.00000, 127.018, -29.9889, 127.017, -149.989, 127.018, 90.0107, 0.000580478, 44.5167, 0.643505, 174.924, 0.643493, 54.9245, 0.643498, -65.0759, 2.75077E-005, -121.426
31, 900.00000, 127.033, -29.9753, 127.031, -149.976, 127.033, 90.0236, 0.00146476, 29.106, 1.48418, 160.55, 1.48412, 40.5497, 1.48414, -79.4509, 4.40338E-005, -114.407
31, 1800.00000, 127.033, -29.9758, 127.03, -149.976, 127.032, 90.0231, 0.00146385, 28.8423, 1.45222, 160.784, 1.45216, 40.7835, 1.45218, -79.2171, 4.05832E-005, -105.627
31, 2700.00000, 127.032, -29.9761, 127.03, -149.977, 127.032, 90.0227, 0.00144143, 29.0048, 1.42928, 160.958, 1.42922, 40.958, 1.42924, -79.0427, 4.02359E-005, -104.981
32, 0.00000, 127.032, -29.9759, 127.03, -149.976, 127.032, 90.0229, 0.00145431, 28.9198, 1.44325, 160.851, 1.44319, 40.8511, 1.44321, -79.1496, 4.05025E-005, -105.604
32, 900.00000, 127.045, -29.965, 127.041, -149.966, 127.044, 90.0332, 0.00229155, 24.7268, 2.13616, 157.328, 2.13603, 37.3278, 2.13607, -82.6731, 5.10245E-005, -79.4772
32, 1800.00000, 127.044, -29.9655, 127.041, -149.966, 127.044, 90.0327, 0.00231409, 24.3913, 2.10744, 157.428, 2.1073, 37.4273, 2.10735, -82.5738, 5.30916E-005, -67.0867
32, 2700.00000, 127.044, -29.9657, 127.04, -149.966, 127.044, 90.0325, 0.00229917, 24.4289, 2.09168, 157.483, 2.09155, 37.483, 2.09159, -82.5181, 5.32318E-005, -66.5436
33, 0.00000, 127.044, -29.9654, 127.041, -149.966, 127.044, 90.0328, 0.00231588, 24.3872, 2.10879, 157.423, 2.10865, 37.4226, 2.1087, -82.5785, 5.30834E-005, -67.024
