hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
24, 0.00000, 0.017609, 0.0344303, 0.0176089, 0.0344302, 0.017609, 0.0344302, -9.13662E-014, -2.80644E-014
24, 900.00000, 0.0181909, 0.0344303, 0.0181909, 0.0344302, 0.0181909, 0.0344302, -9.28577E-014, -2.98916E-014
24, 1800.00000, 0.0195445, 0.0344303, 0.0195444, 0.0344302, 0.0195445, 0.0344302, -9.65119E-014, -3.4352E-014
24, 2700.00000, 0.0176736, 0.0344303, 0.0176736, 0.0344302, 0.0176736, 0.0344302, -9.15312E-014, -2.82651E-014
25, 0.00000, 0.016902, 0.0344303, 0.016902, 0.0344302, 0.016902, 0.0344302, -8.96179E-014, -2.59138E-014
25, 900.00000, 0.0174365, 0.0344303, 0.0174365, 0.0344302, 0.0174365, 0.0344302, -9.09327E-014, -2.75328E-014
25, 1800.00000, 0.0172253, 0.0344303, 0.0172253, 0.0344302, 0.0172253, 0.0344302, -9.04086E-014, -2.6888E-014
25, 2700.00000, 0.0169882, 0.0344303, 0.0169882, 0.0344302, 0.0169882, 0.0344302, -8.98271E-014, -2.6172E-014
26, 0.00000, 0.0172253, 0.0344303, 0.0172253, 0.0344302, 0.0172253, 0.0344302, -9.04082E-014, -2.68879E-014
26, 900.00000, 0.0173115, 0.0344303, 0.0173115, 0.0344302, 0.0173115, 0.0344302, -9.06218E-014, -2.71504E-014
26, 1800.00000, 0.0173546, 0.0344303, 0.0173546, 0.0344302, 0.0173546, 0.0344302, -9.07289E-014, -2.7282E-014
26, 2700.00000, 0.0176521, 0.0344303, 0.017652, 0.0344302, 0.0176521, 0.0344302, -9.14748E-014, -2.81979E-014
27, 0.00000, 0.0178461, 0.0344303, 0.017846, 0.0344302, 0.0178461, 0.0344302, -9.19682E-014, -2.88026E-014
27, 900.00000, 0.018428, 0.0344303, 0.0184279, 0.0344302, 0.018428, 0.0344302, -9.34791E-014, -3.06512E-014
27, 1800.00000, 0.0169667, 0.0344303, 0.0169666, 0.0344302, 0.0169667, 0.0344302, -8.97756E-014, -2.61075E-014
27, 2700.00000, 0.0168158, 0.0344303, 0.0168158, 0.0344302, 0.0168158, 0.0344302, -8.94089E-014, -2.56564E-014
28, 0.00000, 0.01729, 0.0344303, 0.0172899, 0.0344302, 0.01729, 0.0344302, -9.0568E-014, -2.70846E-014
28, 900.00000, 0.0180831, 0.0344303, 0.0180831, 0.0344302, 0.0180831, 0.0344302, -9.25776E-014, -2.95492E-014
28, 1800.00000, 0.0186651, 0.0344303, 0.018665, 0.0344302, 0.0186651, 0.0344302, -9.41085E-014, -3.142E-014
28, 2700.00000, 0.0209239, 0.0344303, 0.0209238, 0.0344302, 0.0209238, 0.0344302, -1.00504E-013, -3.92201E-014
29, 0.00000, 0.0253077, 0.0344303, 0.0253077, 0.0344302, 0.0253077, 0.0344302, -1.1504E-013, -5.71479E-014
29, 900.00000, 0.0280622, 0.0344303, 0.0280622, 0.0344302, 0.0280622, 0.0344302, -1.25654E-013, -7.05978E-014
29, 1800.00000, 0.0259975, 0.0344303, 0.0259974, 0.0344302, 0.0259975, 0.0344302, -1.17596E-013, -6.0348E-014
29, 2700.00000, 0.0260621, 0.0344303, 0.0260621, 0.0344302, 0.0260621, 0.0344302, -1.17836E-013, -6.06527E-014
30, 0.00000, 0.0255449, 0.0344303, 0.0255448, 0.0344302, 0.0255448, 0.0344302, -1.15913E-013, -5.82366E-014
30, 900.00000, 0.0272463, 0.034428, 0.0272436, 0.034434, 0.0272398, 0.0344287, 9.66937E-011, 5.88493E-010
30, 1800.00000, 0.031182, 0.0344276, 0.0311795, 0.0344343, 0.031175, 0.0344288, 1.48245E-010, 6.39564E-010
30, 2700.00000, 0.0400404, 0.0344267, 0.0400386, 0.0344348, 0.0400325, 0.0344292, 2.65903E-010, 7.23707E-010
31, 0.00000, 0.0566629, 0.0344255, 0.056661, 0.034436, 0.0566528, 0.0344292, 3.89503E-010, 9.44576E-010
31, 900.00000, 0.074833, 0.0344223, 0.0748329, 0.0344382, 0.0748192, 0.0344302, 9.08786E-010, 1.24419E-009
31, 1800.00000, 0.0789627, 0.0344196, 0.0789646, 0.0344398, 0.0789461, 0.0344313, 1.31482E-009, 1.48186E-009
31, 2700.00000, 0.0820391, 0.0345214, 0.0817874, 0.0344844, 0.0819452, 0.0342849, -2.23093E-008, 1.1868E-008
32, 0.00000, 0.0770432, 0.0343221, 0.0817491, 0.0318234, 0.08156, 0.0371459, 2.37512E-007, -4.97435E-007
32, 900.00000, 0.0852728, -0.0358885, 0.141807, 0.0716237, 0.0206318, 0.0675484, -7.34534E-006, 2.59199E-005
32, 1800.00000, 1.89689, 0.391926, -0.850576, 1.61697, -0.697419, -1.66974, -0.0962513, -0.236593
32, 2700.00000, 59.2678, 117.153, 31.2418, 47.3707, 101.531, 58.0652, -192.136, -220.884
33, 0.00000, 37219.9, 44131.7, 38695.8, 43494.6, 36099.3, 44768.9, -112216, -131442
33, 900.00000, 3.17437E007, 3.47863E007, 3.16075E007, 3.47798E007, 2.97237E007, 3.44589E007, -9.32152E007, -1.03253E008
33, 1800.00000, 2.74527E010, 2.98034E010, 2.72989E010, 2.97769E010, 2.57143E010, 2.94881E010, -8.05833E010, -8.84042E010
33, 2700.00000, 2.54603E013, 2.62408E013, 2.53208E013, 2.62192E013, 2.38859E013, 2.59962E013, -7.47575E013, -7.78543E013
34, 0.00000, 2.00613E016, 2.16609E016, 1.99491E016, 2.16408E016, 1.87949E016, 2.14339E016, -5.88895E016, -6.42515E016
34, 900.00000, 2.40701E019, 2.43074E019, 2.39393E019, 2.42885E019, 2.25948E019, 2.40936E019, -7.0683E019, -7.21256E019
34, 1800.00000, 2.96618E022, 2.92202E022, 2.95024E022, 2.91992E022, 2.78631E022, 2.89822E022, -8.71147E022, -8.6714E022
34, 2700.00000, 3.37869E025, 3.41064E025, 3.36034E025, 3.40799E025, 3.17164E025, 3.38067E025, -9.92171E025, -1.01201E026
35, 0.00000, 4.28998E028, 4.14716E028, 4.26711E028, 4.14437E028, 4.03191E028, 4.11549E028, -1.26006E029, -1.23084E029
35, 900.00000, 4.03606E031, 4.14752E031, 4.01397E031, 4.14413E031, 3.7868E031, 4.10918E031, -1.1851E032, -1.23055E032
