hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
24, 0.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 8.32901E-005, -42.9222, 0.304498, -92.9117, 0.304497, 147.088, 0.304497, 27.0882, 1.14755E-006, 120.003
24, 900.00000, 127.002, -29.9988, 127.003, -149.999, 127.003, 90.0011, 8.38399E-005, -42.1534, 0.306612, -92.1495, 0.306611, 147.85, 0.30661, 27.8505, 1.16353E-006, 120.003
24, 1800.00000, 127.002, -29.999, 127.002, -149.999, 127.002, 90.0009, 8.5176E-005, -40.4048, 0.311734, -90.4174, 0.311733, 149.582, 0.311732, 29.5825, 1.20272E-006, 120.003
24, 2700.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 8.33504E-005, -42.8362, 0.304731, -92.8265, 0.304729, 147.173, 0.304729, 27.1734, 1.14932E-006, 120.003
25, 0.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 8.26426E-005, -43.8696, 0.302004, -93.8519, 0.302002, 146.148, 0.302002, 26.148, 1.12883E-006, 120.003
25, 900.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 8.31301E-005, -43.1519, 0.303882, -93.1396, 0.303881, 146.86, 0.303881, 26.8603, 1.1429E-006, 120.003
25, 1800.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 8.29359E-005, -43.4345, 0.303134, -93.4201, 0.303133, 146.58, 0.303133, 26.5799, 1.13729E-006, 120.003
25, 2700.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 8.27204E-005, -43.7532, 0.302304, -93.7364, 0.302302, 146.263, 0.302302, 26.2635, 1.13107E-006, 120.003
26, 0.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 8.29359E-005, -43.4345, 0.303134, -93.4201, 0.303133, 146.58, 0.303133, 26.5799, 1.13729E-006, 120.003
26, 900.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 8.30149E-005, -43.319, 0.303439, -93.3054, 0.303437, 146.694, 0.303437, 26.6945, 1.13957E-006, 120.003
