hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 900.00000, -0.132851, 1.56707, -0.132896, 1.56758, -0.132877, 1.56737, 0, 0
30, 1800.00000, -0.132832, 1.5895, -0.132881, 1.59002, -0.132862, 1.58981, 0, 0
30, 2700.00000, -0.132811, 1.61077, -0.132863, 1.61131, -0.132847, 1.61109, 0, 0
31, 0.00000, -0.132792, 1.65018, -0.132833, 1.65073, -0.132795, 1.65048, 0, 0
31, 900.00000, -0.269843, 1.6685, -0.269978, 1.66909, -0.269862, 1.66878, 0, 0
31, 1800.00000, -0.269761, 1.68515, -0.270002, 1.68584, -0.269842, 1.68547, 0, 0
31, 2700.00000, -0.273414, 1.71949, -0.269649, 1.71584, -0.266422, 1.71399, 0, 0
32, 0.00000, -0.238274, 1.67466, -0.220101, 1.68542, -0.356456, 1.78925, 0, 0
32, 900.00000, 0.663161, 0.594375, -3.01028, 3.25796, -1.39237, 1.57172, 0, 0
32, 1800.00000, -612.442, 26.6411, -612.547, 11.5267, -536.728, -40.7215, 0, 0
32, 2700.00000, -354915, -822.079, -352767, -2507.83, -353886, -1306.02, 0, 0
33, 0.00000, -2.13341E008, -950197, -2.13344E008, -938957, -2.13388E008, -908968, 0, 0
33, 900.00000, -1.81576E011, -7.94471E008, -1.81577E011, -7.93344E008, -1.81577E011, -7.9351E008, 0, 0
33, 1800.00000, -1.5453E014, -6.75548E011, -1.5453E014, -6.75516E011, -1.5453E014, -6.75546E011, 0, 0
33, 2700.00000, -1.31512E017, -5.74904E014, -1.31512E017, -5.74904E014, -1.31512E017, -5.74905E014, 0, 0
34, 0.00000, -1.11922E020, -4.89273E017, -1.11922E020, -4.89273E017, -1.11922E020, -4.89273E017, 0, 0
34, 900.00000, -1.3256E023, -5.7949E020, -1.3256E023, -5.7949E020, -1.3256E023, -5.7949E020, 0, 0
34, 1800.00000, -1.57004E026, -6.86342E023, -1.57004E026, -6.86342E023, -1.57004E026, -6.86341E023, 0, 0
34, 2700.00000, -1.85955E029, -8.12905E026, -1.85955E029, -8.12905E026, -1.85955E029, -8.12904E026, 0, 0
35, 0.00000, -2.20244E032, -9.62791E029, -2.20244E032, -9.62791E029, -2.20244E032, -9.62791E029, 0, 0
35, 900.00000, -2.1712E035, -9.49146E032, -2.1712E035, -9.49146E032, -2.1712E035, -9.49146E032, 0, 0
35, 1800.00000, -2.14041E038, -9.35683E035, -2.14041E038, -9.35683E035, -2.14041E038, -9.35682E035, 0, 0
35, 2700.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
36, 0.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
36, 900.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
36, 1800.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
36, 2700.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
37, 0.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
37, 900.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
37, 1800.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
37, 2700.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
38, 0.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
38, 900.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
38, 1800.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
38, 2700.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
39, 0.00000, -INF, -INF, -INF, -INF, -INF, -INF, 0, 0
