hour, t(sec), V1, VAngle1, I1, IAngle1
24, 0.00000, 0.000248684, 138.889, 1.65789E-005, 138.889
24, 900.00000, 0.000250439, 139.649, 1.66959E-005, 139.649
24, 1800.00000, 0.000254686, 141.375, 1.69791E-005, 141.375
24, 2700.00000, 0.000248877, 138.974, 1.65918E-005, 138.974
25, 0.00000, 0.000246612, 137.952, 1.64408E-005, 137.952
25, 900.00000, 0.000248173, 138.662, 1.65448E-005, 138.662
25, 1800.00000, 0.000247551, 138.382, 1.65034E-005, 138.382
25, 2700.00000, 0.000246861, 138.067, 1.64574E-005, 138.067
26, 0.00000, 0.000247551, 138.382, 1.65034E-005, 138.382
26, 900.00000, 0.000247804, 138.497, 1.65203E-005, 138.497
26, 1800.00000, 0.000247931, 138.554, 1.65287E-005, 138.554
26, 2700.00000, 0.000248813, 138.946, 1.65875E-005, 138.946
27, 0.00000, 0.000249394, 139.2, 1.66262E-005, 139.2
27, 900.00000, 0.000251166, 139.956, 1.67444E-005, 139.956
27, 1800.00000, 0.000246799, 138.038, 1.64533E-005, 138.038
27, 2700.00000, 0.000246364, 137.836, 1.64243E-005, 137.836
28, 0.00000, 0.000247741, 138.468, 1.65161E-005, 138.468
28, 900.00000, 0.00025011, 139.509, 1.6674E-005, 139.509
28, 1800.00000, 0.000251901, 140.26, 1.67934E-005, 140.26
28, 2700.00000, 0.000259245, 143.074, 1.7283E-005, 143.074
29, 0.00000, 0.000275138, 148.079, 1.83426E-005, 148.079
29, 900.00000, 0.000286099, 150.926, 1.90733E-005, 150.926
29, 1800.00000, 0.000277817, 148.813, 1.85211E-005, 148.813
29, 2700.00000, 0.000278071, 148.881, 1.8538E-005, 148.881
30, 0.00000, 0.000276054, 148.333, 1.84036E-005, 148.333
30, 900.00000, 0.000767662, 38.385, 5.11775E-005, 38.385
30, 1800.00000, 0.000748279, 38.7284, 4.98853E-005, 38.7284
30, 2700.00000, 0.000689279, 40.4166, 4.5952E-005, 40.4166
31, 0.00000, 0.000580478, 44.5167, 3.86985E-005, 44.5167
31, 900.00000, 0.00146476, 29.106, 9.76503E-005, 29.106
31, 1800.00000, 0.00146385, 28.8423, 9.75903E-005, 28.8423
31, 2700.00000, 0.00144143, 29.0048, 9.60953E-005, 29.0048
32, 0.00000, 0.00145431, 28.9198, 9.69543E-005, 28.9198
32, 900.00000, 0.00229155, 24.7268, 0.00015277, 24.7268
32, 1800.00000, 0.00231409, 24.3913, 0.000154273, 24.3913
32, 2700.00000, 0.00229917, 24.4289, 0.000153278, 24.4289
33, 0.00000, 0.00231588, 24.3872, 0.000154392, 24.3872
33, 900.00000, 0.00323901, 22.05, 0.000215934, 22.05
33, 1800.00000, 0.00331827, 21.6407, 0.000221218, 21.6407
33, 2700.00000, 0.00327475, 21.6755, 0.000218316, 21.6755
34, 0.00000, 0.0033163, 21.6371, 0.000221087, 21.6371
34, 900.00000, 0.00415523, 20.2971, 0.000277015, 20.2971
34, 1800.00000, 0.00423803, 19.9645, 0.000282536, 19.9645
34, 2700.00000, 0.00427202, 19.9175, 0.000284801, 19.9175
35, 0.00000, 0.00423315, 19.9345, 0.00028221, 19.9345
35, 900.00000, 0.0037787, 20.6011, 0.000251913, 20.6011
35, 1800.00000, 0.0037147, 20.804, 0.000247647, 20.804
35, 2700.00000, 0.00370617, 20.8322, 0.000247078, 20.8322
36, 0.00000, 0.00370748, 20.8335, 0.000247166, 20.8335
36, 900.00000, 0.00361026, 21.0083, 0.000240684, 21.0083
36, 1800.00000, 0.00357596, 21.0746, 0.000238397, 21.0746
36, 2700.00000, 0.00356594, 21.0973, 0.00023773, 21.0973
37, 0.00000, 0.00356213, 21.1051, 0.000237475, 21.1051
37, 900.00000, 0.00299489, 22.1893, 0.000199659, 22.1893
37, 1800.00000, 0.00297037, 22.4089, 0.000198025, 22.4089
37, 2700.00000, 0.00297078, 22.4139, 0.000198052, 22.4139
38, 0.00000, 0.00296438, 22.4242, 0.000197625, 22.4242
38, 900.00000, 0.00236473, 24.0467, 0.000157648, 24.0467
38, 1800.00000, 0.00235663, 24.2538, 0.000157109, 24.2538
38, 2700.00000, 0.00231341, 24.3735, 0.000154227, 24.3735
39, 0.00000, 0.00231797, 24.3762, 0.000154531, 24.3762
39, 900.00000, 0.00180966, 26.4876, 0.000120644, 26.4876
39, 1800.00000, 0.00176583, 26.8464, 0.000117722, 26.8464
39, 2700.00000, 0.0017656, 26.8615, 0.000117707, 26.8615
40, 0.00000, 0.00175758, 26.9007, 0.000117172, 26.9007
40, 900.00000, 0.000449635, 52.1115, 2.99757E-005, 52.1115
40, 1800.00000, 0.000432933, 53.9718, 2.88622E-005, 53.9718
40, 2700.00000, 0.000410234, 56.1561, 2.7349E-005, 56.1561
41, 0.00000, 0.000439207, 53.4368, 2.92804E-005, 53.4368
41, 900.00000, 0.000236489, 103.972, 1.5766E-005, 103.972
41, 1800.00000, 0.000235937, 106.369, 1.57291E-005, 106.369
41, 2700.00000, 0.000236082, 114.714, 1.57388E-005, 114.714
42, 0.00000, 0.000235665, 107.73, 1.5711E-005, 107.73
42, 900.00000, 0.000572718, 178.691, 3.81812E-005, 178.691
42, 1800.00000, 0.000593356, 179.519, 3.9557E-005, 179.519
42, 2700.00000, 0.000539542, 177.214, 3.59694E-005, 177.214
43, 0.00000, 0.000532986, 176.898, 3.55324E-005, 176.898
43, 900.00000, 0.000528567, 176.68, 3.52378E-005, 176.68
43, 1800.00000, 0.000529074, 176.706, 3.52716E-005, 176.706
43, 2700.00000, 0.000539542, 177.214, 3.59694E-005, 177.214
44, 0.00000, 0.00051664, 176.072, 3.44427E-005, 176.072
44, 900.00000, 0.000440544, 171.304, 2.93696E-005, 171.304
44, 1800.00000, 0.00032096, 157.949, 2.13974E-005, 157.949
44, 2700.00000, 0.00028938, 151.705, 1.9292E-005, 151.705
45, 0.00000, 0.000274476, 147.894, 1.82984E-005, 147.894
45, 900.00000, 0.000268979, 146.284, 1.79319E-005, 146.284
45, 1800.00000, 0.00027244, 147.312, 1.81627E-005, 147.312
45, 2700.00000, 0.000261593, 143.896, 1.74395E-005, 143.896
46, 0.00000, 0.000257868, 142.576, 1.71912E-005, 142.576
46, 900.00000, 0.000253788, 141.023, 1.69192E-005, 141.023
46, 1800.00000, 0.000254756, 141.402, 1.69837E-005, 141.402
46, 2700.00000, 0.000255244, 141.591, 1.70162E-005, 141.591
47, 0.00000, 0.000258228, 142.708, 1.72152E-005, 142.708
47, 900.00000, 0.000251766, 140.205, 1.67844E-005, 140.205
47, 1800.00000, 0.000253391, 140.865, 1.68927E-005, 140.865
47, 2700.00000, 0.000248684, 138.889, 1.65789E-005, 138.889
