hour, t(sec), watts, vars
24, 0.00000, 1.38745E-009, 1.03398E-025
24, 900.00000, 1.40583E-009, -1.03398E-025
24, 1800.00000, 1.45099E-009, 0
24, 2700.00000, 1.38946E-009, 0
25, 0.00000, 1.36596E-009, 0
25, 900.00000, 1.38212E-009, -1.03398E-025
25, 1800.00000, 1.37567E-009, 0
25, 2700.00000, 1.36853E-009, 0
26, 0.00000, 1.37567E-009, 1.03398E-025
26, 900.00000, 1.37829E-009, 0
26, 1800.00000, 1.37961E-009, 0
26, 2700.00000, 1.38879E-009, 0
27, 0.00000, 1.39486E-009, 0
27, 900.00000, 1.41349E-009, 0
27, 1800.00000, 1.36789E-009, 0
27, 2700.00000, 1.3634E-009, 1.03398E-025
28, 0.00000, 1.37764E-009, 0
28, 900.00000, 1.40238E-009, 0
28, 1800.00000, 1.42126E-009, 1.03398E-025
28, 2700.00000, 1.50049E-009, 1.03398E-025
29, 0.00000, 1.68107E-009, 1.03398E-025
29, 900.00000, 1.81264E-009, 1.03398E-025
29, 1800.00000, 1.7127E-009, 1.03398E-025
29, 2700.00000, 1.71571E-009, -1.03398E-025
30, 0.00000, 1.69184E-009, 1.03398E-025
30, 900.00000, 5.79236E-009, 0
30, 1800.00000, 5.00914E-009, 0
30, 2700.00000, 4.24252E-009, 0
31, 0.00000, 3.00776E-009, 0
31, 900.00000, 5.83012E-009, 0
31, 1800.00000, 4.3804E-009, -2.06795E-025
31, 2700.00000, 4.22158E-009, 0
32, 0.00000, 4.34046E-009, 0
32, 900.00000, 5.34604E-009, 2.06795E-025
32, 1800.00000, 6.26963E-009, 0
32, 2700.00000, 6.24969E-009, -4.1359E-025
33, 0.00000, 6.27864E-009, 4.1359E-025
33, 900.00000, 2.21678E-008, 0
33, 1800.00000, 3.35903E-008, -1.65436E-024
33, 2700.00000, 3.43426E-008, 1.65436E-024
34, 0.00000, 3.39948E-008, -1.65436E-024
34, 900.00000, 8.75732E-008, 0
34, 1800.00000, 1.16923E-007, 0
34, 2700.00000, 1.20421E-007, -3.30872E-024
35, 0.00000, 1.20908E-007, 0
35, 900.00000, 7.56934E-008, 0
35, 1800.00000, 6.42421E-008, 0
35, 2700.00000, 6.27424E-008, 3.30872E-024
36, 0.00000, 6.25713E-008, 0
36, 900.00000, 5.45659E-008, 0
36, 1800.00000, 5.2367E-008, 1.65436E-024
36, 2700.00000, 5.16092E-008, 0
37, 0.00000, 5.13805E-008, -1.65436E-024
37, 900.00000, 2.5526E-008, 0
37, 1800.00000, 2.00432E-008, 0
37, 2700.00000, 1.98553E-008, 0
38, 0.00000, 1.98317E-008, 0
38, 900.00000, 7.97695E-009, 0
38, 1800.00000, 6.5402E-009, 0
38, 2700.00000, 6.38126E-009, -4.1359E-025
39, 0.00000, 6.31281E-009, 0
39, 900.00000, 4.00839E-009, 0
39, 1800.00000, 4.08644E-009, 5.16988E-026
39, 2700.00000, 4.11998E-009, 0
40, 0.00000, 4.07729E-009, 0
40, 900.00000, 1.55571E-009, 0
40, 1800.00000, 1.71692E-009, 0
40, 2700.00000, 1.54488E-009, 0
41, 0.00000, 1.77895E-009, 0
41, 900.00000, 7.45108E-010, 5.16988E-026
41, 1800.00000, 7.3194E-010, 0
41, 2700.00000, 7.26385E-010, 0
42, 0.00000, 7.27881E-010, 0
42, 900.00000, 7.18269E-009, -5.16988E-026
42, 1800.00000, 7.71102E-009, 2.58494E-026
42, 2700.00000, 6.3731E-009, 0
43, 0.00000, 6.21895E-009, 5.16988E-026
43, 900.00000, 6.1161E-009, 0
43, 1800.00000, 6.12786E-009, 5.16988E-026
43, 2700.00000, 6.3731E-009, 0
44, 0.00000, 5.84288E-009, 1.03398E-025
44, 900.00000, 4.24904E-009, 0
44, 1800.00000, 2.26822E-009, 0
44, 2700.00000, 1.85313E-009, -1.03398E-025
45, 0.00000, 1.6733E-009, 0
45, 900.00000, 1.60963E-009, 0
45, 1800.00000, 1.64955E-009, -1.03398E-025
45, 2700.00000, 1.52638E-009, 0
46, 0.00000, 1.48543E-009, 0
46, 900.00000, 1.44136E-009, 0
46, 1800.00000, 1.45174E-009, 1.03398E-025
46, 2700.00000, 1.45698E-009, 0
47, 0.00000, 1.48936E-009, 0
47, 900.00000, 1.41984E-009, 0
47, 1800.00000, 1.43711E-009, -1.03398E-025
47, 2700.00000, 1.38745E-009, 1.03398E-025
