hour, t(sec), P1 (kW), Q1 (kvar)
24, 0.00000, 1.38745E-012, 1.03398E-028
24, 900.00000, 1.40583E-012, -1.03398E-028
24, 1800.00000, 1.45099E-012, 0
24, 2700.00000, 1.38946E-012, 0
25, 0.00000, 1.36596E-012, 0
25, 900.00000, 1.38212E-012, -1.03398E-028
25, 1800.00000, 1.37567E-012, 0
25, 2700.00000, 1.36853E-012, 0
26, 0.00000, 1.37567E-012, 1.03398E-028
26, 900.00000, 1.37829E-012, 0
26, 1800.00000, 1.37961E-012, 0
26, 2700.00000, 1.38879E-012, 0
27, 0.00000, 1.39486E-012, 0
27, 900.00000, 1.41349E-012, 0
27, 1800.00000, 1.36789E-012, 0
27, 2700.00000, 1.3634E-012, 1.03398E-028
28, 0.00000, 1.37764E-012, 0
28, 900.00000, 1.40238E-012, 0
28, 1800.00000, 1.42126E-012, 1.03398E-028
28, 2700.00000, 1.50049E-012, 1.03398E-028
29, 0.00000, 1.68107E-012, 1.03398E-028
29, 900.00000, 1.81264E-012, 1.03398E-028
29, 1800.00000, 1.7127E-012, 1.03398E-028
29, 2700.00000, 1.71571E-012, -1.03398E-028
30, 0.00000, 1.69184E-012, 1.03398E-028
30, 900.00000, 5.79236E-012, 0
30, 1800.00000, 5.00914E-012, 0
30, 2700.00000, 4.24252E-012, 0
31, 0.00000, 3.00776E-012, 0
31, 900.00000, 5.83012E-012, 0
31, 1800.00000, 4.3804E-012, -2.06795E-028
31, 2700.00000, 4.22158E-012, 0
32, 0.00000, 4.34046E-012, 0
32, 900.00000, 5.34604E-012, 2.06795E-028
32, 1800.00000, 6.26963E-012, 0
32, 2700.00000, 6.24969E-012, -4.1359E-028
33, 0.00000, 6.27864E-012, 4.1359E-028
33, 900.00000, 2.21678E-011, 0
33, 1800.00000, 3.35903E-011, -1.65436E-027
33, 2700.00000, 3.43426E-011, 1.65436E-027
34, 0.00000, 3.39948E-011, -1.65436E-027
34, 900.00000, 8.75732E-011, 0
34, 1800.00000, 1.16923E-010, 0
34, 2700.00000, 1.20421E-010, -3.30872E-027
35, 0.00000, 1.20908E-010, 0
35, 900.00000, 7.56934E-011, 0
35, 1800.00000, 6.42421E-011, 0
35, 2700.00000, 6.27424E-011, 3.30872E-027
36, 0.00000, 6.25713E-011, 0
36, 900.00000, 5.45659E-011, 0
36, 1800.00000, 5.2367E-011, 1.65436E-027
36, 2700.00000, 5.16092E-011, 0
37, 0.00000, 5.13805E-011, -1.65436E-027
37, 900.00000, 2.5526E-011, 0
37, 1800.00000, 2.00432E-011, 0
37, 2700.00000, 1.98553E-011, 0
38, 0.00000, 1.98317E-011, 0
38, 900.00000, 7.97695E-012, 0
38, 1800.00000, 6.5402E-012, 0
38, 2700.00000, 6.38126E-012, -4.1359E-028
39, 0.00000, 6.31281E-012, 0
39, 900.00000, 4.00839E-012, 0
39, 1800.00000, 4.08644E-012, 5.16988E-029
39, 2700.00000, 4.11998E-012, 0
40, 0.00000, 4.07729E-012, 0
40, 900.00000, 1.55571E-012, 0
40, 1800.00000, 1.71692E-012, 0
40, 2700.00000, 1.54488E-012, 0
41, 0.00000, 1.77895E-012, 0
41, 900.00000, 7.45108E-013, 5.16988E-029
41, 1800.00000, 7.3194E-013, 0
41, 2700.00000, 7.26385E-013, 0
42, 0.00000, 7.27881E-013, 0
42, 900.00000, 7.18269E-012, -5.16988E-029
42, 1800.00000, 7.71102E-012, 2.58494E-029
42, 2700.00000, 6.3731E-012, 0
43, 0.00000, 6.21895E-012, 5.16988E-029
43, 900.00000, 6.1161E-012, 0
43, 1800.00000, 6.12786E-012, 5.16988E-029
43, 2700.00000, 6.3731E-012, 0
44, 0.00000, 5.84288E-012, 1.03398E-028
44, 900.00000, 4.24904E-012, 0
44, 1800.00000, 2.26822E-012, 0
44, 2700.00000, 1.85313E-012, -1.03398E-028
45, 0.00000, 1.6733E-012, 0
45, 900.00000, 1.60963E-012, 0
45, 1800.00000, 1.64955E-012, -1.03398E-028
45, 2700.00000, 1.52638E-012, 0
46, 0.00000, 1.48543E-012, 0
46, 900.00000, 1.44136E-012, 0
46, 1800.00000, 1.45174E-012, 1.03398E-028
46, 2700.00000, 1.45698E-012, 0
47, 0.00000, 1.48936E-012, 0
47, 900.00000, 1.41984E-012, 0
47, 1800.00000, 1.43711E-012, -1.03398E-028
47, 2700.00000, 1.38745E-012, 1.03398E-028
