hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
24, 0.00000, 6870.46, -1.95644E-005, 6870.46, -120, 6870.46, 120, 0.00563082, 117.08, 0.0056308, -2.91933, 0.00563084, -122.919
24, 900.00000, 6870.46, -2.02198E-005, 6870.46, -120, 6870.46, 120, 0.00566989, 117.842, 0.00566987, -2.15719, 0.00566991, -122.157
24, 1800.00000, 6870.46, -2.17442E-005, 6870.46, -120, 6870.46, 120, 0.00576456, 119.574, 0.00576454, -0.425421, 0.00576458, -120.425
24, 2700.00000, 6870.46, -1.96372E-005, 6870.46, -120, 6870.46, 120, 0.00563511, 117.166, 0.0056351, -2.83412, 0.00563513, -122.834
25, 0.00000, 6870.46, -1.87682E-005, 6870.46, -120, 6870.46, 120, 0.00558472, 116.14, 0.0055847, -3.85931, 0.00558474, -123.859
25, 900.00000, 6870.46, -1.93702E-005, 6870.46, -120, 6870.46, 120, 0.00561943, 116.852, 0.00561942, -3.14719, 0.00561945, -123.147
25, 1800.00000, 6870.46, -1.91323E-005, 6870.46, -120, 6870.46, 120, 0.00560561, 116.572, 0.0056056, -3.42755, 0.00560563, -123.428
25, 2700.00000, 6870.46, -1.88653E-005, 6870.46, -120, 6870.46, 120, 0.00559026, 116.256, 0.00559024, -3.74383, 0.00559028, -123.744
26, 0.00000, 6870.46, -1.91323E-005, 6870.46, -120, 6870.46, 120, 0.00560561, 116.572, 0.0056056, -3.42755, 0.00560563, -123.428
26, 900.00000, 6870.46, -1.92294E-005, 6870.46, -120, 6870.46, 120, 0.00561124, 116.687, 0.00561122, -3.31294, 0.00561126, -123.313
26, 1800.00000, 6870.46, -1.9278E-005, 6870.46, -120, 6870.46, 120, 0.00561406, 116.744, 0.00561404, -3.25572, 0.00561408, -123.256
26, 2700.00000, 6870.46, -1.96129E-005, 6870.46, -120, 6870.46, 120, 0.00563368, 117.137, 0.00563366, -2.8625, 0.0056337, -122.863
27, 0.00000, 6870.46, -1.98314E-005, 6870.46, -120, 6870.46, 120, 0.00564662, 117.392, 0.0056466, -2.60752, 0.00564664, -122.608
27, 900.00000, 6870.46, -2.04868E-005, 6870.46, -120, 6870.46, 120, 0.00568609, 118.15, 0.00568607, -1.84975, 0.00568611, -121.85
27, 1800.00000, 6870.46, -1.88411E-005, 6870.46, -120, 6870.46, 120, 0.00558887, 116.227, 0.00558886, -3.77268, 0.00558889, -123.773
