hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 1.10827, 0.684623, 0.834164, 0.516547, 0.860964, 0.533765, 4.073E-005, 0.000364748
0, 1800.00000, 1.1022, 0.680976, 0.850064, 0.526362, 0.870933, 0.539867, 3.24494E-005, 0.000310813
0, 2700.00000, 0.962505, 0.594847, 0.72813, 0.450931, 0.749401, 0.464568, 2.83427E-005, 0.000267006
1, 0.00000, 1.02651, 0.634439, 0.814305, 0.504208, 0.828806, 0.513658, 2.21922E-005, 0.000221649
1, 900.00000, 0.982942, 0.607559, 0.778993, 0.482386, 0.798092, 0.494608, 1.94177E-005, 0.000203095
1, 1800.00000, 0.956124, 0.591047, 0.754242, 0.467023, 0.76333, 0.473108, 2.22795E-005, 0.000201945
1, 2700.00000, 0.978638, 0.604993, 0.801188, 0.496103, 0.816517, 0.505923, 1.27032E-005, 0.000154873
2, 0.00000, 0.919107, 0.568252, 0.737367, 0.45659, 0.746654, 0.462717, 1.61956E-005, 0.000163635
2, 900.00000, 0.931682, 0.576, 0.751193, 0.465163, 0.766954, 0.475262, 1.54152E-005, 0.000159504
2, 1800.00000, 0.922211, 0.570164, 0.751679, 0.465494, 0.771992, 0.478335, 1.14847E-005, 0.000141597
2, 2700.00000, 0.93119, 0.575715, 0.760444, 0.470892, 0.7792, 0.482798, 1.34168E-005, 0.000142061
3, 0.00000, 0.894586, 0.553147, 0.72528, 0.449108, 0.734617, 0.455225, 1.39036E-005, 0.000141978
3, 900.00000, 0.926726, 0.572991, 0.761849, 0.471749, 0.774951, 0.480163, 1.16175E-005, 0.000133943
3, 1800.00000, 0.888449, 0.549343, 0.718108, 0.444687, 0.731856, 0.453511, 1.3753E-005, 0.000142388
3, 2700.00000, 0.912668, 0.564318, 0.754013, 0.466921, 0.769975, 0.477056, 9.26412E-006, 0.000123511
4, 0.00000, 0.904265, 0.559153, 0.756013, 0.468173, 0.772868, 0.478808, 6.34743E-006, 0.000107934
4, 900.00000, 0.831496, 0.514217, 0.674423, 0.417665, 0.682665, 0.423036, 8.84131E-006, 0.000122671
4, 1800.00000, 0.959866, 0.593484, 0.79914, 0.494787, 0.805666, 0.499169, 1.14482E-005, 0.000129437
4, 2700.00000, 0.850573, 0.526003, 0.695586, 0.430755, 0.704394, 0.436478, 8.98079E-006, 0.000119442
