hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 900.00000, 126.327, -30.2328, 126.781, -150.106, 126.377, 89.9014, 0.151857, -148.391, 9.06282, -61.9982, 4.39273, 178.169, 9.58152, 58.1991, 4.77139, -178.318
0, 1800.00000, 126.347, -30.2234, 126.764, -150.108, 126.396, 89.9005, 0.139839, -148.844, 8.62459, -61.9881, 4.40557, 178.162, 9.10314, 58.1921, 4.31564, -178.234
0, 2700.00000, 126.417, -30.2016, 126.804, -150.094, 126.46, 89.9131, 0.129792, -148.504, 7.91395, -61.9687, 3.97718, 178.172, 8.3741, 58.199, 4.03618, -178.053
1, 0.00000, 126.416, -30.1979, 126.767, -150.102, 126.461, 89.907, 0.117893, -149.446, 7.47299, -61.9643, 3.97063, 178.159, 7.85488, 58.1865, 3.5763, -178.442
1, 900.00000, 126.447, -30.1899, 126.779, -150.096, 126.476, 89.909, 0.113775, -147.727, 7.08237, -61.9579, 3.7885, 178.163, 7.64443, 58.1868, 3.47877, -175.756
1, 1800.00000, 126.448, -30.1857, 126.787, -150.097, 126.506, 89.9161, 0.111688, -151.363, 7.13885, -61.9528, 3.69545, 178.163, 7.26536, 58.1914, 3.38734, 178.198
1, 2700.00000, 126.476, -30.1781, 126.761, -150.097, 126.497, 89.9075, 0.0995824, -147.373, 6.42751, -61.9464, 3.68772, 178.157, 7.03006, 58.178, 2.97402, -173.778
2, 0.00000, 126.484, -30.1737, 126.786, -150.093, 126.529, 89.917, 0.100938, -150.38, 6.55465, -61.9417, 3.56094, 178.162, 6.81231, 58.1872, 3.0211, -179.488
2, 900.00000, 126.492, -30.1734, 126.787, -150.091, 126.52, 89.9146, 0.100793, -148.178, 6.31748, -61.9431, 3.40286, 178.164, 6.78443, 58.1849, 3.06268, -176.199
2, 1800.00000, 126.511, -30.169, 126.781, -150.089, 126.518, 89.9115, 0.0961742, -145.394, 6.00766, -61.9395, 3.42209, 178.163, 6.7616, 58.1804, 2.92418, -171.023
2, 2700.00000, 126.51, -30.1682, 126.785, -150.089, 126.527, 89.9138, 0.0959307, -146.735, 5.90106, -61.9395, 3.19989, 178.164, 6.49041, 58.1815, 2.93283, -173.816
3, 0.00000, 126.509, -30.1652, 126.79, -150.09, 126.549, 89.919, 0.0942597, -150.103, 6.11612, -61.9344, 3.34742, 178.162, 6.39224, 58.1855, 2.81541, -178.865
3, 900.00000, 126.508, -30.1666, 126.776, -150.092, 126.533, 89.9136, 0.0924384, -148.066, 5.96768, -61.9362, 3.38566, 178.16, 6.45717, 58.1798, 2.75712, -174.999
3, 1800.00000, 126.516, -30.1647, 126.795, -150.087, 126.546, 89.9187, 0.0950927, -148.567, 6.01324, -61.9349, 3.25932, 178.165, 6.42327, 58.1859, 2.8763, -176.682
3, 2700.00000, 126.523, -30.1632, 126.774, -150.09, 126.533, 89.9122, 0.0895281, -146.146, 5.78236, -61.9333, 3.40951, 178.16, 6.4558, 58.1776, 2.67113, -171.331
4, 0.00000, 126.537, -30.1589, 126.766, -150.09, 126.536, 89.9101, 0.084372, -144.42, 5.54818, -61.9289, 3.46847, 178.158, 6.37825, 58.1736, 2.49952, -167.358
4, 900.00000, 126.537, -30.157, 126.79, -150.087, 126.564, 89.9198, 0.0877952, -148.746, 6.00384, -61.9249, 3.61117, 178.163, 6.45444, 58.1846, 2.54929, -175.067
4, 1800.00000, 126.494, -30.1683, 126.759, -150.098, 126.531, 89.9119, 0.0899805, -150.372, 6.05034, -61.9365, 3.49865, 178.153, 6.35136, 58.1765, 2.61946, -178.09
4, 2700.00000, 126.535, -30.1572, 126.786, -150.088, 126.561, 89.9186, 0.0868272, -148.682, 5.88923, -61.9256, 3.51827, 178.161, 6.33727, 58.1826, 2.5281, -175.041
5, 0.00000, 126.479, -30.1811, 126.804, -150.088, 126.501, 89.9149, 0.111731, -146.74, 6.73229, -61.9515, 3.4824, 178.171, 7.35392, 58.1914, 3.47368, -174.873
